,depot,INST0044_N5_S14_P000,INST0044_N5_S14_D000,INST0044_N5_S14_P001,INST0044_N5_S14_D001,INST0044_N5_S14_P002,INST0044_N5_S14_D002,INST0044_N5_S14_P003,INST0044_N5_S14_D003,INST0044_N5_S14_P004,INST0044_N5_S14_D004
depot,0.0,54.293,71.877,8.581,71.877,71.877,109.068,80.145,71.877,8.581,150.553
INST0044_N5_S14_P000,54.293,0.0,125.848,51.136,125.848,125.848,127.137,67.228,125.848,51.136,164.482
INST0044_N5_S14_D000,71.877,125.848,0.0,77.018,0.0,0.0,114.428,138.993,0.0,77.018,151.155
INST0044_N5_S14_P001,8.581,51.136,77.018,0.0,77.018,77.018,117.194,71.658,77.018,0.0,158.604
INST0044_N5_S14_D001,71.877,125.848,0.0,77.018,0.0,0.0,114.428,138.993,0.0,77.018,151.155
INST0044_N5_S14_P002,71.877,125.848,0.0,77.018,0.0,0.0,114.428,138.993,0.0,77.018,151.155
INST0044_N5_S14_D002,109.068,127.137,114.428,117.194,114.428,114.428,0.0,183.928,114.428,117.194,41.594
INST0044_N5_S14_P003,80.145,67.228,138.993,71.658,138.993,138.993,183.928,0.0,138.993,71.658,224.124
INST0044_N5_S14_D003,71.877,125.848,0.0,77.018,0.0,0.0,114.428,138.993,0.0,77.018,151.155
INST0044_N5_S14_P004,8.581,51.136,77.018,0.0,77.018,77.018,117.194,71.658,77.018,0.0,158.604
INST0044_N5_S14_D004,150.553,164.482,151.155,158.604,151.155,151.155,41.594,224.124,151.155,158.604,0.0
