,depot,INST0030_N5_N00_P000,INST0030_N5_N00_D000,INST0030_N5_N00_P001,INST0030_N5_N00_D001,INST0030_N5_N00_P002,INST0030_N5_N00_D002,INST0030_N5_N00_P003,INST0030_N5_N00_D003,INST0030_N5_N00_P004,INST0030_N5_N00_D004
depot,0.0,19.671,61.784,18.791,34.294,66.32,0.0,11.477,87.958,21.8,87.958
INST0030_N5_N00_P000,19.671,0.0,81.17,35.534,28.616,64.86,19.671,23.461,100.436,20.683,100.436
INST0030_N5_N00_D000,61.784,81.17,0.0,47.339,81.232,107.477,61.784,64.236,85.106,77.99,85.106
INST0030_N5_N00_P001,18.791,35.534,47.339,0.0,35.653,82.833,18.791,27.709,93.214,40.266,93.214
INST0030_N5_N00_D001,34.294,28.616,81.232,35.653,0.0,93.371,34.294,44.646,122.247,48.052,122.247
INST0030_N5_N00_P002,66.32,64.86,107.477,82.833,93.371,0.0,66.32,55.435,65.084,46.019,65.084
INST0030_N5_N00_D002,0.0,19.671,61.784,18.791,34.294,66.32,0.0,11.477,87.958,21.8,87.958
INST0030_N5_N00_P003,11.477,23.461,64.236,27.709,44.646,55.435,11.477,0.0,78.292,13.942,78.292
INST0030_N5_N00_D003,87.958,100.436,85.106,93.214,122.247,65.084,87.958,78.292,0.0,81.189,0.0
INST0030_N5_N00_P004,21.8,20.683,77.99,40.266,48.052,46.019,21.8,13.942,81.189,0.0,81.189
INST0030_N5_N00_D004,87.958,100.436,85.106,93.214,122.247,65.084,87.958,78.292,0.0,81.189,0.0
