,depot,INST0088_N8_W28_P000,INST0088_N8_W28_D000,INST0088_N8_W28_P001,INST0088_N8_W28_D001,INST0088_N8_W28_P002,INST0088_N8_W28_D002,INST0088_N8_W28_P003,INST0088_N8_W28_D003,INST0088_N8_W28_P004,INST0088_N8_W28_D004,INST0088_N8_W28_P005,INST0088_N8_W28_D005,INST0088_N8_W28_P006,INST0088_N8_W28_D006,INST0088_N8_W28_P007,INST0088_N8_W28_D007
depot,0.0,50.015,133.671,50.015,117.595,50.015,117.595,50.015,18.026,18.026,110.354,50.015,0.0,0.0,133.671,0.0,124.166
INST0088_N8_W28_P000,50.015,0.0,84.648,0.0,67.612,0.0,67.612,0.0,66.284,66.284,61.567,0.0,50.015,50.015,84.648,50.015,77.687
INST0088_N8_W28_D000,133.671,84.648,0.0,84.648,22.951,84.648,22.951,84.648,150.679,150.679,23.331,84.648,133.671,133.671,0.0,133.671,20.02
INST0088_N8_W28_P001,50.015,0.0,84.648,0.0,67.612,0.0,67.612,0.0,66.284,66.284,61.567,0.0,50.015,50.015,84.648,50.015,77.687
INST0088_N8_W28_D001,117.595,67.612,22.951,67.612,0.0,67.612,0.0,67.612,133.769,133.769,17.238,67.612,117.595,117.595,22.951,117.595,32.905
INST0088_N8_W28_P002,50.015,0.0,84.648,0.0,67.612,0.0,67.612,0.0,66.284,66.284,61.567,0.0,50.015,50.015,84.648,50.015,77.687
INST0088_N8_W28_D002,117.595,67.612,22.951,67.612,0.0,67.612,0.0,67.612,133.769,133.769,17.238,67.612,117.595,117.595,22.951,117.595,32.905
INST0088_N8_W28_P003,50.015,0.0,84.648,0.0,67.612,0.0,67.612,0.0,66.284,66.284,61.567,0.0,50.015,50.015,84.648,50.015,77.687
INST0088_N8_W28_D003,18.026,66.284,150.679,66.284,133.769,66.284,133.769,66.284,0.0,0.0,127.423,66.284,18.026,18.026,150.679,18.026,141.804
INST0088_N8_W28_P004,18.026,66.284,150.679,66.284,133.769,66.284,133.769,66.284,0.0,0.0,127.423,66.284,18.026,18.026,150.679,18.026,141.804
INST0088_N8_W28_D004,110.354,61.567,23.331,61.567,17.238,61.567,17.238,61.567,127.423,127.423,0.0,61.567,110.354,110.354,23.331,110.354,20.56
INST0088_N8_W28_P005,50.015,0.0,84.648,0.0,67.612,0.0,67.612,0.0,66.284,66.284,61.567,0.0,50.015,50.015,84.648,50.015,77.687
INST0088_N8_W28_D005,0.0,50.015,133.671,50.015,117.595,50.015,117.595,50.015,18.026,18.026,110.354,50.015,0.0,0.0,133.671,0.0,124.166
INST0088_N8_W28_P006,0.0,50.015,133.671,50.015,117.595,50.015,117.595,50.015,18.026,18.026,110.354,50.015,0.0,0.0,133.671,0.0,124.166
INST0088_N8_W28_D006,133.671,84.648,0.0,84.648,22.951,84.648,22.951,84.648,150.679,150.679,23.331,84.648,133.671,133.671,0.0,133.671,20.02
INST0088_N8_W28_P007,0.0,50.015,133.671,50.015,117.595,50.015,117.595,50.015,18.026,18.026,110.354,50.015,0.0,0.0,133.671,0.0,124.166
INST0088_N8_W28_D007,124.166,77.687,20.02,77.687,32.905,77.687,32.905,77.687,141.804,141.804,20.56,77.687,124.166,124.166,20.02,124.166,0.0
