,depot,INST0168_N15_N18_P000,INST0168_N15_N18_D000,INST0168_N15_N18_P001,INST0168_N15_N18_D001,INST0168_N15_N18_P002,INST0168_N15_N18_D002,INST0168_N15_N18_P003,INST0168_N15_N18_D003,INST0168_N15_N18_P004,INST0168_N15_N18_D004,INST0168_N15_N18_P005,INST0168_N15_N18_D005,INST0168_N15_N18_P006,INST0168_N15_N18_D006,INST0168_N15_N18_P007,INST0168_N15_N18_D007,INST0168_N15_N18_P008,INST0168_N15_N18_D008,INST0168_N15_N18_P009,INST0168_N15_N18_D009,INST0168_N15_N18_P010,INST0168_N15_N18_D010,INST0168_N15_N18_P011,INST0168_N15_N18_D011,INST0168_N15_N18_P012,INST0168_N15_N18_D012,INST0168_N15_N18_P013,INST0168_N15_N18_D013,INST0168_N15_N18_P014,INST0168_N15_N18_D014
depot,0.0,30.471,23.353,11.436,109.689,11.436,23.353,52.8,0.0,23.353,52.8,11.436,109.689,52.8,66.572,30.471,20.176,13.759,46.06,77.555,13.759,46.06,145.919,20.176,145.919,30.471,13.759,13.759,66.572,46.06,135.971
INST0168_N15_N18_P000,30.471,0.0,35.534,40.266,122.278,40.266,35.534,82.833,30.471,35.534,82.833,40.266,122.278,82.833,47.339,0.0,18.283,18.791,35.653,93.214,18.791,35.653,131.141,18.283,131.141,0.0,18.791,18.791,47.339,35.653,143.5
INST0168_N15_N18_D000,23.353,35.534,0.0,20.683,132.815,20.683,0.0,64.86,23.353,0.0,64.86,20.683,132.815,64.86,81.17,35.534,17.254,19.671,28.616,100.436,19.671,28.616,125.319,17.254,125.319,35.534,19.671,19.671,81.17,28.616,113.8
INST0168_N15_N18_P001,11.436,40.266,20.683,0.0,113.909,0.0,20.683,46.019,11.436,20.683,46.019,0.0,113.909,46.019,77.99,40.266,26.126,21.8,48.052,81.189,21.8,48.052,145.998,26.126,145.998,40.266,21.8,21.8,77.99,48.052,128.231
INST0168_N15_N18_D001,109.689,122.278,132.815,113.909,0.0,113.909,132.815,95.428,109.689,132.815,95.428,113.909,0.0,95.428,104.379,122.278,126.352,119.262,153.371,32.884,119.262,153.371,252.84,126.352,252.84,122.278,119.262,119.262,104.379,153.371,239.676
INST0168_N15_N18_P002,11.436,40.266,20.683,0.0,113.909,0.0,20.683,46.019,11.436,20.683,46.019,0.0,113.909,46.019,77.99,40.266,26.126,21.8,48.052,81.189,21.8,48.052,145.998,26.126,145.998,40.266,21.8,21.8,77.99,48.052,128.231
INST0168_N15_N18_D002,23.353,35.534,0.0,20.683,132.815,20.683,0.0,64.86,23.353,0.0,64.86,20.683,132.815,64.86,81.17,35.534,17.254,19.671,28.616,100.436,19.671,28.616,125.319,17.254,125.319,35.534,19.671,19.671,81.17,28.616,113.8
INST0168_N15_N18_P003,52.8,82.833,64.86,46.019,95.428,46.019,64.86,0.0,52.8,64.86,0.0,46.019,95.428,0.0,107.477,82.833,71.779,66.32,93.371,65.084,66.32,93.371,187.822,71.779,187.822,82.833,66.32,66.32,107.477,93.371,149.304
INST0168_N15_N18_D003,0.0,30.471,23.353,11.436,109.689,11.436,23.353,52.8,0.0,23.353,52.8,11.436,109.689,52.8,66.572,30.471,20.176,13.759,46.06,77.555,13.759,46.06,145.919,20.176,145.919,30.471,13.759,13.759,66.572,46.06,135.971
INST0168_N15_N18_P004,23.353,35.534,0.0,20.683,132.815,20.683,0.0,64.86,23.353,0.0,64.86,20.683,132.815,64.86,81.17,35.534,17.254,19.671,28.616,100.436,19.671,28.616,125.319,17.254,125.319,35.534,19.671,19.671,81.17,28.616,113.8
INST0168_N15_N18_D004,52.8,82.833,64.86,46.019,95.428,46.019,64.86,0.0,52.8,64.86,0.0,46.019,95.428,0.0,107.477,82.833,71.779,66.32,93.371,65.084,66.32,93.371,187.822,71.779,187.822,82.833,66.32,66.32,107.477,93.371,149.304
INST0168_N15_N18_P005,11.436,40.266,20.683,0.0,113.909,0.0,20.683,46.019,11.436,20.683,46.019,0.0,113.909,46.019,77.99,40.266,26.126,21.8,48.052,81.189,21.8,48.052,145.998,26.126,145.998,40.266,21.8,21.8,77.99,48.052,128.231
INST0168_N15_N18_D005,109.689,122.278,132.815,113.909,0.0,113.909,132.815,95.428,109.689,132.815,95.428,113.909,0.0,95.428,104.379,122.278,126.352,119.262,153.371,32.884,119.262,153.371,252.84,126.352,252.84,122.278,119.262,119.262,104.379,153.371,239.676
INST0168_N15_N18_P006,52.8,82.833,64.86,46.019,95.428,46.019,64.86,0.0,52.8,64.86,0.0,46.019,95.428,0.0,107.477,82.833,71.779,66.32,93.371,65.084,66.32,93.371,187.822,71.779,187.822,82.833,66.32,66.32,107.477,93.371,149.304
