,depot,INST0052_N5_W22_P000,INST0052_N5_W22_D000,INST0052_N5_W22_P001,INST0052_N5_W22_D001,INST0052_N5_W22_P002,INST0052_N5_W22_D002,INST0052_N5_W22_P003,INST0052_N5_W22_D003,INST0052_N5_W22_P004,INST0052_N5_W22_D004
depot,0.0,16.35,26.872,43.952,115.807,61.821,16.35,61.821,43.952,16.399,26.872
INST0052_N5_W22_P000,16.35,0.0,18.744,51.842,123.055,52.507,0.0,52.507,51.842,11.735,18.744
INST0052_N5_W22_D000,26.872,18.744,0.0,41.349,109.245,35.155,18.744,35.155,41.349,30.344,0.0
INST0052_N5_W22_P001,43.952,51.842,41.349,0.0,71.944,55.918,51.842,55.918,0.0,58.923,41.349
INST0052_N5_W22_D001,115.807,123.055,109.245,71.944,0.0,104.634,123.055,104.634,71.944,130.825,109.245
INST0052_N5_W22_P002,61.821,52.507,35.155,55.918,104.634,0.0,52.507,0.0,55.918,64.172,35.155
INST0052_N5_W22_D002,16.35,0.0,18.744,51.842,123.055,52.507,0.0,52.507,51.842,11.735,18.744
INST0052_N5_W22_P003,61.821,52.507,35.155,55.918,104.634,0.0,52.507,0.0,55.918,64.172,35.155
INST0052_N5_W22_D003,43.952,51.842,41.349,0.0,71.944,55.918,51.842,55.918,0.0,58.923,41.349
INST0052_N5_W22_P004,16.399,11.735,30.344,58.923,130.825,64.172,11.735,64.172,58.923,0.0,30.344
INST0052_N5_W22_D004,26.872,18.744,0.0,41.349,109.245,35.155,18.744,35.155,41.349,30.344,0.0
