,depot,INST0043_N5_W13_P000,INST0043_N5_W13_D000,INST0043_N5_W13_P001,INST0043_N5_W13_D001,INST0043_N5_W13_P002,INST0043_N5_W13_D002,INST0043_N5_W13_P003,INST0043_N5_W13_D003,INST0043_N5_W13_P004,INST0043_N5_W13_D004
depot,0.0,0.0,117.595,70.637,142.787,97.602,142.787,0.0,18.026,50.015,110.354
INST0043_N5_W13_P000,0.0,0.0,117.595,70.637,142.787,97.602,142.787,0.0,18.026,50.015,110.354
INST0043_N5_W13_D000,117.595,117.595,0.0,50.631,37.156,25.201,37.156,117.595,133.769,67.612,17.238
INST0043_N5_W13_P001,70.637,70.637,50.631,0.0,72.151,27.496,72.151,70.637,88.095,24.909,40.204
INST0043_N5_W13_D001,142.787,142.787,37.156,72.151,0.0,45.89,0.0,142.787,160.194,94.929,33.728
INST0043_N5_W13_P002,97.602,97.602,25.201,27.496,45.89,0.0,45.89,97.602,114.719,49.056,12.767
INST0043_N5_W13_D002,142.787,142.787,37.156,72.151,0.0,45.89,0.0,142.787,160.194,94.929,33.728
INST0043_N5_W13_P003,0.0,0.0,117.595,70.637,142.787,97.602,142.787,0.0,18.026,50.015,110.354
INST0043_N5_W13_D003,18.026,18.026,133.769,88.095,160.194,114.719,160.194,18.026,0.0,66.284,127.423
INST0043_N5_W13_P004,50.015,50.015,67.612,24.909,94.929,49.056,94.929,50.015,66.284,0.0,61.567
INST0043_N5_W13_D004,110.354,110.354,17.238,40.204,33.728,12.767,33.728,110.354,127.423,61.567,0.0
