,depot,INST0151_N15_W01_P000,INST0151_N15_W01_D000,INST0151_N15_W01_P001,INST0151_N15_W01_D001,INST0151_N15_W01_P002,INST0151_N15_W01_D002,INST0151_N15_W01_P003,INST0151_N15_W01_D003,INST0151_N15_W01_P004,INST0151_N15_W01_D004,INST0151_N15_W01_P005,INST0151_N15_W01_D005,INST0151_N15_W01_P006,INST0151_N15_W01_D006,INST0151_N15_W01_P007,INST0151_N15_W01_D007,INST0151_N15_W01_P008,INST0151_N15_W01_D008,INST0151_N15_W01_P009,INST0151_N15_W01_D009,INST0151_N15_W01_P010,INST0151_N15_W01_D010,INST0151_N15_W01_P011,INST0151_N15_W01_D011,INST0151_N15_W01_P012,INST0151_N15_W01_D012,INST0151_N15_W01_P013,INST0151_N15_W01_D013,INST0151_N15_W01_P014,INST0151_N15_W01_D014
depot,0.0,18.744,55.217,26.872,55.217,35.155,26.872,14.077,96.036,41.092,20.581,35.155,109.245,18.744,26.872,41.092,96.036,41.092,26.872,26.872,41.092,26.872,147.26,0.0,18.744,14.077,30.344,14.077,109.245,20.581,30.344
INST0151_N15_W01_P000,18.744,0.0,69.129,16.35,69.129,52.507,16.35,19.054,109.164,28.769,29.48,52.507,123.055,0.0,16.35,28.769,109.164,28.769,16.35,16.35,28.769,16.35,137.675,18.744,0.0,19.054,11.735,19.054,123.055,29.48,11.735
INST0151_N15_W01_D000,55.217,69.129,0.0,63.444,0.0,57.646,63.444,50.28,40.846,70.903,40.063,57.646,54.132,69.129,63.444,70.903,40.846,70.903,63.444,63.444,70.903,63.444,143.94,55.217,69.129,50.28,77.525,50.28,54.132,40.063,77.525
INST0151_N15_W01_P001,26.872,16.35,63.444,0.0,63.444,61.821,0.0,16.791,101.402,14.239,24.4,61.821,115.807,16.35,0.0,14.239,101.402,14.239,0.0,0.0,14.239,0.0,122.204,26.872,16.35,16.791,16.399,16.791,115.807,24.4,16.399
INST0151_N15_W01_D001,55.217,69.129,0.0,63.444,0.0,57.646,63.444,50.28,40.846,70.903,40.063,57.646,54.132,69.129,63.444,70.903,40.846,70.903,63.444,63.444,70.903,63.444,143.94,55.217,69.129,50.28,77.525,50.28,54.132,40.063,77.525
INST0151_N15_W01_P002,35.155,52.507,57.646,61.821,57.646,0.0,61.821,46.592,94.442,75.918,46.518,0.0,104.634,52.507,61.821,75.918,94.442,75.918,61.821,61.821,75.918,61.821,178.909,35.155,52.507,46.592,64.172,46.592,104.634,46.518,64.172
INST0151_N15_W01_D002,26.872,16.35,63.444,0.0,63.444,61.821,0.0,16.791,101.402,14.239,24.4,61.821,115.807,16.35,0.0,14.239,101.402,14.239,0.0,0.0,14.239,0.0,122.204,26.872,16.35,16.791,16.399,16.791,115.807,24.4,16.399
INST0151_N15_W01_P003,14.077,19.054,50.28,16.791,50.28,46.592,16.791,0.0,90.122,29.954,10.426,46.592,104.062,19.054,16.791,29.954,90.122,29.954,16.791,16.791,29.954,16.791,133.597,14.077,19.054,0.0,27.544,0.0,104.062,10.426,27.544
INST0151_N15_W01_D003,96.036,109.164,40.846,101.402,40.846,94.442,101.402,90.122,0.0,106.091,79.708,94.442,14.722,109.164,101.402,106.091,0.0,106.091,101.402,101.402,106.091,101.402,152.865,96.036,109.164,90.122,116.61,90.122,14.722,79.708,116.61
INST0151_N15_W01_P004,41.092,28.769,70.903,14.239,70.903,75.918,14.239,29.954,106.091,0.0,35.196,75.918,120.757,28.769,14.239,0.0,106.091,0.0,14.239,14.239,0.0,14.239,108.909,41.092,28.769,29.954,23.199,29.954,120.757,35.196,23.199
INST0151_N15_W01_D004,20.581,29.48,40.063,24.4,40.063,46.518,24.4,10.426,79.708,35.196,0.0,46.518,93.687,29.48,24.4,35.196,79.708,35.196,24.4,24.4,35.196,24.4,132.406,20.581,29.48,10.426,37.477,10.426,93.687,0.0,37.477
INST0151_N15_W01_P005,35.155,52.507,57.646,61.821,57.646,0.0,61.821,46.592,94.442,75.918,46.518,0.0,104.634,52.507,61.821,75.918,94.442,75.918,61.821,61.821,75.918,61.821,178.909,35.155,52.507,46.592,64.172,46.592,104.634,46.518,64.172
INST0151_N15_W01_D005,109.245,123.055,54.132,115.807,54.132,104.634,115.807,104.062,14.722,120.757,93.687,104.634,0.0,123.055,115.807,120.757,14.722,120.757,115.807,115.807,120.757,115.807,164.396,109.245,123.055,104.062,130.825,104.062,0.0,93.687,130.825
