,depot,INST0231_N20_N21_P000,INST0231_N20_N21_D000,INST0231_N20_N21_P001,INST0231_N20_N21_D001,INST0231_N20_N21_P002,INST0231_N20_N21_D002,INST0231_N20_N21_P003,INST0231_N20_N21_D003,INST0231_N20_N21_P004,INST0231_N20_N21_D004,INST0231_N20_N21_P005,INST0231_N20_N21_D005,INST0231_N20_N21_P006,INST0231_N20_N21_D006,INST0231_N20_N21_P007,INST0231_N20_N21_D007,INST0231_N20_N21_P008,INST0231_N20_N21_D008,INST0231_N20_N21_P009,INST0231_N20_N21_D009,INST0231_N20_N21_P010,INST0231_N20_N21_D010,INST0231_N20_N21_P011,INST0231_N20_N21_D011,INST0231_N20_N21_P012,INST0231_N20_N21_D012,INST0231_N20_N21_P013,INST0231_N20_N21_D013,INST0231_N20_N21_P014,INST0231_N20_N21_D014,INST0231_N20_N21_P015,INST0231_N20_N21_D015,INST0231_N20_N21_P016,INST0231_N20_N21_D016,INST0231_N20_N21_P017,INST0231_N20_N21_D017,INST0231_N20_N21_P018,INST0231_N20_N21_D018,INST0231_N20_N21_P019,INST0231_N20_N21_D019
depot,0.0,25.326,162.63,28.727,0.0,25.326,79.42,28.727,0.0,35.041,99.392,28.727,24.088,79.42,35.041,79.42,28.727,25.326,43.511,24.088,35.041,21.127,25.326,79.42,0.0,24.088,122.983,35.041,139.347,79.42,99.392,43.511,35.041,0.0,35.041,21.127,28.727,25.326,24.088,24.088,25.326
INST0231_N20_N21_P000,25.326,0.0,139.481,17.072,25.326,0.0,56.35,17.072,25.326,58.839,95.498,17.072,26.694,56.35,58.839,56.35,17.072,0.0,49.306,26.694,58.839,31.992,0.0,56.35,25.326,26.694,99.415,58.839,157.017,56.35,95.498,49.306,58.839,25.326,58.839,31.992,17.072,0.0,26.694,26.694,0.0
INST0231_N20_N21_D000,162.63,139.481,0.0,134.948,162.63,139.481,116.851,134.948,162.63,187.802,127.812,134.948,146.035,116.851,187.802,116.851,134.948,139.481,149.729,146.035,187.802,154.717,139.481,116.851,162.63,146.035,40.266,187.802,293.481,116.851,127.812,149.729,187.802,162.63,187.802,154.717,134.948,139.481,146.035,146.035,139.481
INST0231_N20_N21_P001,28.727,17.072,134.948,0.0,28.727,17.072,67.88,0.0,28.727,54.669,78.656,0.0,14.053,67.88,54.669,67.88,0.0,17.072,33.929,14.053,54.669,22.322,17.072,67.88,28.727,14.053,95.867,54.669,167.44,67.88,78.656,33.929,54.669,28.727,54.669,22.322,0.0,17.072,14.053,14.053,17.072
INST0231_N20_N21_D001,0.0,25.326,162.63,28.727,0.0,25.326,79.42,28.727,0.0,35.041,99.392,28.727,24.088,79.42,35.041,79.42,28.727,25.326,43.511,24.088,35.041,21.127,25.326,79.42,0.0,24.088,122.983,35.041,139.347,79.42,99.392,43.511,35.041,0.0,35.041,21.127,28.727,25.326,24.088,24.088,25.326
INST0231_N20_N21_P002,25.326,0.0,139.481,17.072,25.326,0.0,56.35,17.072,25.326,58.839,95.498,17.072,26.694,56.35,58.839,56.35,17.072,0.0,49.306,26.694,58.839,31.992,0.0,56.35,25.326,26.694,99.415,58.839,157.017,56.35,95.498,49.306,58.839,25.326,58.839,31.992,17.072,0.0,26.694,26.694,0.0
INST0231_N20_N21_D002,79.42,56.35,116.851,67.88,79.42,56.35,0.0,67.88,79.42,114.332,131.605,67.88,81.208,0.0,114.332,0.0,67.88,56.35,101.428,81.208,114.332,87.893,56.35,0.0,79.42,81.208,79.694,114.332,182.822,0.0,131.605,101.428,114.332,79.42,114.332,87.893,67.88,56.35,81.208,81.208,56.35
INST0231_N20_N21_P003,28.727,17.072,134.948,0.0,28.727,17.072,67.88,0.0,28.727,54.669,78.656,0.0,14.053,67.88,54.669,67.88,0.0,17.072,33.929,14.053,54.669,22.322,17.072,67.88,28.727,14.053,95.867,54.669,167.44,67.88,78.656,33.929,54.669,28.727,54.669,22.322,0.0,17.072,14.053,14.053,17.072
INST0231_N20_N21_D003,0.0,25.326,162.63,28.727,0.0,25.326,79.42,28.727,0.0,35.041,99.392,28.727,24.088,79.42,35.041,79.42,28.727,25.326,43.511,24.088,35.041,21.127,25.326,79.42,0.0,24.088,122.983,35.041,139.347,79.42,99.392,43.511,35.041,0.0,35.041,21.127,28.727,25.326,24.088,24.088,25.326
INST0231_N20_N21_P004,35.041,58.839,187.802,54.669,35.041,58.839,114.332,54.669,35.041,0.0,99.467,54.669,41.993,114.332,0.0,114.332,54.669,58.839,43.657,41.993,0.0,33.197,58.839,114.332,35.041,41.993,149.69,0.0,134.941,114.332,99.467,43.657,0.0,35.041,0.0,33.197,54.669,58.839,41.993,41.993,58.839
INST0231_N20_N21_D004,99.392,95.498,127.812,78.656,99.392,95.498,131.605,78.656,99.392,99.467,0.0,78.656,75.654,131.605,99.467,131.605,78.656,95.498,57.966,75.654,99.467,78.919,95.498,131.605,99.392,75.654,104.211,99.467,233.468,131.605,0.0,57.966,99.467,99.392,99.467,78.919,78.656,95.498,75.654,75.654,95.498
INST0231_N20_N21_P005,28.727,17.072,134.948,0.0,28.727,17.072,67.88,0.0,28.727,54.669,78.656,0.0,14.053,67.88,54.669,67.88,0.0,17.072,33.929,14.053,54.669,22.322,17.072,67.88,28.727,14.053,95.867,54.669,167.44,67.88,78.656,33.929,54.669,28.727,54.669,22.322,0.0,17.072,14.053,14.053,17.072
INST0231_N20_N21_D005,24.088,26.694,146.035,14.053,24.088,26.694,81.208,14.053,24.088,41.993,75.654,14.053,0.0,81.208,41.993,81.208,14.053,26.694,23.01,0.0,41.993,8.817,26.694,81.208,24.088,0.0,107.703,41.993,162.641,81.208,75.654,23.01,41.993,24.088,41.993,8.817,14.053,26.694,0.0,0.0,26.694
INST0231_N20_N21_P006,79.42,56.35,116.851,67.88,79.42,56.35,0.0,67.88,79.42,114.332,131.605,67.88,81.208,0.0,114.332,0.0,67.88,56.35,101.428,81.208,114.332,87.893,56.35,0.0,79.42,81.208,79.694,114.332,182.822,0.0,131.605,101.428,114.332,79.42,114.332,87.893,67.88,56.35,81.208,81.208,56.35
INST0231_N20_N21_D006,35.041,58.839,187.802,54.669,35.041,58.839,114.332,54.669,35.041,0.0,99.467,54.669,41.993,114.332,0.0,114.332,54.669,58.839,43.657,41.993,0.0,33.197,58.839,114.332,35.041,41.993,149.69,0.0,134.941,114.332,99.467,43.657,0.0,35.041,0.0,33.197,54.669,58.839,41.993,41.993,58.839
INST0231_N20_N21_P007,79.42,56.35,116.851,67.88,79.42,56.35,0.0,67.88,79.42,114.332,131.605,67.88,81.208,0.0,114.332,0.0,67.88,56.35,101.428,81.208,114.332,87.893,56.35,0.0,79.42,81.208,79.694,114.332,182.822,0.0,131.605,101.428,114.332,79.42,114.332,87.893,67.88,56.35,81.208,81.208,56.35
INST0231_N20_N21_D007,28.727,17.072,134.948,0.0,28.727,17.072,67.88,0.0,28.727,54.669,78.656,0.0,14.053,67.88,54.669,67.88,0.0,17.072,33.929,14.053,54.669,22.322,17.072,67.88,28.727,14.053,95.867,54.669,167.44,67.88,78.656,33.929,54.669,28.727,54.669,22.322,0.0,17.072,14.053,14.053,17.072
INST0231_N20_N21_P008,25.326,0.0,139.481,17.072,25.326,0.0,56.35,17.072,25.326,58.839,95.498,17.072,26.694,56.35,58.839,56.35,17.072,0.0,49.306,26.694,58.839,31.992,0.0,56.35,25.326,26.694,99.415,58.839,157.017,56.35,95.498,49.306,58.839,25.326,58.839,31.992,17.072,0.0,26.694,26.694,0.0
