,depot,INST0263_N22_S23_P000,INST0263_N22_S23_D000,INST0263_N22_S23_P001,INST0263_N22_S23_D001,INST0263_N22_S23_P002,INST0263_N22_S23_D002,INST0263_N22_S23_P003,INST0263_N22_S23_D003,INST0263_N22_S23_P004,INST0263_N22_S23_D004,INST0263_N22_S23_P005,INST0263_N22_S23_D005,INST0263_N22_S23_P006,INST0263_N22_S23_D006,INST0263_N22_S23_P007,INST0263_N22_S23_D007,INST0263_N22_S23_P008,INST0263_N22_S23_D008,INST0263_N22_S23_P009,INST0263_N22_S23_D009,INST0263_N22_S23_P010,INST0263_N22_S23_D010,INST0263_N22_S23_P011,INST0263_N22_S23_D011,INST0263_N22_S23_P012,INST0263_N22_S23_D012,INST0263_N22_S23_P013,INST0263_N22_S23_D013,INST0263_N22_S23_P014,INST0263_N22_S23_D014,INST0263_N22_S23_P015,INST0263_N22_S23_D015,INST0263_N22_S23_P016,INST0263_N22_S23_D016,INST0263_N22_S23_P017,INST0263_N22_S23_D017,INST0263_N22_S23_P018,INST0263_N22_S23_D018,INST0263_N22_S23_P019,INST0263_N22_S23_D019,INST0263_N22_S23_P020,INST0263_N22_S23_D020,INST0263_N22_S23_P021,INST0263_N22_S23_D021
depot,0.0,58.521,60.745,41.761,7.008,24.239,7.008,24.239,7.008,60.745,24.239,62.898,129.526,0.0,41.761,5.477,62.898,24.239,49.927,0.0,95.708,26.505,41.761,41.761,58.521,62.898,24.239,7.008,41.761,7.008,41.761,58.521,5.477,24.239,49.927,49.927,60.745,7.008,49.927,62.898,41.761,7.008,129.526,24.239,129.526
INST0263_N22_S23_P000,58.521,0.0,113.587,54.903,65.452,59.019,65.452,59.019,65.452,113.587,59.019,113.511,183.035,58.521,54.903,55.179,113.511,59.019,103.002,58.521,150.208,37.715,54.903,54.903,0.0,113.511,59.019,65.452,54.903,65.452,54.903,0.0,55.179,59.019,103.002,103.002,113.587,65.452,103.002,113.511,54.903,65.452,183.035,59.019,183.035
INST0263_N22_S23_D000,60.745,113.587,0.0,67.889,54.565,55.171,54.565,55.171,54.565,0.0,55.171,77.092,69.589,60.745,67.889,61.394,77.092,55.171,10.867,60.745,36.733,75.908,67.889,67.889,113.587,77.092,55.171,54.565,67.889,54.565,67.889,113.587,61.394,55.171,10.867,10.867,0.0,54.565,10.867,77.092,67.889,54.565,69.589,55.171,69.589
INST0263_N22_S23_P001,41.761,54.903,67.889,0.0,44.339,19.488,44.339,19.488,44.339,67.889,19.488,102.776,134.327,41.761,0.0,36.46,102.776,19.488,59.003,41.761,103.829,24.954,0.0,0.0,54.903,102.776,19.488,44.339,0.0,44.339,0.0,54.903,36.46,19.488,59.003,59.003,67.889,44.339,59.003,102.776,0.0,44.339,134.327,19.488,134.327
INST0263_N22_S23_D001,7.008,65.452,54.565,44.339,0.0,25.439,0.0,25.439,0.0,54.565,25.439,58.699,122.952,7.008,44.339,10.881,58.699,25.439,43.838,7.008,89.072,32.298,44.339,44.339,65.452,58.699,25.439,0.0,44.339,0.0,44.339,65.452,10.881,25.439,43.838,43.838,54.565,0.0,43.838,58.699,44.339,0.0,122.952,25.439,122.952
INST0263_N22_S23_P002,24.239,59.019,55.171,19.488,25.439,0.0,25.439,0.0,25.439,55.171,0.0,83.416,124.222,24.239,19.488,19.629,83.416,0.0,45.002,24.239,91.902,21.517,19.488,19.488,59.019,83.416,0.0,25.439,19.488,25.439,19.488,59.019,19.629,0.0,45.002,45.002,55.171,25.439,45.002,83.416,19.488,25.439,124.222,0.0,124.222
INST0263_N22_S23_D002,7.008,65.452,54.565,44.339,0.0,25.439,0.0,25.439,0.0,54.565,25.439,58.699,122.952,7.008,44.339,10.881,58.699,25.439,43.838,7.008,89.072,32.298,44.339,44.339,65.452,58.699,25.439,0.0,44.339,0.0,44.339,65.452,10.881,25.439,43.838,43.838,54.565,0.0,43.838,58.699,44.339,0.0,122.952,25.439,122.952
INST0263_N22_S23_P003,24.239,59.019,55.171,19.488,25.439,0.0,25.439,0.0,25.439,55.171,0.0,83.416,124.222,24.239,19.488,19.629,83.416,0.0,45.002,24.239,91.902,21.517,19.488,19.488,59.019,83.416,0.0,25.439,19.488,25.439,19.488,59.019,19.629,0.0,45.002,45.002,55.171,25.439,45.002,83.416,19.488,25.439,124.222,0.0,124.222
INST0263_N22_S23_D003,7.008,65.452,54.565,44.339,0.0,25.439,0.0,25.439,0.0,54.565,25.439,58.699,122.952,7.008,44.339,10.881,58.699,25.439,43.838,7.008,89.072,32.298,44.339,44.339,65.452,58.699,25.439,0.0,44.339,0.0,44.339,65.452,10.881,25.439,43.838,43.838,54.565,0.0,43.838,58.699,44.339,0.0,122.952,25.439,122.952
INST0263_N22_S23_P004,60.745,113.587,0.0,67.889,54.565,55.171,54.565,55.171,54.565,0.0,55.171,77.092,69.589,60.745,67.889,61.394,77.092,55.171,10.867,60.745,36.733,75.908,67.889,67.889,113.587,77.092,55.171,54.565,67.889,54.565,67.889,113.587,61.394,55.171,10.867,10.867,0.0,54.565,10.867,77.092,67.889,54.565,69.589,55.171,69.589
