,depot,INST0052_N5_W22_P000,INST0052_N5_W22_D000,INST0052_N5_W22_P001,INST0052_N5_W22_D001,INST0052_N5_W22_P002,INST0052_N5_W22_D002,INST0052_N5_W22_P003,INST0052_N5_W22_D003,INST0052_N5_W22_P004,INST0052_N5_W22_D004
depot,0.0,20.02,32.905,53.818,141.804,75.699,20.02,75.699,53.818,20.081,32.905
INST0052_N5_W22_P000,20.02,0.0,22.951,63.48,150.679,64.294,0.0,64.294,63.48,14.369,22.951
INST0052_N5_W22_D000,32.905,22.951,0.0,50.631,133.769,43.046,22.951,43.046,50.631,37.156,0.0
INST0052_N5_W22_P001,53.818,63.48,50.631,0.0,88.095,68.471,63.48,68.471,0.0,72.151,50.631
INST0052_N5_W22_D001,141.804,150.679,133.769,88.095,0.0,128.123,150.679,128.123,88.095,160.194,133.769
INST0052_N5_W22_P002,75.699,64.294,43.046,68.471,128.123,0.0,64.294,0.0,68.471,78.578,43.046
INST0052_N5_W22_D002,20.02,0.0,22.951,63.48,150.679,64.294,0.0,64.294,63.48,14.369,22.951
INST0052_N5_W22_P003,75.699,64.294,43.046,68.471,128.123,0.0,64.294,0.0,68.471,78.578,43.046
INST0052_N5_W22_D003,53.818,63.48,50.631,0.0,88.095,68.471,63.48,68.471,0.0,72.151,50.631
INST0052_N5_W22_P004,20.081,14.369,37.156,72.151,160.194,78.578,14.369,78.578,72.151,0.0,37.156
INST0052_N5_W22_D004,32.905,22.951,0.0,50.631,133.769,43.046,22.951,43.046,50.631,37.156,0.0
