,depot,INST0288_N25_N18_P000,INST0288_N25_N18_D000,INST0288_N25_N18_P001,INST0288_N25_N18_D001,INST0288_N25_N18_P002,INST0288_N25_N18_D002,INST0288_N25_N18_P003,INST0288_N25_N18_D003,INST0288_N25_N18_P004,INST0288_N25_N18_D004,INST0288_N25_N18_P005,INST0288_N25_N18_D005,INST0288_N25_N18_P006,INST0288_N25_N18_D006,INST0288_N25_N18_P007,INST0288_N25_N18_D007,INST0288_N25_N18_P008,INST0288_N25_N18_D008,INST0288_N25_N18_P009,INST0288_N25_N18_D009,INST0288_N25_N18_P010,INST0288_N25_N18_D010,INST0288_N25_N18_P011,INST0288_N25_N18_D011,INST0288_N25_N18_P012,INST0288_N25_N18_D012,INST0288_N25_N18_P013,INST0288_N25_N18_D013,INST0288_N25_N18_P014,INST0288_N25_N18_D014,INST0288_N25_N18_P015,INST0288_N25_N18_D015,INST0288_N25_N18_P016,INST0288_N25_N18_D016,INST0288_N25_N18_P017,INST0288_N25_N18_D017,INST0288_N25_N18_P018,INST0288_N25_N18_D018,INST0288_N25_N18_P019,INST0288_N25_N18_D019,INST0288_N25_N18_P020,INST0288_N25_N18_D020,INST0288_N25_N18_P021,INST0288_N25_N18_D021,INST0288_N25_N18_P022,INST0288_N25_N18_D022,INST0288_N25_N18_P023,INST0288_N25_N18_D023,INST0288_N25_N18_P024,INST0288_N25_N18_D024
depot,0.0,0.0,28.595,3.413,28.595,56.4,64.653,0.0,24.705,64.653,56.4,56.4,3.413,81.517,134.313,81.517,3.413,0.0,24.705,16.848,37.312,0.0,94.965,16.848,94.965,81.517,3.413,3.413,134.313,16.848,94.965,94.965,0.0,28.595,14.003,81.517,14.003,94.965,56.4,64.653,134.313,16.848,81.517,16.848,134.313,28.595,37.312,64.653,16.848,37.312,81.517
INST0288_N25_N18_P000,0.0,0.0,28.595,3.413,28.595,56.4,64.653,0.0,24.705,64.653,56.4,56.4,3.413,81.517,134.313,81.517,3.413,0.0,24.705,16.848,37.312,0.0,94.965,16.848,94.965,81.517,3.413,3.413,134.313,16.848,94.965,94.965,0.0,28.595,14.003,81.517,14.003,94.965,56.4,64.653,134.313,16.848,81.517,16.848,134.313,28.595,37.312,64.653,16.848,37.312,81.517
INST0288_N25_N18_D000,28.595,28.595,0.0,28.727,0.0,35.041,79.42,28.595,21.127,79.42,35.041,35.041,28.727,99.392,162.63,99.392,28.727,28.595,21.127,24.088,43.511,28.595,122.983,24.088,122.983,99.392,28.727,28.727,162.63,24.088,122.983,122.983,28.595,0.0,25.326,99.392,25.326,122.983,35.041,79.42,162.63,24.088,99.392,24.088,162.63,0.0,43.511,79.42,24.088,43.511,99.392
INST0288_N25_N18_P001,3.413,3.413,28.727,0.0,28.727,54.669,67.88,3.413,22.322,67.88,54.669,54.669,0.0,78.656,134.948,78.656,0.0,3.413,22.322,14.053,33.929,3.413,95.867,14.053,95.867,78.656,0.0,0.0,134.948,14.053,95.867,95.867,3.413,28.727,17.072,78.656,17.072,95.867,54.669,67.88,134.948,14.053,78.656,14.053,134.948,28.727,33.929,67.88,14.053,33.929,78.656
INST0288_N25_N18_D001,28.595,28.595,0.0,28.727,0.0,35.041,79.42,28.595,21.127,79.42,35.041,35.041,28.727,99.392,162.63,99.392,28.727,28.595,21.127,24.088,43.511,28.595,122.983,24.088,122.983,99.392,28.727,28.727,162.63,24.088,122.983,122.983,28.595,0.0,25.326,99.392,25.326,122.983,35.041,79.42,162.63,24.088,99.392,24.088,162.63,0.0,43.511,79.42,24.088,43.511,99.392
INST0288_N25_N18_P002,56.4,56.4,35.041,54.669,35.041,0.0,114.332,56.4,33.197,114.332,0.0,0.0,54.669,99.467,187.802,99.467,54.669,56.4,33.197,41.993,43.657,56.4,149.69,41.993,149.69,99.467,54.669,54.669,187.802,41.993,149.69,149.69,56.4,35.041,58.839,99.467,58.839,149.69,0.0,114.332,187.802,41.993,99.467,41.993,187.802,35.041,43.657,114.332,41.993,43.657,99.467
INST0288_N25_N18_D002,64.653,64.653,79.42,67.88,79.42,114.332,0.0,64.653,87.893,0.0,114.332,114.332,67.88,131.605,116.851,131.605,67.88,64.653,87.893,81.208,101.428,64.653,79.694,81.208,79.694,131.605,67.88,67.88,116.851,81.208,79.694,79.694,64.653,79.42,56.35,131.605,56.35,79.694,114.332,0.0,116.851,81.208,131.605,81.208,116.851,79.42,101.428,0.0,81.208,101.428,131.605
INST0288_N25_N18_P003,0.0,0.0,28.595,3.413,28.595,56.4,64.653,0.0,24.705,64.653,56.4,56.4,3.413,81.517,134.313,81.517,3.413,0.0,24.705,16.848,37.312,0.0,94.965,16.848,94.965,81.517,3.413,3.413,134.313,16.848,94.965,94.965,0.0,28.595,14.003,81.517,14.003,94.965,56.4,64.653,134.313,16.848,81.517,16.848,134.313,28.595,37.312,64.653,16.848,37.312,81.517
INST0288_N25_N18_D003,24.705,24.705,21.127,22.322,21.127,33.197,87.893,24.705,0.0,87.893,33.197,33.197,22.322,78.919,154.717,78.919,22.322,24.705,0.0,8.817,22.387,24.705,116.493,8.817,116.493,78.919,22.322,22.322,154.717,8.817,116.493,116.493,24.705,21.127,31.992,78.919,31.992,116.493,33.197,87.893,154.717,8.817,78.919,8.817,154.717,21.127,22.387,87.893,8.817,22.387,78.919
INST0288_N25_N18_P004,64.653,64.653,79.42,67.88,79.42,114.332,0.0,64.653,87.893,0.0,114.332,114.332,67.88,131.605,116.851,131.605,67.88,64.653,87.893,81.208,101.428,64.653,79.694,81.208,79.694,131.605,67.88,67.88,116.851,81.208,79.694,79.694,64.653,79.42,56.35,131.605,56.35,79.694,114.332,0.0,116.851,81.208,131.605,81.208,116.851,79.42,101.428,0.0,81.208,101.428,131.605
