,depot,INST0260_N22_S20_P000,INST0260_N22_S20_D000,INST0260_N22_S20_P001,INST0260_N22_S20_D001,INST0260_N22_S20_P002,INST0260_N22_S20_D002,INST0260_N22_S20_P003,INST0260_N22_S20_D003,INST0260_N22_S20_P004,INST0260_N22_S20_D004,INST0260_N22_S20_P005,INST0260_N22_S20_D005,INST0260_N22_S20_P006,INST0260_N22_S20_D006,INST0260_N22_S20_P007,INST0260_N22_S20_D007,INST0260_N22_S20_P008,INST0260_N22_S20_D008,INST0260_N22_S20_P009,INST0260_N22_S20_D009,INST0260_N22_S20_P010,INST0260_N22_S20_D010,INST0260_N22_S20_P011,INST0260_N22_S20_D011,INST0260_N22_S20_P012,INST0260_N22_S20_D012,INST0260_N22_S20_P013,INST0260_N22_S20_D013,INST0260_N22_S20_P014,INST0260_N22_S20_D014,INST0260_N22_S20_P015,INST0260_N22_S20_D015,INST0260_N22_S20_P016,INST0260_N22_S20_D016,INST0260_N22_S20_P017,INST0260_N22_S20_D017,INST0260_N22_S20_P018,INST0260_N22_S20_D018,INST0260_N22_S20_P019,INST0260_N22_S20_D019,INST0260_N22_S20_P020,INST0260_N22_S20_D020,INST0260_N22_S20_P021,INST0260_N22_S20_D021
depot,0.0,10.881,68.319,21.478,10.881,0.0,19.629,19.629,61.394,19.629,0.0,55.179,0.0,61.394,50.526,36.46,61.394,50.526,5.477,36.46,10.881,61.394,19.629,55.179,19.629,19.629,50.526,21.478,10.881,68.319,0.0,21.478,61.394,50.526,5.477,50.526,21.478,0.0,10.881,19.629,36.46,50.526,68.319,21.478,5.477
INST0260_N22_S20_P000,10.881,0.0,58.699,32.298,0.0,10.881,25.439,25.439,54.565,25.439,10.881,65.452,10.881,54.565,43.838,44.339,54.565,43.838,7.008,44.339,0.0,54.565,25.439,65.452,25.439,25.439,43.838,32.298,0.0,58.699,10.881,32.298,54.565,43.838,7.008,43.838,32.298,10.881,0.0,25.439,44.339,43.838,58.699,32.298,7.008
INST0260_N22_S20_D000,68.319,58.699,0.0,88.975,58.699,68.319,83.416,83.416,77.092,83.416,68.319,113.511,68.319,77.092,71.865,102.776,77.092,71.865,62.898,102.776,58.699,77.092,83.416,113.511,83.416,83.416,71.865,88.975,58.699,0.0,68.319,88.975,77.092,71.865,62.898,71.865,88.975,68.319,58.699,83.416,102.776,71.865,0.0,88.975,62.898
INST0260_N22_S20_P001,21.478,32.298,88.975,0.0,32.298,21.478,21.517,21.517,75.908,21.517,21.478,37.715,21.478,75.908,65.388,24.954,75.908,65.388,26.505,24.954,32.298,75.908,21.517,37.715,21.517,21.517,65.388,0.0,32.298,88.975,21.478,0.0,75.908,65.388,26.505,65.388,0.0,21.478,32.298,21.517,24.954,65.388,88.975,0.0,26.505
INST0260_N22_S20_D001,10.881,0.0,58.699,32.298,0.0,10.881,25.439,25.439,54.565,25.439,10.881,65.452,10.881,54.565,43.838,44.339,54.565,43.838,7.008,44.339,0.0,54.565,25.439,65.452,25.439,25.439,43.838,32.298,0.0,58.699,10.881,32.298,54.565,43.838,7.008,43.838,32.298,10.881,0.0,25.439,44.339,43.838,58.699,32.298,7.008
INST0260_N22_S20_P002,0.0,10.881,68.319,21.478,10.881,0.0,19.629,19.629,61.394,19.629,0.0,55.179,0.0,61.394,50.526,36.46,61.394,50.526,5.477,36.46,10.881,61.394,19.629,55.179,19.629,19.629,50.526,21.478,10.881,68.319,0.0,21.478,61.394,50.526,5.477,50.526,21.478,0.0,10.881,19.629,36.46,50.526,68.319,21.478,5.477
INST0260_N22_S20_D002,19.629,25.439,83.416,21.517,25.439,19.629,0.0,0.0,55.171,0.0,19.629,59.019,19.629,55.171,45.002,19.488,55.171,45.002,24.239,19.488,25.439,55.171,0.0,59.019,0.0,0.0,45.002,21.517,25.439,83.416,19.629,21.517,55.171,45.002,24.239,45.002,21.517,19.629,25.439,0.0,19.488,45.002,83.416,21.517,24.239
INST0260_N22_S20_P003,19.629,25.439,83.416,21.517,25.439,19.629,0.0,0.0,55.171,0.0,19.629,59.019,19.629,55.171,45.002,19.488,55.171,45.002,24.239,19.488,25.439,55.171,0.0,59.019,0.0,0.0,45.002,21.517,25.439,83.416,19.629,21.517,55.171,45.002,24.239,45.002,21.517,19.629,25.439,0.0,19.488,45.002,83.416,21.517,24.239
INST0260_N22_S20_D003,61.394,54.565,77.092,75.908,54.565,61.394,55.171,55.171,0.0,55.171,61.394,113.587,61.394,0.0,10.867,67.889,0.0,10.867,60.745,67.889,54.565,0.0,55.171,113.587,55.171,55.171,10.867,75.908,54.565,77.092,61.394,75.908,0.0,10.867,60.745,10.867,75.908,61.394,54.565,55.171,67.889,10.867,77.092,75.908,60.745
INST0260_N22_S20_P004,19.629,25.439,83.416,21.517,25.439,19.629,0.0,0.0,55.171,0.0,19.629,59.019,19.629,55.171,45.002,19.488,55.171,45.002,24.239,19.488,25.439,55.171,0.0,59.019,0.0,0.0,45.002,21.517,25.439,83.416,19.629,21.517,55.171,45.002,24.239,45.002,21.517,19.629,25.439,0.0,19.488,45.002,83.416,21.517,24.239
INST0260_N22_S20_D004,0.0,10.881,68.319,21.478,10.881,0.0,19.629,19.629,61.394,19.629,0.0,55.179,0.0,61.394,50.526,36.46,61.394,50.526,5.477,36.46,10.881,61.394,19.629,55.179,19.629,19.629,50.526,21.478,10.881,68.319,0.0,21.478,61.394,50.526,5.477,50.526,21.478,0.0,10.881,19.629,36.46,50.526,68.319,21.478,5.477
INST0260_N22_S20_P005,55.179,65.452,113.511,37.715,65.452,55.179,59.019,59.019,113.587,59.019,55.179,0.0,55.179,113.587,103.002,54.903,113.587,103.002,58.521,54.903,65.452,113.587,59.019,0.0,59.019,59.019,103.002,37.715,65.452,113.511,55.179,37.715,113.587,103.002,58.521,103.002,37.715,55.179,65.452,59.019,54.903,103.002,113.511,37.715,58.521
INST0260_N22_S20_D005,0.0,10.881,68.319,21.478,10.881,0.0,19.629,19.629,61.394,19.629,0.0,55.179,0.0,61.394,50.526,36.46,61.394,50.526,5.477,36.46,10.881,61.394,19.629,55.179,19.629,19.629,50.526,21.478,10.881,68.319,0.0,21.478,61.394,50.526,5.477,50.526,21.478,0.0,10.881,19.629,36.46,50.526,68.319,21.478,5.477
INST0260_N22_S20_P006,61.394,54.565,77.092,75.908,54.565,61.394,55.171,55.171,0.0,55.171,61.394,113.587,61.394,0.0,10.867,67.889,0.0,10.867,60.745,67.889,54.565,0.0,55.171,113.587,55.171,55.171,10.867,75.908,54.565,77.092,61.394,75.908,0.0,10.867,60.745,10.867,75.908,61.394,54.565,55.171,67.889,10.867,77.092,75.908,60.745
INST0260_N22_S20_D006,50.526,43.838,71.865,65.388,43.838,50.526,45.002,45.002,10.867,45.002,50.526,103.002,50.526,10.867,0.0,59.003,10.867,0.0,49.927,59.003,43.838,10.867,45.002,103.002,45.002,45.002,0.0,65.388,43.838,71.865,50.526,65.388,10.867,0.0,49.927,0.0,65.388,50.526,43.838,45.002,59.003,0.0,71.865,65.388,49.927
INST0260_N22_S20_P007,36.46,44.339,102.776,24.954,44.339,36.46,19.488,19.488,67.889,19.488,36.46,54.903,36.46,67.889,59.003,0.0,67.889,59.003,41.761,0.0,44.339,67.889,19.488,54.903,19.488,19.488,59.003,24.954,44.339,102.776,36.46,24.954,67.889,59.003,41.761,59.003,24.954,36.46,44.339,19.488,0.0,59.003,102.776,24.954,41.761
