,depot,INST0032_N5_S02_P000,INST0032_N5_S02_D000,INST0032_N5_S02_P001,INST0032_N5_S02_D001,INST0032_N5_S02_P002,INST0032_N5_S02_D002,INST0032_N5_S02_P003,INST0032_N5_S02_D003,INST0032_N5_S02_P004,INST0032_N5_S02_D004
depot,0.0,72.268,26.348,23.863,72.268,23.863,102.142,55.105,112.533,67.557,112.533
INST0032_N5_S02_P000,72.268,0.0,46.181,67.228,0.0,67.228,138.993,126.125,183.928,139.086,183.928
INST0032_N5_S02_D000,26.348,46.181,0.0,30.556,46.181,30.556,108.949,80.067,137.848,92.948,137.848
INST0032_N5_S02_P001,23.863,67.228,30.556,0.0,67.228,0.0,125.848,72.248,127.137,83.129,127.137
INST0032_N5_S02_D001,72.268,0.0,46.181,67.228,0.0,67.228,138.993,126.125,183.928,139.086,183.928
INST0032_N5_S02_P002,23.863,67.228,30.556,0.0,67.228,0.0,125.848,72.248,127.137,83.129,127.137
INST0032_N5_S02_D002,102.142,138.993,108.949,125.848,138.993,125.848,0.0,87.998,114.428,94.398,114.428
INST0032_N5_S02_P003,55.105,126.125,80.067,72.248,126.125,72.248,87.998,0.0,57.803,13.307,57.803
INST0032_N5_S02_D003,112.533,183.928,137.848,127.137,183.928,127.137,114.428,57.803,0.0,44.98,0.0
INST0032_N5_S02_P004,67.557,139.086,92.948,83.129,139.086,83.129,94.398,13.307,44.98,0.0,44.98
INST0032_N5_S02_D004,112.533,183.928,137.848,127.137,183.928,127.137,114.428,57.803,0.0,44.98,0.0
