,depot,INST0110_N10_S20_P000,INST0110_N10_S20_D000,INST0110_N10_S20_P001,INST0110_N10_S20_D001,INST0110_N10_S20_P002,INST0110_N10_S20_D002,INST0110_N10_S20_P003,INST0110_N10_S20_D003,INST0110_N10_S20_P004,INST0110_N10_S20_D004,INST0110_N10_S20_P005,INST0110_N10_S20_D005,INST0110_N10_S20_P006,INST0110_N10_S20_D006,INST0110_N10_S20_P007,INST0110_N10_S20_D007,INST0110_N10_S20_P008,INST0110_N10_S20_D008,INST0110_N10_S20_P009,INST0110_N10_S20_D009
depot,0.0,19.629,97.061,5.477,36.46,21.478,61.394,0.0,21.478,10.881,61.394,55.179,0.0,61.394,97.061,50.526,0.0,36.46,21.478,19.629,61.394
INST0110_N10_S20_P000,19.629,0.0,91.902,24.239,19.488,21.517,55.171,19.629,21.517,25.439,55.171,59.019,19.629,55.171,91.902,45.002,19.629,19.488,21.517,0.0,55.171
INST0110_N10_S20_D000,97.061,91.902,0.0,95.708,103.829,112.576,36.733,97.061,112.576,89.072,36.733,150.208,97.061,36.733,0.0,47.206,97.061,103.829,112.576,91.902,36.733
INST0110_N10_S20_P001,5.477,24.239,95.708,0.0,41.761,26.505,60.745,5.477,26.505,7.008,60.745,58.521,5.477,60.745,95.708,49.927,5.477,41.761,26.505,24.239,60.745
INST0110_N10_S20_D001,36.46,19.488,103.829,41.761,0.0,24.954,67.889,36.46,24.954,44.339,67.889,54.903,36.46,67.889,103.829,59.003,36.46,0.0,24.954,19.488,67.889
INST0110_N10_S20_P002,21.478,21.517,112.576,26.505,24.954,0.0,75.908,21.478,0.0,32.298,75.908,37.715,21.478,75.908,112.576,65.388,21.478,24.954,0.0,21.517,75.908
INST0110_N10_S20_D002,61.394,55.171,36.733,60.745,67.889,75.908,0.0,61.394,75.908,54.565,0.0,113.587,61.394,0.0,36.733,10.867,61.394,67.889,75.908,55.171,0.0
INST0110_N10_S20_P003,0.0,19.629,97.061,5.477,36.46,21.478,61.394,0.0,21.478,10.881,61.394,55.179,0.0,61.394,97.061,50.526,0.0,36.46,21.478,19.629,61.394
INST0110_N10_S20_D003,21.478,21.517,112.576,26.505,24.954,0.0,75.908,21.478,0.0,32.298,75.908,37.715,21.478,75.908,112.576,65.388,21.478,24.954,0.0,21.517,75.908
INST0110_N10_S20_P004,10.881,25.439,89.072,7.008,44.339,32.298,54.565,10.881,32.298,0.0,54.565,65.452,10.881,54.565,89.072,43.838,10.881,44.339,32.298,25.439,54.565
INST0110_N10_S20_D004,61.394,55.171,36.733,60.745,67.889,75.908,0.0,61.394,75.908,54.565,0.0,113.587,61.394,0.0,36.733,10.867,61.394,67.889,75.908,55.171,0.0
INST0110_N10_S20_P005,55.179,59.019,150.208,58.521,54.903,37.715,113.587,55.179,37.715,65.452,113.587,0.0,55.179,113.587,150.208,103.002,55.179,54.903,37.715,59.019,113.587
INST0110_N10_S20_D005,0.0,19.629,97.061,5.477,36.46,21.478,61.394,0.0,21.478,10.881,61.394,55.179,0.0,61.394,97.061,50.526,0.0,36.46,21.478,19.629,61.394
INST0110_N10_S20_P006,61.394,55.171,36.733,60.745,67.889,75.908,0.0,61.394,75.908,54.565,0.0,113.587,61.394,0.0,36.733,10.867,61.394,67.889,75.908,55.171,0.0
INST0110_N10_S20_D006,97.061,91.902,0.0,95.708,103.829,112.576,36.733,97.061,112.576,89.072,36.733,150.208,97.061,36.733,0.0,47.206,97.061,103.829,112.576,91.902,36.733
INST0110_N10_S20_P007,50.526,45.002,47.206,49.927,59.003,65.388,10.867,50.526,65.388,43.838,10.867,103.002,50.526,10.867,47.206,0.0,50.526,59.003,65.388,45.002,10.867
INST0110_N10_S20_D007,0.0,19.629,97.061,5.477,36.46,21.478,61.394,0.0,21.478,10.881,61.394,55.179,0.0,61.394,97.061,50.526,0.0,36.46,21.478,19.629,61.394
INST0110_N10_S20_P008,36.46,19.488,103.829,41.761,0.0,24.954,67.889,36.46,24.954,44.339,67.889,54.903,36.46,67.889,103.829,59.003,36.46,0.0,24.954,19.488,67.889
INST0110_N10_S20_D008,21.478,21.517,112.576,26.505,24.954,0.0,75.908,21.478,0.0,32.298,75.908,37.715,21.478,75.908,112.576,65.388,21.478,24.954,0.0,21.517,75.908
INST0110_N10_S20_P009,19.629,0.0,91.902,24.239,19.488,21.517,55.171,19.629,21.517,25.439,55.171,59.019,19.629,55.171,91.902,45.002,19.629,19.488,21.517,0.0,55.171
INST0110_N10_S20_D009,61.394,55.171,36.733,60.745,67.889,75.908,0.0,61.394,75.908,54.565,0.0,113.587,61.394,0.0,36.733,10.867,61.394,67.889,75.908,55.171,0.0
