,depot,INST0176_N15_S26_P000,INST0176_N15_S26_D000,INST0176_N15_S26_P001,INST0176_N15_S26_D001,INST0176_N15_S26_P002,INST0176_N15_S26_D002,INST0176_N15_S26_P003,INST0176_N15_S26_D003,INST0176_N15_S26_P004,INST0176_N15_S26_D004,INST0176_N15_S26_P005,INST0176_N15_S26_D005,INST0176_N15_S26_P006,INST0176_N15_S26_D006,INST0176_N15_S26_P007,INST0176_N15_S26_D007,INST0176_N15_S26_P008,INST0176_N15_S26_D008,INST0176_N15_S26_P009,INST0176_N15_S26_D009,INST0176_N15_S26_P010,INST0176_N15_S26_D010,INST0176_N15_S26_P011,INST0176_N15_S26_D011,INST0176_N15_S26_P012,INST0176_N15_S26_D012,INST0176_N15_S26_P013,INST0176_N15_S26_D013,INST0176_N15_S26_P014,INST0176_N15_S26_D014
depot,0.0,32.455,30.556,0.0,26.348,46.181,0.0,39.549,137.848,26.348,32.455,0.0,26.348,30.556,46.181,26.348,80.067,26.348,30.556,26.348,46.181,39.549,26.348,92.948,108.949,46.181,32.455,32.455,26.348,26.348,0.0
INST0176_N15_S26_P000,32.455,0.0,51.136,32.455,29.68,71.658,32.455,8.581,117.194,29.68,0.0,32.455,29.68,51.136,71.658,29.68,61.135,29.68,51.136,29.68,71.658,8.581,29.68,74.382,77.018,71.658,0.0,0.0,29.68,29.68,32.455
INST0176_N15_S26_D000,30.556,51.136,0.0,30.556,23.863,67.228,30.556,54.293,127.137,23.863,51.136,30.556,23.863,0.0,67.228,23.863,72.248,23.863,0.0,23.863,67.228,54.293,23.863,83.129,125.848,67.228,51.136,51.136,23.863,23.863,30.556
INST0176_N15_S26_P001,0.0,32.455,30.556,0.0,26.348,46.181,0.0,39.549,137.848,26.348,32.455,0.0,26.348,30.556,46.181,26.348,80.067,26.348,30.556,26.348,46.181,39.549,26.348,92.948,108.949,46.181,32.455,32.455,26.348,26.348,0.0
INST0176_N15_S26_D001,26.348,29.68,23.863,26.348,0.0,72.268,26.348,31.149,112.533,0.0,29.68,26.348,0.0,23.863,72.268,0.0,55.105,0.0,23.863,0.0,72.268,31.149,0.0,67.557,102.142,72.268,29.68,29.68,0.0,0.0,26.348
INST0176_N15_S26_P002,46.181,71.658,67.228,46.181,72.268,0.0,46.181,80.145,183.928,72.268,71.658,46.181,72.268,67.228,0.0,72.268,126.125,72.268,67.228,72.268,0.0,80.145,72.268,139.086,138.993,0.0,71.658,71.658,72.268,72.268,46.181
INST0176_N15_S26_D002,0.0,32.455,30.556,0.0,26.348,46.181,0.0,39.549,137.848,26.348,32.455,0.0,26.348,30.556,46.181,26.348,80.067,26.348,30.556,26.348,46.181,39.549,26.348,92.948,108.949,46.181,32.455,32.455,26.348,26.348,0.0
INST0176_N15_S26_P003,39.549,8.581,54.293,39.549,31.149,80.145,39.549,0.0,109.068,31.149,8.581,39.549,31.149,54.293,80.145,31.149,53.679,31.149,54.293,31.149,80.145,0.0,31.149,66.815,71.877,80.145,8.581,8.581,31.149,31.149,39.549
INST0176_N15_S26_D003,137.848,117.194,127.137,137.848,112.533,183.928,137.848,109.068,0.0,112.533,117.194,137.848,112.533,127.137,183.928,112.533,57.803,112.533,127.137,112.533,183.928,109.068,112.533,44.98,114.428,183.928,117.194,117.194,112.533,112.533,137.848
INST0176_N15_S26_P004,26.348,29.68,23.863,26.348,0.0,72.268,26.348,31.149,112.533,0.0,29.68,26.348,0.0,23.863,72.268,0.0,55.105,0.0,23.863,0.0,72.268,31.149,0.0,67.557,102.142,72.268,29.68,29.68,0.0,0.0,26.348
INST0176_N15_S26_D004,32.455,0.0,51.136,32.455,29.68,71.658,32.455,8.581,117.194,29.68,0.0,32.455,29.68,51.136,71.658,29.68,61.135,29.68,51.136,29.68,71.658,8.581,29.68,74.382,77.018,71.658,0.0,0.0,29.68,29.68,32.455
INST0176_N15_S26_P005,0.0,32.455,30.556,0.0,26.348,46.181,0.0,39.549,137.848,26.348,32.455,0.0,26.348,30.556,46.181,26.348,80.067,26.348,30.556,26.348,46.181,39.549,26.348,92.948,108.949,46.181,32.455,32.455,26.348,26.348,0.0
INST0176_N15_S26_D005,26.348,29.68,23.863,26.348,0.0,72.268,26.348,31.149,112.533,0.0,29.68,26.348,0.0,23.863,72.268,0.0,55.105,0.0,23.863,0.0,72.268,31.149,0.0,67.557,102.142,72.268,29.68,29.68,0.0,0.0,26.348
INST0176_N15_S26_P006,30.556,51.136,0.0,30.556,23.863,67.228,30.556,54.293,127.137,23.863,51.136,30.556,23.863,0.0,67.228,23.863,72.248,23.863,0.0,23.863,67.228,54.293,23.863,83.129,125.848,67.228,51.136,51.136,23.863,23.863,30.556
INST0176_N15_S26_D006,46.181,71.658,67.228,46.181,72.268,0.0,46.181,80.145,183.928,72.268,71.658,46.181,72.268,67.228,0.0,72.268,126.125,72.268,67.228,72.268,0.0,80.145,72.268,139.086,138.993,0.0,71.658,71.658,72.268,72.268,46.181
INST0176_N15_S26_P007,26.348,29.68,23.863,26.348,0.0,72.268,26.348,31.149,112.533,0.0,29.68,26.348,0.0,23.863,72.268,0.0,55.105,0.0,23.863,0.0,72.268,31.149,0.0,67.557,102.142,72.268,29.68,29.68,0.0,0.0,26.348
INST0176_N15_S26_D007,80.067,61.135,72.248,80.067,55.105,126.125,80.067,53.679,57.803,55.105,61.135,80.067,55.105,72.248,126.125,55.105,0.0,55.105,72.248,55.105,126.125,53.679,55.105,13.307,87.998,126.125,61.135,61.135,55.105,55.105,80.067
INST0176_N15_S26_P008,26.348,29.68,23.863,26.348,0.0,72.268,26.348,31.149,112.533,0.0,29.68,26.348,0.0,23.863,72.268,0.0,55.105,0.0,23.863,0.0,72.268,31.149,0.0,67.557,102.142,72.268,29.68,29.68,0.0,0.0,26.348
INST0176_N15_S26_D008,30.556,51.136,0.0,30.556,23.863,67.228,30.556,54.293,127.137,23.863,51.136,30.556,23.863,0.0,67.228,23.863,72.248,23.863,0.0,23.863,67.228,54.293,23.863,83.129,125.848,67.228,51.136,51.136,23.863,23.863,30.556
INST0176_N15_S26_P009,26.348,29.68,23.863,26.348,0.0,72.268,26.348,31.149,112.533,0.0,29.68,26.348,0.0,23.863,72.268,0.0,55.105,0.0,23.863,0.0,72.268,31.149,0.0,67.557,102.142,72.268,29.68,29.68,0.0,0.0,26.348
INST0176_N15_S26_D009,46.181,71.658,67.228,46.181,72.268,0.0,46.181,80.145,183.928,72.268,71.658,46.181,72.268,67.228,0.0,72.268,126.125,72.268,67.228,72.268,0.0,80.145,72.268,139.086,138.993,0.0,71.658,71.658,72.268,72.268,46.181
INST0176_N15_S26_P010,39.549,8.581,54.293,39.549,31.149,80.145,39.549,0.0,109.068,31.149,8.581,39.549,31.149,54.293,80.145,31.149,53.679,31.149,54.293,31.149,80.145,0.0,31.149,66.815,71.877,80.145,8.581,8.581,31.149,31.149,39.549
INST0176_N15_S26_D010,26.348,29.68,23.863,26.348,0.0,72.268,26.348,31.149,112.533,0.0,29.68,26.348,0.0,23.863,72.268,0.0,55.105,0.0,23.863,0.0,72.268,31.149,0.0,67.557,102.142,72.268,29.68,29.68,0.0,0.0,26.348
INST0176_N15_S26_P011,92.948,74.382,83.129,92.948,67.557,139.086,92.948,66.815,44.98,67.557,74.382,92.948,67.557,83.129,139.086,67.557,13.307,67.557,83.129,67.557,139.086,66.815,67.557,0.0,94.398,139.086,74.382,74.382,67.557,67.557,92.948
INST0176_N15_S26_D011,108.949,77.018,125.848,108.949,102.142,138.993,108.949,71.877,114.428,102.142,77.018,108.949,102.142,125.848,138.993,102.142,87.998,102.142,125.848,102.142,138.993,71.877,102.142,94.398,0.0,138.993,77.018,77.018,102.142,102.142,108.949
INST0176_N15_S26_P012,46.181,71.658,67.228,46.181,72.268,0.0,46.181,80.145,183.928,72.268,71.658,46.181,72.268,67.228,0.0,72.268,126.125,72.268,67.228,72.268,0.0,80.145,72.268,139.086,138.993,0.0,71.658,71.658,72.268,72.268,46.181
INST0176_N15_S26_D012,32.455,0.0,51.136,32.455,29.68,71.658,32.455,8.581,117.194,29.68,0.0,32.455,29.68,51.136,71.658,29.68,61.135,29.68,51.136,29.68,71.658,8.581,29.68,74.382,77.018,71.658,0.0,0.0,29.68,29.68,32.455
INST0176_N15_S26_P013,32.455,0.0,51.136,32.455,29.68,71.658,32.455,8.581,117.194,29.68,0.0,32.455,29.68,51.136,71.658,29.68,61.135,29.68,51.136,29.68,71.658,8.581,29.68,74.382,77.018,71.658,0.0,0.0,29.68,29.68,32.455
INST0176_N15_S26_D013,26.348,29.68,23.863,26.348,0.0,72.268,26.348,31.149,112.533,0.0,29.68,26.348,0.0,23.863,72.268,0.0,55.105,0.0,23.863,0.0,72.268,31.149,0.0,67.557,102.142,72.268,29.68,29.68,0.0,0.0,26.348
INST0176_N15_S26_P014,26.348,29.68,23.863,26.348,0.0,72.268,26.348,31.149,112.533,0.0,29.68,26.348,0.0,23.863,72.268,0.0,55.105,0.0,23.863,0.0,72.268,31.149,0.0,67.557,102.142,72.268,29.68,29.68,0.0,0.0,26.348
INST0176_N15_S26_D014,0.0,32.455,30.556,0.0,26.348,46.181,0.0,39.549,137.848,26.348,32.455,0.0,26.348,30.556,46.181,26.348,80.067,26.348,30.556,26.348,46.181,39.549,26.348,92.948,108.949,46.181,32.455,32.455,26.348,26.348,0.0
