,depot,INST0064_N8_W04_P000,INST0064_N8_W04_D000,INST0064_N8_W04_P001,INST0064_N8_W04_D001,INST0064_N8_W04_P002,INST0064_N8_W04_D002,INST0064_N8_W04_P003,INST0064_N8_W04_D003,INST0064_N8_W04_P004,INST0064_N8_W04_D004,INST0064_N8_W04_P005,INST0064_N8_W04_D005,INST0064_N8_W04_P006,INST0064_N8_W04_D006,INST0064_N8_W04_P007,INST0064_N8_W04_D007
depot,0.0,88.095,147.866,18.026,150.679,0.0,114.719,88.095,150.679,66.284,141.804,66.284,147.866,88.095,141.804,66.284,160.194
INST0064_N8_W04_P000,88.095,0.0,61.972,70.637,63.48,88.095,27.496,0.0,63.48,24.909,53.818,24.909,61.972,0.0,53.818,24.909,72.151
INST0064_N8_W04_D000,147.866,61.972,0.0,129.907,35.228,147.866,43.098,61.972,35.228,86.82,17.435,86.82,0.0,61.972,17.435,86.82,28.407
INST0064_N8_W04_P001,18.026,70.637,129.907,0.0,133.671,18.026,97.602,70.637,133.671,50.015,124.166,50.015,129.907,70.637,124.166,50.015,142.787
INST0064_N8_W04_D001,150.679,63.48,35.228,133.671,0.0,150.679,36.098,63.48,0.0,84.648,20.02,84.648,35.228,63.48,20.02,84.648,14.369
INST0064_N8_W04_P002,0.0,88.095,147.866,18.026,150.679,0.0,114.719,88.095,150.679,66.284,141.804,66.284,147.866,88.095,141.804,66.284,160.194
INST0064_N8_W04_D002,114.719,27.496,43.098,97.602,36.098,114.719,0.0,27.496,36.098,49.056,29.878,49.056,43.098,27.496,29.878,49.056,45.89
INST0064_N8_W04_P003,88.095,0.0,61.972,70.637,63.48,88.095,27.496,0.0,63.48,24.909,53.818,24.909,61.972,0.0,53.818,24.909,72.151
INST0064_N8_W04_D003,150.679,63.48,35.228,133.671,0.0,150.679,36.098,63.48,0.0,84.648,20.02,84.648,35.228,63.48,20.02,84.648,14.369
INST0064_N8_W04_P004,66.284,24.909,86.82,50.015,84.648,66.284,49.056,24.909,84.648,0.0,77.687,0.0,86.82,24.909,77.687,0.0,94.929
INST0064_N8_W04_D004,141.804,53.818,17.435,124.166,20.02,141.804,29.878,53.818,20.02,77.687,0.0,77.687,17.435,53.818,0.0,77.687,20.081
INST0064_N8_W04_P005,66.284,24.909,86.82,50.015,84.648,66.284,49.056,24.909,84.648,0.0,77.687,0.0,86.82,24.909,77.687,0.0,94.929
INST0064_N8_W04_D005,147.866,61.972,0.0,129.907,35.228,147.866,43.098,61.972,35.228,86.82,17.435,86.82,0.0,61.972,17.435,86.82,28.407
INST0064_N8_W04_P006,88.095,0.0,61.972,70.637,63.48,88.095,27.496,0.0,63.48,24.909,53.818,24.909,61.972,0.0,53.818,24.909,72.151
INST0064_N8_W04_D006,141.804,53.818,17.435,124.166,20.02,141.804,29.878,53.818,20.02,77.687,0.0,77.687,17.435,53.818,0.0,77.687,20.081
INST0064_N8_W04_P007,66.284,24.909,86.82,50.015,84.648,66.284,49.056,24.909,84.648,0.0,77.687,0.0,86.82,24.909,77.687,0.0,94.929
INST0064_N8_W04_D007,160.194,72.151,28.407,142.787,14.369,160.194,45.89,72.151,14.369,94.929,20.081,94.929,28.407,72.151,20.081,94.929,0.0
