,depot,INST0246_N22_N06_P000,INST0246_N22_N06_D000,INST0246_N22_N06_P001,INST0246_N22_N06_D001,INST0246_N22_N06_P002,INST0246_N22_N06_D002,INST0246_N22_N06_P003,INST0246_N22_N06_D003,INST0246_N22_N06_P004,INST0246_N22_N06_D004,INST0246_N22_N06_P005,INST0246_N22_N06_D005,INST0246_N22_N06_P006,INST0246_N22_N06_D006,INST0246_N22_N06_P007,INST0246_N22_N06_D007,INST0246_N22_N06_P008,INST0246_N22_N06_D008,INST0246_N22_N06_P009,INST0246_N22_N06_D009,INST0246_N22_N06_P010,INST0246_N22_N06_D010,INST0246_N22_N06_P011,INST0246_N22_N06_D011,INST0246_N22_N06_P012,INST0246_N22_N06_D012,INST0246_N22_N06_P013,INST0246_N22_N06_D013,INST0246_N22_N06_P014,INST0246_N22_N06_D014,INST0246_N22_N06_P015,INST0246_N22_N06_D015,INST0246_N22_N06_P016,INST0246_N22_N06_D016,INST0246_N22_N06_P017,INST0246_N22_N06_D017,INST0246_N22_N06_P018,INST0246_N22_N06_D018,INST0246_N22_N06_P019,INST0246_N22_N06_D019,INST0246_N22_N06_P020,INST0246_N22_N06_D020,INST0246_N22_N06_P021,INST0246_N22_N06_D021
depot,0.0,23.461,132.815,17.254,0.0,28.616,0.0,23.461,19.671,20.683,100.436,28.616,23.461,23.461,0.0,17.254,64.86,17.254,28.616,17.254,0.0,64.86,28.616,17.254,132.815,20.683,113.8,19.671,81.17,64.86,132.815,23.353,132.815,20.683,28.616,28.616,100.436,17.254,100.436,28.616,64.86,0.0,64.86,23.353,19.671
INST0246_N22_N06_P000,23.461,0.0,110.207,18.229,23.461,44.646,23.461,0.0,11.477,13.942,78.292,44.646,0.0,0.0,23.461,18.229,55.435,18.229,44.646,18.229,23.461,55.435,44.646,18.229,110.207,13.942,136.742,11.477,64.236,55.435,110.207,2.788,110.207,13.942,44.646,44.646,78.292,18.229,78.292,44.646,55.435,23.461,55.435,2.788,11.477
INST0246_N22_N06_D000,132.815,110.207,0.0,126.352,132.815,153.371,132.815,110.207,119.262,113.909,32.884,153.371,110.207,110.207,132.815,126.352,95.428,126.352,153.371,126.352,132.815,95.428,153.371,126.352,0.0,113.909,239.676,119.262,104.379,95.428,0.0,109.689,0.0,113.909,153.371,153.371,32.884,126.352,32.884,153.371,95.428,132.815,95.428,109.689,119.262
INST0246_N22_N06_P001,17.254,18.229,126.352,0.0,17.254,27.111,17.254,18.229,7.201,26.126,95.136,27.111,18.229,18.229,17.254,0.0,71.779,0.0,27.111,0.0,17.254,71.779,27.111,0.0,126.352,26.126,127.973,7.201,64.45,71.779,126.352,20.176,126.352,26.126,27.111,27.111,95.136,0.0,95.136,27.111,71.779,17.254,71.779,20.176,7.201
INST0246_N22_N06_D001,0.0,23.461,132.815,17.254,0.0,28.616,0.0,23.461,19.671,20.683,100.436,28.616,23.461,23.461,0.0,17.254,64.86,17.254,28.616,17.254,0.0,64.86,28.616,17.254,132.815,20.683,113.8,19.671,81.17,64.86,132.815,23.353,132.815,20.683,28.616,28.616,100.436,17.254,100.436,28.616,64.86,0.0,64.86,23.353,19.671
INST0246_N22_N06_P002,28.616,44.646,153.371,27.111,28.616,0.0,28.616,44.646,34.294,48.052,122.247,0.0,44.646,44.646,28.616,27.111,93.371,27.111,0.0,27.111,28.616,93.371,0.0,27.111,153.371,48.052,110.202,34.294,81.232,93.371,153.371,46.06,153.371,48.052,0.0,0.0,122.247,27.111,122.247,0.0,93.371,28.616,93.371,46.06,34.294
INST0246_N22_N06_D002,0.0,23.461,132.815,17.254,0.0,28.616,0.0,23.461,19.671,20.683,100.436,28.616,23.461,23.461,0.0,17.254,64.86,17.254,28.616,17.254,0.0,64.86,28.616,17.254,132.815,20.683,113.8,19.671,81.17,64.86,132.815,23.353,132.815,20.683,28.616,28.616,100.436,17.254,100.436,28.616,64.86,0.0,64.86,23.353,19.671
INST0246_N22_N06_P003,23.461,0.0,110.207,18.229,23.461,44.646,23.461,0.0,11.477,13.942,78.292,44.646,0.0,0.0,23.461,18.229,55.435,18.229,44.646,18.229,23.461,55.435,44.646,18.229,110.207,13.942,136.742,11.477,64.236,55.435,110.207,2.788,110.207,13.942,44.646,44.646,78.292,18.229,78.292,44.646,55.435,23.461,55.435,2.788,11.477
INST0246_N22_N06_D003,19.671,11.477,119.262,7.201,19.671,34.294,19.671,11.477,0.0,21.8,87.958,34.294,11.477,11.477,19.671,7.201,66.32,7.201,34.294,7.201,19.671,66.32,34.294,7.201,119.262,21.8,132.823,0.0,61.784,66.32,119.262,13.759,119.262,21.8,34.294,34.294,87.958,7.201,87.958,34.294,66.32,19.671,66.32,13.759,0.0
INST0246_N22_N06_P004,20.683,13.942,113.909,26.126,20.683,48.052,20.683,13.942,21.8,0.0,81.189,48.052,13.942,13.942,20.683,26.126,46.019,26.126,48.052,26.126,20.683,46.019,48.052,26.126,113.909,0.0,128.231,21.8,77.99,46.019,113.909,11.436,113.909,0.0,48.052,48.052,81.189,26.126,81.189,48.052,46.019,20.683,46.019,11.436,21.8
INST0246_N22_N06_D004,100.436,78.292,32.884,95.136,100.436,122.247,100.436,78.292,87.958,81.189,0.0,122.247,78.292,78.292,100.436,95.136,65.084,95.136,122.247,95.136,100.436,65.084,122.247,95.136,32.884,81.189,206.878,87.958,85.106,65.084,32.884,77.555,32.884,81.189,122.247,122.247,0.0,95.136,0.0,122.247,65.084,100.436,65.084,77.555,87.958
INST0246_N22_N06_P005,28.616,44.646,153.371,27.111,28.616,0.0,28.616,44.646,34.294,48.052,122.247,0.0,44.646,44.646,28.616,27.111,93.371,27.111,0.0,27.111,28.616,93.371,0.0,27.111,153.371,48.052,110.202,34.294,81.232,93.371,153.371,46.06,153.371,48.052,0.0,0.0,122.247,27.111,122.247,0.0,93.371,28.616,93.371,46.06,34.294
