,depot,INST0227_N20_S17_P000,INST0227_N20_S17_D000,INST0227_N20_S17_P001,INST0227_N20_S17_D001,INST0227_N20_S17_P002,INST0227_N20_S17_D002,INST0227_N20_S17_P003,INST0227_N20_S17_D003,INST0227_N20_S17_P004,INST0227_N20_S17_D004,INST0227_N20_S17_P005,INST0227_N20_S17_D005,INST0227_N20_S17_P006,INST0227_N20_S17_D006,INST0227_N20_S17_P007,INST0227_N20_S17_D007,INST0227_N20_S17_P008,INST0227_N20_S17_D008,INST0227_N20_S17_P009,INST0227_N20_S17_D009,INST0227_N20_S17_P010,INST0227_N20_S17_D010,INST0227_N20_S17_P011,INST0227_N20_S17_D011,INST0227_N20_S17_P012,INST0227_N20_S17_D012,INST0227_N20_S17_P013,INST0227_N20_S17_D013,INST0227_N20_S17_P014,INST0227_N20_S17_D014,INST0227_N20_S17_P015,INST0227_N20_S17_D015,INST0227_N20_S17_P016,INST0227_N20_S17_D016,INST0227_N20_S17_P017,INST0227_N20_S17_D017,INST0227_N20_S17_P018,INST0227_N20_S17_D018,INST0227_N20_S17_P019,INST0227_N20_S17_D019
depot,0.0,24.036,31.149,31.149,102.142,24.036,26.348,23.863,72.268,26.348,29.68,0.0,152.108,29.68,23.863,29.68,152.108,72.268,55.105,72.268,29.68,0.0,24.036,23.863,24.036,24.036,67.557,23.863,0.0,29.68,23.863,31.149,112.533,26.348,55.105,29.68,0.0,23.863,31.149,72.268,29.68
INST0227_N20_S17_P000,24.036,0.0,13.324,13.324,83.656,0.0,26.3,44.645,67.566,26.3,6.707,24.036,160.028,6.707,44.645,6.707,160.028,67.566,61.869,67.566,6.707,24.036,0.0,44.645,0.0,0.0,75.176,44.645,24.036,6.707,44.645,13.324,118.85,26.3,61.869,6.707,24.036,44.645,13.324,67.566,6.707
INST0227_N20_S17_D000,31.149,13.324,0.0,0.0,71.877,13.324,39.549,54.293,80.145,39.549,8.581,31.149,150.553,8.581,54.293,8.581,150.553,80.145,53.679,80.145,8.581,31.149,13.324,54.293,13.324,13.324,66.815,54.293,31.149,8.581,54.293,0.0,109.068,39.549,53.679,8.581,31.149,54.293,0.0,80.145,8.581
INST0227_N20_S17_P001,31.149,13.324,0.0,0.0,71.877,13.324,39.549,54.293,80.145,39.549,8.581,31.149,150.553,8.581,54.293,8.581,150.553,80.145,53.679,80.145,8.581,31.149,13.324,54.293,13.324,13.324,66.815,54.293,31.149,8.581,54.293,0.0,109.068,39.549,53.679,8.581,31.149,54.293,0.0,80.145,8.581
INST0227_N20_S17_D001,102.142,83.656,71.877,71.877,0.0,83.656,108.949,125.848,138.993,108.949,77.018,102.142,151.155,77.018,125.848,77.018,151.155,138.993,87.998,138.993,77.018,102.142,83.656,125.848,83.656,83.656,94.398,125.848,102.142,77.018,125.848,71.877,114.428,108.949,87.998,77.018,102.142,125.848,71.877,138.993,77.018
INST0227_N20_S17_P002,24.036,0.0,13.324,13.324,83.656,0.0,26.3,44.645,67.566,26.3,6.707,24.036,160.028,6.707,44.645,6.707,160.028,67.566,61.869,67.566,6.707,24.036,0.0,44.645,0.0,0.0,75.176,44.645,24.036,6.707,44.645,13.324,118.85,26.3,61.869,6.707,24.036,44.645,13.324,67.566,6.707
INST0227_N20_S17_D002,26.348,26.3,39.549,39.549,108.949,26.3,0.0,30.556,46.181,0.0,32.455,26.348,177.944,32.455,30.556,32.455,177.944,46.181,80.067,46.181,32.455,26.348,26.3,30.556,26.3,26.3,92.948,30.556,26.348,32.455,30.556,39.549,137.848,0.0,80.067,32.455,26.348,30.556,39.549,46.181,32.455
INST0227_N20_S17_P003,23.863,44.645,54.293,54.293,125.848,44.645,30.556,0.0,67.228,30.556,51.136,23.863,164.482,51.136,0.0,51.136,164.482,67.228,72.248,67.228,51.136,23.863,44.645,0.0,44.645,44.645,83.129,0.0,23.863,51.136,0.0,54.293,127.137,30.556,72.248,51.136,23.863,0.0,54.293,67.228,51.136
INST0227_N20_S17_D003,72.268,67.566,80.145,80.145,138.993,67.566,46.181,67.228,0.0,46.181,71.658,72.268,224.124,71.658,67.228,71.658,224.124,0.0,126.125,0.0,71.658,72.268,67.566,67.228,67.566,67.566,139.086,67.228,72.268,71.658,67.228,80.145,183.928,46.181,126.125,71.658,72.268,67.228,80.145,0.0,71.658
INST0227_N20_S17_P004,26.348,26.3,39.549,39.549,108.949,26.3,0.0,30.556,46.181,0.0,32.455,26.348,177.944,32.455,30.556,32.455,177.944,46.181,80.067,46.181,32.455,26.348,26.3,30.556,26.3,26.3,92.948,30.556,26.348,32.455,30.556,39.549,137.848,0.0,80.067,32.455,26.348,30.556,39.549,46.181,32.455
