,depot,INST0072_N8_N12_P000,INST0072_N8_N12_D000,INST0072_N8_N12_P001,INST0072_N8_N12_D001,INST0072_N8_N12_P002,INST0072_N8_N12_D002,INST0072_N8_N12_P003,INST0072_N8_N12_D003,INST0072_N8_N12_P004,INST0072_N8_N12_D004,INST0072_N8_N12_P005,INST0072_N8_N12_D005,INST0072_N8_N12_P006,INST0072_N8_N12_D006,INST0072_N8_N12_P007,INST0072_N8_N12_D007
depot,0.0,49.306,22.387,33.929,43.657,33.929,149.729,0.0,49.306,57.966,23.01,33.929,49.306,37.312,43.511,57.966,37.312
INST0072_N8_N12_P000,49.306,0.0,31.992,17.072,58.839,17.072,139.481,49.306,0.0,95.498,26.694,17.072,0.0,14.003,25.326,95.498,14.003
INST0072_N8_N12_D000,22.387,31.992,0.0,22.322,33.197,22.322,154.717,22.387,31.992,78.919,8.817,22.322,31.992,24.705,21.127,78.919,24.705
INST0072_N8_N12_P001,33.929,17.072,22.322,0.0,54.669,0.0,134.948,33.929,17.072,78.656,14.053,0.0,17.072,3.413,28.727,78.656,3.413
INST0072_N8_N12_D001,43.657,58.839,33.197,54.669,0.0,54.669,187.802,43.657,58.839,99.467,41.993,54.669,58.839,56.4,35.041,99.467,56.4
INST0072_N8_N12_P002,33.929,17.072,22.322,0.0,54.669,0.0,134.948,33.929,17.072,78.656,14.053,0.0,17.072,3.413,28.727,78.656,3.413
INST0072_N8_N12_D002,149.729,139.481,154.717,134.948,187.802,134.948,0.0,149.729,139.481,127.812,146.035,134.948,139.481,134.313,162.63,127.812,134.313
INST0072_N8_N12_P003,0.0,49.306,22.387,33.929,43.657,33.929,149.729,0.0,49.306,57.966,23.01,33.929,49.306,37.312,43.511,57.966,37.312
INST0072_N8_N12_D003,49.306,0.0,31.992,17.072,58.839,17.072,139.481,49.306,0.0,95.498,26.694,17.072,0.0,14.003,25.326,95.498,14.003
INST0072_N8_N12_P004,57.966,95.498,78.919,78.656,99.467,78.656,127.812,57.966,95.498,0.0,75.654,78.656,95.498,81.517,99.392,0.0,81.517
INST0072_N8_N12_D004,23.01,26.694,8.817,14.053,41.993,14.053,146.035,23.01,26.694,75.654,0.0,14.053,26.694,16.848,24.088,75.654,16.848
INST0072_N8_N12_P005,33.929,17.072,22.322,0.0,54.669,0.0,134.948,33.929,17.072,78.656,14.053,0.0,17.072,3.413,28.727,78.656,3.413
INST0072_N8_N12_D005,49.306,0.0,31.992,17.072,58.839,17.072,139.481,49.306,0.0,95.498,26.694,17.072,0.0,14.003,25.326,95.498,14.003
INST0072_N8_N12_P006,37.312,14.003,24.705,3.413,56.4,3.413,134.313,37.312,14.003,81.517,16.848,3.413,14.003,0.0,28.595,81.517,0.0
INST0072_N8_N12_D006,43.511,25.326,21.127,28.727,35.041,28.727,162.63,43.511,25.326,99.392,24.088,28.727,25.326,28.595,0.0,99.392,28.595
INST0072_N8_N12_P007,57.966,95.498,78.919,78.656,99.467,78.656,127.812,57.966,95.498,0.0,75.654,78.656,95.498,81.517,99.392,0.0,81.517
INST0072_N8_N12_D007,37.312,14.003,24.705,3.413,56.4,3.413,134.313,37.312,14.003,81.517,16.848,3.413,14.003,0.0,28.595,81.517,0.0
