,depot,INST0035_N5_S05_P000,INST0035_N5_S05_D000,INST0035_N5_S05_P001,INST0035_N5_S05_D001,INST0035_N5_S05_P002,INST0035_N5_S05_D002,INST0035_N5_S05_P003,INST0035_N5_S05_D003,INST0035_N5_S05_P004,INST0035_N5_S05_D004
depot,0.0,5.477,68.319,50.526,130.689,21.478,55.179,50.526,5.477,19.629,61.394
INST0035_N5_S05_P000,5.477,0.0,62.898,49.927,129.526,26.505,58.521,49.927,0.0,24.239,60.745
INST0035_N5_S05_D000,68.319,62.898,0.0,71.865,123.443,88.975,113.511,71.865,62.898,83.416,77.092
INST0035_N5_S05_P001,50.526,49.927,71.865,0.0,80.368,65.388,103.002,0.0,49.927,45.002,10.867
INST0035_N5_S05_D001,130.689,129.526,123.443,80.368,0.0,145.321,183.035,80.368,129.526,124.222,69.589
INST0035_N5_S05_P002,21.478,26.505,88.975,65.388,145.321,0.0,37.715,65.388,26.505,21.517,75.908
INST0035_N5_S05_D002,55.179,58.521,113.511,103.002,183.035,37.715,0.0,103.002,58.521,59.019,113.587
INST0035_N5_S05_P003,50.526,49.927,71.865,0.0,80.368,65.388,103.002,0.0,49.927,45.002,10.867
INST0035_N5_S05_D003,5.477,0.0,62.898,49.927,129.526,26.505,58.521,49.927,0.0,24.239,60.745
INST0035_N5_S05_P004,19.629,24.239,83.416,45.002,124.222,21.517,59.019,45.002,24.239,0.0,55.171
INST0035_N5_S05_D004,61.394,60.745,77.092,10.867,69.589,75.908,113.587,10.867,60.745,55.171,0.0
