,depot,INST0153_N15_N03_P000,INST0153_N15_N03_D000,INST0153_N15_N03_P001,INST0153_N15_N03_D001,INST0153_N15_N03_P002,INST0153_N15_N03_D002,INST0153_N15_N03_P003,INST0153_N15_N03_D003,INST0153_N15_N03_P004,INST0153_N15_N03_D004,INST0153_N15_N03_P005,INST0153_N15_N03_D005,INST0153_N15_N03_P006,INST0153_N15_N03_D006,INST0153_N15_N03_P007,INST0153_N15_N03_D007,INST0153_N15_N03_P008,INST0153_N15_N03_D008,INST0153_N15_N03_P009,INST0153_N15_N03_D009,INST0153_N15_N03_P010,INST0153_N15_N03_D010,INST0153_N15_N03_P011,INST0153_N15_N03_D011,INST0153_N15_N03_P012,INST0153_N15_N03_D012,INST0153_N15_N03_P013,INST0153_N15_N03_D013,INST0153_N15_N03_P014,INST0153_N15_N03_D014
depot,0.0,64.653,94.965,0.0,81.517,56.4,81.517,14.003,94.965,81.517,94.965,28.595,37.312,24.705,14.003,56.4,166.496,37.312,3.413,28.595,56.4,64.653,81.517,24.705,3.413,28.595,64.653,3.413,16.848,81.517,134.313
INST0153_N15_N03_P000,64.653,0.0,79.694,64.653,131.605,114.332,131.605,56.35,79.694,131.605,79.694,79.42,101.428,87.893,56.35,114.332,182.822,101.428,67.88,79.42,114.332,0.0,131.605,87.893,67.88,79.42,0.0,67.88,81.208,131.605,116.851
INST0153_N15_N03_D000,94.965,79.694,0.0,94.965,104.211,149.69,104.211,99.415,0.0,104.211,0.0,122.983,114.14,116.493,99.415,149.69,253.32,114.14,95.867,122.983,149.69,79.694,104.211,116.493,95.867,122.983,79.694,95.867,107.703,104.211,40.266
INST0153_N15_N03_P001,0.0,64.653,94.965,0.0,81.517,56.4,81.517,14.003,94.965,81.517,94.965,28.595,37.312,24.705,14.003,56.4,166.496,37.312,3.413,28.595,56.4,64.653,81.517,24.705,3.413,28.595,64.653,3.413,16.848,81.517,134.313
INST0153_N15_N03_D001,81.517,131.605,104.211,81.517,0.0,99.467,0.0,95.498,104.211,0.0,104.211,99.392,57.966,78.919,95.498,99.467,233.468,57.966,78.656,99.392,99.467,131.605,0.0,78.919,78.656,99.392,131.605,78.656,75.654,0.0,127.812
INST0153_N15_N03_P002,56.4,114.332,149.69,56.4,99.467,0.0,99.467,58.839,149.69,99.467,149.69,35.041,43.657,33.197,58.839,0.0,134.941,43.657,54.669,35.041,0.0,114.332,99.467,33.197,54.669,35.041,114.332,54.669,41.993,99.467,187.802
INST0153_N15_N03_D002,81.517,131.605,104.211,81.517,0.0,99.467,0.0,95.498,104.211,0.0,104.211,99.392,57.966,78.919,95.498,99.467,233.468,57.966,78.656,99.392,99.467,131.605,0.0,78.919,78.656,99.392,131.605,78.656,75.654,0.0,127.812
INST0153_N15_N03_P003,14.003,56.35,99.415,14.003,95.498,58.839,95.498,0.0,99.415,95.498,99.415,25.326,49.306,31.992,0.0,58.839,157.017,49.306,17.072,25.326,58.839,56.35,95.498,31.992,17.072,25.326,56.35,17.072,26.694,95.498,139.481
INST0153_N15_N03_D003,94.965,79.694,0.0,94.965,104.211,149.69,104.211,99.415,0.0,104.211,0.0,122.983,114.14,116.493,99.415,149.69,253.32,114.14,95.867,122.983,149.69,79.694,104.211,116.493,95.867,122.983,79.694,95.867,107.703,104.211,40.266
INST0153_N15_N03_P004,81.517,131.605,104.211,81.517,0.0,99.467,0.0,95.498,104.211,0.0,104.211,99.392,57.966,78.919,95.498,99.467,233.468,57.966,78.656,99.392,99.467,131.605,0.0,78.919,78.656,99.392,131.605,78.656,75.654,0.0,127.812
