,depot,INST0090_N10_N00_P000,INST0090_N10_N00_D000,INST0090_N10_N00_P001,INST0090_N10_N00_D001,INST0090_N10_N00_P002,INST0090_N10_N00_D002,INST0090_N10_N00_P003,INST0090_N10_N00_D003,INST0090_N10_N00_P004,INST0090_N10_N00_D004,INST0090_N10_N00_P005,INST0090_N10_N00_D005,INST0090_N10_N00_P006,INST0090_N10_N00_D006,INST0090_N10_N00_P007,INST0090_N10_N00_D007,INST0090_N10_N00_P008,INST0090_N10_N00_D008,INST0090_N10_N00_P009,INST0090_N10_N00_D009
depot,0.0,26.694,107.703,16.848,8.817,81.208,41.993,26.694,14.053,75.654,26.694,41.993,24.088,8.817,81.208,8.817,164.529,8.817,24.088,0.0,81.208
INST0090_N10_N00_P000,26.694,0.0,99.415,14.003,31.992,56.35,58.839,0.0,17.072,95.498,0.0,58.839,25.326,31.992,56.35,31.992,178.773,31.992,25.326,26.694,56.35
INST0090_N10_N00_D000,107.703,99.415,0.0,94.965,116.493,79.694,149.69,99.415,95.867,104.211,99.415,149.69,122.983,116.493,79.694,116.493,272.117,116.493,122.983,107.703,79.694
INST0090_N10_N00_P001,16.848,14.003,94.965,0.0,24.705,64.653,56.4,14.003,3.413,81.517,14.003,56.4,28.595,24.705,64.653,24.705,178.677,24.705,28.595,16.848,64.653
INST0090_N10_N00_D001,8.817,31.992,116.493,24.705,0.0,87.893,33.197,31.992,22.322,78.919,31.992,33.197,21.127,0.0,87.893,0.0,155.714,0.0,21.127,8.817,87.893
INST0090_N10_N00_P002,81.208,56.35,79.694,64.653,87.893,0.0,114.332,56.35,67.88,131.605,56.35,114.332,79.42,87.893,0.0,87.893,229.986,87.893,79.42,81.208,0.0
INST0090_N10_N00_D002,41.993,58.839,149.69,56.4,33.197,114.332,0.0,58.839,54.669,99.467,58.839,0.0,35.041,33.197,114.332,33.197,122.582,33.197,35.041,41.993,114.332
INST0090_N10_N00_P003,26.694,0.0,99.415,14.003,31.992,56.35,58.839,0.0,17.072,95.498,0.0,58.839,25.326,31.992,56.35,31.992,178.773,31.992,25.326,26.694,56.35
INST0090_N10_N00_D003,14.053,17.072,95.867,3.413,22.322,67.88,54.669,17.072,0.0,78.656,17.072,54.669,28.727,22.322,67.88,22.322,177.15,22.322,28.727,14.053,67.88
INST0090_N10_N00_P004,75.654,95.498,104.211,81.517,78.919,131.605,99.467,95.498,78.656,0.0,95.498,99.467,99.392,78.919,131.605,78.919,203.198,78.919,99.392,75.654,131.605
INST0090_N10_N00_D004,26.694,0.0,99.415,14.003,31.992,56.35,58.839,0.0,17.072,95.498,0.0,58.839,25.326,31.992,56.35,31.992,178.773,31.992,25.326,26.694,56.35
INST0090_N10_N00_P005,41.993,58.839,149.69,56.4,33.197,114.332,0.0,58.839,54.669,99.467,58.839,0.0,35.041,33.197,114.332,33.197,122.582,33.197,35.041,41.993,114.332
INST0090_N10_N00_D005,24.088,25.326,122.983,28.595,21.127,79.42,35.041,25.326,28.727,99.392,25.326,35.041,0.0,21.127,79.42,21.127,153.452,21.127,0.0,24.088,79.42
INST0090_N10_N00_P006,8.817,31.992,116.493,24.705,0.0,87.893,33.197,31.992,22.322,78.919,31.992,33.197,21.127,0.0,87.893,0.0,155.714,0.0,21.127,8.817,87.893
INST0090_N10_N00_D006,81.208,56.35,79.694,64.653,87.893,0.0,114.332,56.35,67.88,131.605,56.35,114.332,79.42,87.893,0.0,87.893,229.986,87.893,79.42,81.208,0.0
INST0090_N10_N00_P007,8.817,31.992,116.493,24.705,0.0,87.893,33.197,31.992,22.322,78.919,31.992,33.197,21.127,0.0,87.893,0.0,155.714,0.0,21.127,8.817,87.893
INST0090_N10_N00_D007,164.529,178.773,272.117,178.677,155.714,229.986,122.582,178.773,177.15,203.198,178.773,122.582,153.452,155.714,229.986,155.714,0.0,155.714,153.452,164.529,229.986
INST0090_N10_N00_P008,8.817,31.992,116.493,24.705,0.0,87.893,33.197,31.992,22.322,78.919,31.992,33.197,21.127,0.0,87.893,0.0,155.714,0.0,21.127,8.817,87.893
INST0090_N10_N00_D008,24.088,25.326,122.983,28.595,21.127,79.42,35.041,25.326,28.727,99.392,25.326,35.041,0.0,21.127,79.42,21.127,153.452,21.127,0.0,24.088,79.42
INST0090_N10_N00_P009,0.0,26.694,107.703,16.848,8.817,81.208,41.993,26.694,14.053,75.654,26.694,41.993,24.088,8.817,81.208,8.817,164.529,8.817,24.088,0.0,81.208
INST0090_N10_N00_D009,81.208,56.35,79.694,64.653,87.893,0.0,114.332,56.35,67.88,131.605,56.35,114.332,79.42,87.893,0.0,87.893,229.986,87.893,79.42,81.208,0.0
