,depot,INST0299_N25_S29_P000,INST0299_N25_S29_D000,INST0299_N25_S29_P001,INST0299_N25_S29_D001,INST0299_N25_S29_P002,INST0299_N25_S29_D002,INST0299_N25_S29_P003,INST0299_N25_S29_D003,INST0299_N25_S29_P004,INST0299_N25_S29_D004,INST0299_N25_S29_P005,INST0299_N25_S29_D005,INST0299_N25_S29_P006,INST0299_N25_S29_D006,INST0299_N25_S29_P007,INST0299_N25_S29_D007,INST0299_N25_S29_P008,INST0299_N25_S29_D008,INST0299_N25_S29_P009,INST0299_N25_S29_D009,INST0299_N25_S29_P010,INST0299_N25_S29_D010,INST0299_N25_S29_P011,INST0299_N25_S29_D011,INST0299_N25_S29_P012,INST0299_N25_S29_D012,INST0299_N25_S29_P013,INST0299_N25_S29_D013,INST0299_N25_S29_P014,INST0299_N25_S29_D014,INST0299_N25_S29_P015,INST0299_N25_S29_D015,INST0299_N25_S29_P016,INST0299_N25_S29_D016,INST0299_N25_S29_P017,INST0299_N25_S29_D017,INST0299_N25_S29_P018,INST0299_N25_S29_D018,INST0299_N25_S29_P019,INST0299_N25_S29_D019,INST0299_N25_S29_P020,INST0299_N25_S29_D020,INST0299_N25_S29_P021,INST0299_N25_S29_D021,INST0299_N25_S29_P022,INST0299_N25_S29_D022,INST0299_N25_S29_P023,INST0299_N25_S29_D023,INST0299_N25_S29_P024,INST0299_N25_S29_D024
depot,0.0,65.452,0.0,43.838,44.339,65.452,7.008,43.838,7.008,10.881,32.298,44.339,89.072,44.339,43.838,44.339,43.838,54.565,44.339,65.452,10.881,10.881,65.452,32.298,65.452,25.439,65.452,10.881,89.072,65.452,32.298,25.439,32.298,65.452,44.339,58.699,43.838,0.0,89.072,32.298,89.072,32.298,54.565,54.565,58.699,54.565,58.699,0.0,89.072,65.452,0.0
INST0299_N25_S29_P000,65.452,0.0,65.452,103.002,54.903,0.0,58.521,103.002,58.521,55.179,37.715,54.903,150.208,54.903,103.002,54.903,103.002,113.587,54.903,0.0,55.179,55.179,0.0,37.715,0.0,59.019,0.0,55.179,150.208,0.0,37.715,59.019,37.715,0.0,54.903,113.511,103.002,65.452,150.208,37.715,150.208,37.715,113.587,113.587,113.511,113.587,113.511,65.452,150.208,0.0,65.452
INST0299_N25_S29_D000,0.0,65.452,0.0,43.838,44.339,65.452,7.008,43.838,7.008,10.881,32.298,44.339,89.072,44.339,43.838,44.339,43.838,54.565,44.339,65.452,10.881,10.881,65.452,32.298,65.452,25.439,65.452,10.881,89.072,65.452,32.298,25.439,32.298,65.452,44.339,58.699,43.838,0.0,89.072,32.298,89.072,32.298,54.565,54.565,58.699,54.565,58.699,0.0,89.072,65.452,0.0
INST0299_N25_S29_P001,43.838,103.002,43.838,0.0,59.003,103.002,49.927,0.0,49.927,50.526,65.388,59.003,47.206,59.003,0.0,59.003,0.0,10.867,59.003,103.002,50.526,50.526,103.002,65.388,103.002,45.002,103.002,50.526,47.206,103.002,65.388,45.002,65.388,103.002,59.003,71.865,0.0,43.838,47.206,65.388,47.206,65.388,10.867,10.867,71.865,10.867,71.865,43.838,47.206,103.002,43.838
INST0299_N25_S29_D001,44.339,54.903,44.339,59.003,0.0,54.903,41.761,59.003,41.761,36.46,24.954,0.0,103.829,0.0,59.003,0.0,59.003,67.889,0.0,54.903,36.46,36.46,54.903,24.954,54.903,19.488,54.903,36.46,103.829,54.903,24.954,19.488,24.954,54.903,0.0,102.776,59.003,44.339,103.829,24.954,103.829,24.954,67.889,67.889,102.776,67.889,102.776,44.339,103.829,54.903,44.339
INST0299_N25_S29_P002,65.452,0.0,65.452,103.002,54.903,0.0,58.521,103.002,58.521,55.179,37.715,54.903,150.208,54.903,103.002,54.903,103.002,113.587,54.903,0.0,55.179,55.179,0.0,37.715,0.0,59.019,0.0,55.179,150.208,0.0,37.715,59.019,37.715,0.0,54.903,113.511,103.002,65.452,150.208,37.715,150.208,37.715,113.587,113.587,113.511,113.587,113.511,65.452,150.208,0.0,65.452
INST0299_N25_S29_D002,7.008,58.521,7.008,49.927,41.761,58.521,0.0,49.927,0.0,5.477,26.505,41.761,95.708,41.761,49.927,41.761,49.927,60.745,41.761,58.521,5.477,5.477,58.521,26.505,58.521,24.239,58.521,5.477,95.708,58.521,26.505,24.239,26.505,58.521,41.761,62.898,49.927,7.008,95.708,26.505,95.708,26.505,60.745,60.745,62.898,60.745,62.898,7.008,95.708,58.521,7.008
INST0299_N25_S29_P003,43.838,103.002,43.838,0.0,59.003,103.002,49.927,0.0,49.927,50.526,65.388,59.003,47.206,59.003,0.0,59.003,0.0,10.867,59.003,103.002,50.526,50.526,103.002,65.388,103.002,45.002,103.002,50.526,47.206,103.002,65.388,45.002,65.388,103.002,59.003,71.865,0.0,43.838,47.206,65.388,47.206,65.388,10.867,10.867,71.865,10.867,71.865,43.838,47.206,103.002,43.838
INST0299_N25_S29_D003,7.008,58.521,7.008,49.927,41.761,58.521,0.0,49.927,0.0,5.477,26.505,41.761,95.708,41.761,49.927,41.761,49.927,60.745,41.761,58.521,5.477,5.477,58.521,26.505,58.521,24.239,58.521,5.477,95.708,58.521,26.505,24.239,26.505,58.521,41.761,62.898,49.927,7.008,95.708,26.505,95.708,26.505,60.745,60.745,62.898,60.745,62.898,7.008,95.708,58.521,7.008
INST0299_N25_S29_P004,10.881,55.179,10.881,50.526,36.46,55.179,5.477,50.526,5.477,0.0,21.478,36.46,97.061,36.46,50.526,36.46,50.526,61.394,36.46,55.179,0.0,0.0,55.179,21.478,55.179,19.629,55.179,0.0,97.061,55.179,21.478,19.629,21.478,55.179,36.46,68.319,50.526,10.881,97.061,21.478,97.061,21.478,61.394,61.394,68.319,61.394,68.319,10.881,97.061,55.179,10.881
INST0299_N25_S29_D004,32.298,37.715,32.298,65.388,24.954,37.715,26.505,65.388,26.505,21.478,0.0,24.954,112.576,24.954,65.388,24.954,65.388,75.908,24.954,37.715,21.478,21.478,37.715,0.0,37.715,21.517,37.715,21.478,112.576,37.715,0.0,21.517,0.0,37.715,24.954,88.975,65.388,32.298,112.576,0.0,112.576,0.0,75.908,75.908,88.975,75.908,88.975,32.298,112.576,37.715,32.298
INST0299_N25_S29_P005,44.339,54.903,44.339,59.003,0.0,54.903,41.761,59.003,41.761,36.46,24.954,0.0,103.829,0.0,59.003,0.0,59.003,67.889,0.0,54.903,36.46,36.46,54.903,24.954,54.903,19.488,54.903,36.46,103.829,54.903,24.954,19.488,24.954,54.903,0.0,102.776,59.003,44.339,103.829,24.954,103.829,24.954,67.889,67.889,102.776,67.889,102.776,44.339,103.829,54.903,44.339
INST0299_N25_S29_D005,89.072,150.208,89.072,47.206,103.829,150.208,95.708,47.206,95.708,97.061,112.576,103.829,0.0,103.829,47.206,103.829,47.206,36.733,103.829,150.208,97.061,97.061,150.208,112.576,150.208,91.902,150.208,97.061,0.0,150.208,112.576,91.902,112.576,150.208,103.829,93.449,47.206,89.072,0.0,112.576,0.0,112.576,36.733,36.733,93.449,36.733,93.449,89.072,0.0,150.208,89.072
INST0299_N25_S29_P006,44.339,54.903,44.339,59.003,0.0,54.903,41.761,59.003,41.761,36.46,24.954,0.0,103.829,0.0,59.003,0.0,59.003,67.889,0.0,54.903,36.46,36.46,54.903,24.954,54.903,19.488,54.903,36.46,103.829,54.903,24.954,19.488,24.954,54.903,0.0,102.776,59.003,44.339,103.829,24.954,103.829,24.954,67.889,67.889,102.776,67.889,102.776,44.339,103.829,54.903,44.339
INST0299_N25_S29_D006,43.838,103.002,43.838,0.0,59.003,103.002,49.927,0.0,49.927,50.526,65.388,59.003,47.206,59.003,0.0,59.003,0.0,10.867,59.003,103.002,50.526,50.526,103.002,65.388,103.002,45.002,103.002,50.526,47.206,103.002,65.388,45.002,65.388,103.002,59.003,71.865,0.0,43.838,47.206,65.388,47.206,65.388,10.867,10.867,71.865,10.867,71.865,43.838,47.206,103.002,43.838
INST0299_N25_S29_P007,44.339,54.903,44.339,59.003,0.0,54.903,41.761,59.003,41.761,36.46,24.954,0.0,103.829,0.0,59.003,0.0,59.003,67.889,0.0,54.903,36.46,36.46,54.903,24.954,54.903,19.488,54.903,36.46,103.829,54.903,24.954,19.488,24.954,54.903,0.0,102.776,59.003,44.339,103.829,24.954,103.829,24.954,67.889,67.889,102.776,67.889,102.776,44.339,103.829,54.903,44.339
INST0299_N25_S29_D007,43.838,103.002,43.838,0.0,59.003,103.002,49.927,0.0,49.927,50.526,65.388,59.003,47.206,59.003,0.0,59.003,0.0,10.867,59.003,103.002,50.526,50.526,103.002,65.388,103.002,45.002,103.002,50.526,47.206,103.002,65.388,45.002,65.388,103.002,59.003,71.865,0.0,43.838,47.206,65.388,47.206,65.388,10.867,10.867,71.865,10.867,71.865,43.838,47.206,103.002,43.838
INST0299_N25_S29_P008,54.565,113.587,54.565,10.867,67.889,113.587,60.745,10.867,60.745,61.394,75.908,67.889,36.733,67.889,10.867,67.889,10.867,0.0,67.889,113.587,61.394,61.394,113.587,75.908,113.587,55.171,113.587,61.394,36.733,113.587,75.908,55.171,75.908,113.587,67.889,77.092,10.867,54.565,36.733,75.908,36.733,75.908,0.0,0.0,77.092,0.0,77.092,54.565,36.733,113.587,54.565
