,depot,INST0244_N22_W04_P000,INST0244_N22_W04_D000,INST0244_N22_W04_P001,INST0244_N22_W04_D001,INST0244_N22_W04_P002,INST0244_N22_W04_D002,INST0244_N22_W04_P003,INST0244_N22_W04_D003,INST0244_N22_W04_P004,INST0244_N22_W04_D004,INST0244_N22_W04_P005,INST0244_N22_W04_D005,INST0244_N22_W04_P006,INST0244_N22_W04_D006,INST0244_N22_W04_P007,INST0244_N22_W04_D007,INST0244_N22_W04_P008,INST0244_N22_W04_D008,INST0244_N22_W04_P009,INST0244_N22_W04_D009,INST0244_N22_W04_P010,INST0244_N22_W04_D010,INST0244_N22_W04_P011,INST0244_N22_W04_D011,INST0244_N22_W04_P012,INST0244_N22_W04_D012,INST0244_N22_W04_P013,INST0244_N22_W04_D013,INST0244_N22_W04_P014,INST0244_N22_W04_D014,INST0244_N22_W04_P015,INST0244_N22_W04_D015,INST0244_N22_W04_P016,INST0244_N22_W04_D016,INST0244_N22_W04_P017,INST0244_N22_W04_D017,INST0244_N22_W04_P018,INST0244_N22_W04_D018,INST0244_N22_W04_P019,INST0244_N22_W04_D019,INST0244_N22_W04_P020,INST0244_N22_W04_D020,INST0244_N22_W04_P021,INST0244_N22_W04_D021
depot,0.0,0.0,127.423,88.095,128.123,66.284,147.866,18.026,88.095,18.026,147.866,88.095,114.719,0.0,127.423,66.284,127.423,66.284,133.769,66.284,88.095,0.0,147.866,0.0,141.804,0.0,66.284,18.026,160.194,0.0,127.423,66.284,88.095,66.284,0.0,0.0,114.719,18.026,114.719,88.095,114.719,18.026,66.284,18.026,0.0
INST0244_N22_W04_P000,0.0,0.0,127.423,88.095,128.123,66.284,147.866,18.026,88.095,18.026,147.866,88.095,114.719,0.0,127.423,66.284,127.423,66.284,133.769,66.284,88.095,0.0,147.866,0.0,141.804,0.0,66.284,18.026,160.194,0.0,127.423,66.284,88.095,66.284,0.0,0.0,114.719,18.026,114.719,88.095,114.719,18.026,66.284,18.026,0.0
INST0244_N22_W04_D000,127.423,127.423,0.0,40.204,57.051,61.567,36.679,110.354,40.204,110.354,36.679,40.204,12.767,127.423,0.0,61.567,0.0,61.567,17.238,61.567,40.204,127.423,36.679,127.423,20.56,127.423,61.567,110.354,33.728,127.423,0.0,61.567,40.204,61.567,127.423,127.423,12.767,110.354,12.767,40.204,12.767,110.354,61.567,110.354,127.423
INST0244_N22_W04_P001,88.095,88.095,40.204,0.0,68.471,24.909,61.972,70.637,0.0,70.637,61.972,0.0,27.496,88.095,40.204,24.909,40.204,24.909,50.631,24.909,0.0,88.095,61.972,88.095,53.818,88.095,24.909,70.637,72.151,88.095,40.204,24.909,0.0,24.909,88.095,88.095,27.496,70.637,27.496,0.0,27.496,70.637,24.909,70.637,88.095
INST0244_N22_W04_D001,128.123,128.123,57.051,68.471,0.0,70.587,92.961,115.643,68.471,115.643,92.961,68.471,56.961,128.123,57.051,70.587,57.051,70.587,43.046,70.587,68.471,128.123,92.961,128.123,75.699,128.123,70.587,115.643,78.578,128.123,57.051,70.587,68.471,70.587,128.123,128.123,56.961,115.643,56.961,68.471,56.961,115.643,70.587,115.643,128.123
INST0244_N22_W04_P002,66.284,66.284,61.567,24.909,70.587,0.0,86.82,50.015,24.909,50.015,86.82,24.909,49.056,66.284,61.567,0.0,61.567,0.0,67.612,0.0,24.909,66.284,86.82,66.284,77.687,66.284,0.0,50.015,94.929,66.284,61.567,0.0,24.909,0.0,66.284,66.284,49.056,50.015,49.056,24.909,49.056,50.015,0.0,50.015,66.284
INST0244_N22_W04_D002,147.866,147.866,36.679,61.972,92.961,86.82,0.0,129.907,61.972,129.907,0.0,61.972,43.098,147.866,36.679,86.82,36.679,86.82,50.317,86.82,61.972,147.866,0.0,147.866,17.435,147.866,86.82,129.907,28.407,147.866,36.679,86.82,61.972,86.82,147.866,147.866,43.098,129.907,43.098,61.972,43.098,129.907,86.82,129.907,147.866
INST0244_N22_W04_P003,18.026,18.026,110.354,70.637,115.643,50.015,129.907,0.0,70.637,0.0,129.907,70.637,97.602,18.026,110.354,50.015,110.354,50.015,117.595,50.015,70.637,18.026,129.907,18.026,124.166,18.026,50.015,0.0,142.787,18.026,110.354,50.015,70.637,50.015,18.026,18.026,97.602,0.0,97.602,70.637,97.602,0.0,50.015,0.0,18.026
INST0244_N22_W04_D003,88.095,88.095,40.204,0.0,68.471,24.909,61.972,70.637,0.0,70.637,61.972,0.0,27.496,88.095,40.204,24.909,40.204,24.909,50.631,24.909,0.0,88.095,61.972,88.095,53.818,88.095,24.909,70.637,72.151,88.095,40.204,24.909,0.0,24.909,88.095,88.095,27.496,70.637,27.496,0.0,27.496,70.637,24.909,70.637,88.095
INST0244_N22_W04_P004,18.026,18.026,110.354,70.637,115.643,50.015,129.907,0.0,70.637,0.0,129.907,70.637,97.602,18.026,110.354,50.015,110.354,50.015,117.595,50.015,70.637,18.026,129.907,18.026,124.166,18.026,50.015,0.0,142.787,18.026,110.354,50.015,70.637,50.015,18.026,18.026,97.602,0.0,97.602,70.637,97.602,0.0,50.015,0.0,18.026
INST0244_N22_W04_D004,147.866,147.866,36.679,61.972,92.961,86.82,0.0,129.907,61.972,129.907,0.0,61.972,43.098,147.866,36.679,86.82,36.679,86.82,50.317,86.82,61.972,147.866,0.0,147.866,17.435,147.866,86.82,129.907,28.407,147.866,36.679,86.82,61.972,86.82,147.866,147.866,43.098,129.907,43.098,61.972,43.098,129.907,86.82,129.907,147.866
INST0244_N22_W04_P005,88.095,88.095,40.204,0.0,68.471,24.909,61.972,70.637,0.0,70.637,61.972,0.0,27.496,88.095,40.204,24.909,40.204,24.909,50.631,24.909,0.0,88.095,61.972,88.095,53.818,88.095,24.909,70.637,72.151,88.095,40.204,24.909,0.0,24.909,88.095,88.095,27.496,70.637,27.496,0.0,27.496,70.637,24.909,70.637,88.095
INST0244_N22_W04_D005,114.719,114.719,12.767,27.496,56.961,49.056,43.098,97.602,27.496,97.602,43.098,27.496,0.0,114.719,12.767,49.056,12.767,49.056,25.201,49.056,27.496,114.719,43.098,114.719,29.878,114.719,49.056,97.602,45.89,114.719,12.767,49.056,27.496,49.056,114.719,114.719,0.0,97.602,0.0,27.496,0.0,97.602,49.056,97.602,114.719
INST0244_N22_W04_P006,0.0,0.0,127.423,88.095,128.123,66.284,147.866,18.026,88.095,18.026,147.866,88.095,114.719,0.0,127.423,66.284,127.423,66.284,133.769,66.284,88.095,0.0,147.866,0.0,141.804,0.0,66.284,18.026,160.194,0.0,127.423,66.284,88.095,66.284,0.0,0.0,114.719,18.026,114.719,88.095,114.719,18.026,66.284,18.026,0.0
INST0244_N22_W04_D006,127.423,127.423,0.0,40.204,57.051,61.567,36.679,110.354,40.204,110.354,36.679,40.204,12.767,127.423,0.0,61.567,0.0,61.567,17.238,61.567,40.204,127.423,36.679,127.423,20.56,127.423,61.567,110.354,33.728,127.423,0.0,61.567,40.204,61.567,127.423,127.423,12.767,110.354,12.767,40.204,12.767,110.354,61.567,110.354,127.423
INST0244_N22_W04_P007,66.284,66.284,61.567,24.909,70.587,0.0,86.82,50.015,24.909,50.015,86.82,24.909,49.056,66.284,61.567,0.0,61.567,0.0,67.612,0.0,24.909,66.284,86.82,66.284,77.687,66.284,0.0,50.015,94.929,66.284,61.567,0.0,24.909,0.0,66.284,66.284,49.056,50.015,49.056,24.909,49.056,50.015,0.0,50.015,66.284
INST0244_N22_W04_D007,127.423,127.423,0.0,40.204,57.051,61.567,36.679,110.354,40.204,110.354,36.679,40.204,12.767,127.423,0.0,61.567,0.0,61.567,17.238,61.567,40.204,127.423,36.679,127.423,20.56,127.423,61.567,110.354,33.728,127.423,0.0,61.567,40.204,61.567,127.423,127.423,12.767,110.354,12.767,40.204,12.767,110.354,61.567,110.354,127.423
INST0244_N22_W04_P008,66.284,66.284,61.567,24.909,70.587,0.0,86.82,50.015,24.909,50.015,86.82,24.909,49.056,66.284,61.567,0.0,61.567,0.0,67.612,0.0,24.909,66.284,86.82,66.284,77.687,66.284,0.0,50.015,94.929,66.284,61.567,0.0,24.909,0.0,66.284,66.284,49.056,50.015,49.056,24.909,49.056,50.015,0.0,50.015,66.284
INST0244_N22_W04_D008,133.769,133.769,17.238,50.631,43.046,67.612,50.317,117.595,50.631,117.595,50.317,50.631,25.201,133.769,17.238,67.612,17.238,67.612,0.0,67.612,50.631,133.769,50.317,133.769,32.905,133.769,67.612,117.595,37.156,133.769,17.238,67.612,50.631,67.612,133.769,133.769,25.201,117.595,25.201,50.631,25.201,117.595,67.612,117.595,133.769
INST0244_N22_W04_P009,66.284,66.284,61.567,24.909,70.587,0.0,86.82,50.015,24.909,50.015,86.82,24.909,49.056,66.284,61.567,0.0,61.567,0.0,67.612,0.0,24.909,66.284,86.82,66.284,77.687,66.284,0.0,50.015,94.929,66.284,61.567,0.0,24.909,0.0,66.284,66.284,49.056,50.015,49.056,24.909,49.056,50.015,0.0,50.015,66.284
INST0244_N22_W04_D009,88.095,88.095,40.204,0.0,68.471,24.909,61.972,70.637,0.0,70.637,61.972,0.0,27.496,88.095,40.204,24.909,40.204,24.909,50.631,24.909,0.0,88.095,61.972,88.095,53.818,88.095,24.909,70.637,72.151,88.095,40.204,24.909,0.0,24.909,88.095,88.095,27.496,70.637,27.496,0.0,27.496,70.637,24.909,70.637,88.095
INST0244_N22_W04_P010,0.0,0.0,127.423,88.095,128.123,66.284,147.866,18.026,88.095,18.026,147.866,88.095,114.719,0.0,127.423,66.284,127.423,66.284,133.769,66.284,88.095,0.0,147.866,0.0,141.804,0.0,66.284,18.026,160.194,0.0,127.423,66.284,88.095,66.284,0.0,0.0,114.719,18.026,114.719,88.095,114.719,18.026,66.284,18.026,0.0
INST0244_N22_W04_D010,147.866,147.866,36.679,61.972,92.961,86.82,0.0,129.907,61.972,129.907,0.0,61.972,43.098,147.866,36.679,86.82,36.679,86.82,50.317,86.82,61.972,147.866,0.0,147.866,17.435,147.866,86.82,129.907,28.407,147.866,36.679,86.82,61.972,86.82,147.866,147.866,43.098,129.907,43.098,61.972,43.098,129.907,86.82,129.907,147.866
INST0244_N22_W04_P011,0.0,0.0,127.423,88.095,128.123,66.284,147.866,18.026,88.095,18.026,147.866,88.095,114.719,0.0,127.423,66.284,127.423,66.284,133.769,66.284,88.095,0.0,147.866,0.0,141.804,0.0,66.284,18.026,160.194,0.0,127.423,66.284,88.095,66.284,0.0,0.0,114.719,18.026,114.719,88.095,114.719,18.026,66.284,18.026,0.0
INST0244_N22_W04_D011,141.804,141.804,20.56,53.818,75.699,77.687,17.435,124.166,53.818,124.166,17.435,53.818,29.878,141.804,20.56,77.687,20.56,77.687,32.905,77.687,53.818,141.804,17.435,141.804,0.0,141.804,77.687,124.166,20.081,141.804,20.56,77.687,53.818,77.687,141.804,141.804,29.878,124.166,29.878,53.818,29.878,124.166,77.687,124.166,141.804
INST0244_N22_W04_P012,0.0,0.0,127.423,88.095,128.123,66.284,147.866,18.026,88.095,18.026,147.866,88.095,114.719,0.0,127.423,66.284,127.423,66.284,133.769,66.284,88.095,0.0,147.866,0.0,141.804,0.0,66.284,18.026,160.194,0.0,127.423,66.284,88.095,66.284,0.0,0.0,114.719,18.026,114.719,88.095,114.719,18.026,66.284,18.026,0.0
INST0244_N22_W04_D012,66.284,66.284,61.567,24.909,70.587,0.0,86.82,50.015,24.909,50.015,86.82,24.909,49.056,66.284,61.567,0.0,61.567,0.0,67.612,0.0,24.909,66.284,86.82,66.284,77.687,66.284,0.0,50.015,94.929,66.284,61.567,0.0,24.909,0.0,66.284,66.284,49.056,50.015,49.056,24.909,49.056,50.015,0.0,50.015,66.284
INST0244_N22_W04_P013,18.026,18.026,110.354,70.637,115.643,50.015,129.907,0.0,70.637,0.0,129.907,70.637,97.602,18.026,110.354,50.015,110.354,50.015,117.595,50.015,70.637,18.026,129.907,18.026,124.166,18.026,50.015,0.0,142.787,18.026,110.354,50.015,70.637,50.015,18.026,18.026,97.602,0.0,97.602,70.637,97.602,0.0,50.015,0.0,18.026
INST0244_N22_W04_D013,160.194,160.194,33.728,72.151,78.578,94.929,28.407,142.787,72.151,142.787,28.407,72.151,45.89,160.194,33.728,94.929,33.728,94.929,37.156,94.929,72.151,160.194,28.407,160.194,20.081,160.194,94.929,142.787,0.0,160.194,33.728,94.929,72.151,94.929,160.194,160.194,45.89,142.787,45.89,72.151,45.89,142.787,94.929,142.787,160.194
