,depot,INST0188_N18_S08_P000,INST0188_N18_S08_D000,INST0188_N18_S08_P001,INST0188_N18_S08_D001,INST0188_N18_S08_P002,INST0188_N18_S08_D002,INST0188_N18_S08_P003,INST0188_N18_S08_D003,INST0188_N18_S08_P004,INST0188_N18_S08_D004,INST0188_N18_S08_P005,INST0188_N18_S08_D005,INST0188_N18_S08_P006,INST0188_N18_S08_D006,INST0188_N18_S08_P007,INST0188_N18_S08_D007,INST0188_N18_S08_P008,INST0188_N18_S08_D008,INST0188_N18_S08_P009,INST0188_N18_S08_D009,INST0188_N18_S08_P010,INST0188_N18_S08_D010,INST0188_N18_S08_P011,INST0188_N18_S08_D011,INST0188_N18_S08_P012,INST0188_N18_S08_D012,INST0188_N18_S08_P013,INST0188_N18_S08_D013,INST0188_N18_S08_P014,INST0188_N18_S08_D014,INST0188_N18_S08_P015,INST0188_N18_S08_D015,INST0188_N18_S08_P016,INST0188_N18_S08_D016,INST0188_N18_S08_P017,INST0188_N18_S08_D017
depot,0.0,49.927,24.239,60.745,7.008,41.761,0.0,62.898,26.505,7.008,41.761,62.898,95.708,24.239,7.008,7.008,129.526,62.898,49.927,5.477,24.239,49.927,0.0,24.239,5.477,49.927,58.521,24.239,62.898,5.477,7.008,49.927,95.708,60.745,7.008,41.761,26.505
INST0188_N18_S08_P000,49.927,0.0,45.002,10.867,43.838,59.003,49.927,71.865,65.388,43.838,59.003,71.865,47.206,45.002,43.838,43.838,80.368,71.865,0.0,50.526,45.002,0.0,49.927,45.002,50.526,0.0,103.002,45.002,71.865,50.526,43.838,0.0,47.206,10.867,43.838,59.003,65.388
INST0188_N18_S08_D000,24.239,45.002,0.0,55.171,25.439,19.488,24.239,83.416,21.517,25.439,19.488,83.416,91.902,0.0,25.439,25.439,124.222,83.416,45.002,19.629,0.0,45.002,24.239,0.0,19.629,45.002,59.019,0.0,83.416,19.629,25.439,45.002,91.902,55.171,25.439,19.488,21.517
INST0188_N18_S08_P001,60.745,10.867,55.171,0.0,54.565,67.889,60.745,77.092,75.908,54.565,67.889,77.092,36.733,55.171,54.565,54.565,69.589,77.092,10.867,61.394,55.171,10.867,60.745,55.171,61.394,10.867,113.587,55.171,77.092,61.394,54.565,10.867,36.733,0.0,54.565,67.889,75.908
INST0188_N18_S08_D001,7.008,43.838,25.439,54.565,0.0,44.339,7.008,58.699,32.298,0.0,44.339,58.699,89.072,25.439,0.0,0.0,122.952,58.699,43.838,10.881,25.439,43.838,7.008,25.439,10.881,43.838,65.452,25.439,58.699,10.881,0.0,43.838,89.072,54.565,0.0,44.339,32.298
INST0188_N18_S08_P002,41.761,59.003,19.488,67.889,44.339,0.0,41.761,102.776,24.954,44.339,0.0,102.776,103.829,19.488,44.339,44.339,134.327,102.776,59.003,36.46,19.488,59.003,41.761,19.488,36.46,59.003,54.903,19.488,102.776,36.46,44.339,59.003,103.829,67.889,44.339,0.0,24.954
INST0188_N18_S08_D002,0.0,49.927,24.239,60.745,7.008,41.761,0.0,62.898,26.505,7.008,41.761,62.898,95.708,24.239,7.008,7.008,129.526,62.898,49.927,5.477,24.239,49.927,0.0,24.239,5.477,49.927,58.521,24.239,62.898,5.477,7.008,49.927,95.708,60.745,7.008,41.761,26.505
INST0188_N18_S08_P003,62.898,71.865,83.416,77.092,58.699,102.776,62.898,0.0,88.975,58.699,102.776,0.0,93.449,83.416,58.699,58.699,123.443,0.0,71.865,68.319,83.416,71.865,62.898,83.416,68.319,71.865,113.511,83.416,0.0,68.319,58.699,71.865,93.449,77.092,58.699,102.776,88.975
INST0188_N18_S08_D003,26.505,65.388,21.517,75.908,32.298,24.954,26.505,88.975,0.0,32.298,24.954,88.975,112.576,21.517,32.298,32.298,145.321,88.975,65.388,21.478,21.517,65.388,26.505,21.517,21.478,65.388,37.715,21.517,88.975,21.478,32.298,65.388,112.576,75.908,32.298,24.954,0.0
INST0188_N18_S08_P004,7.008,43.838,25.439,54.565,0.0,44.339,7.008,58.699,32.298,0.0,44.339,58.699,89.072,25.439,0.0,0.0,122.952,58.699,43.838,10.881,25.439,43.838,7.008,25.439,10.881,43.838,65.452,25.439,58.699,10.881,0.0,43.838,89.072,54.565,0.0,44.339,32.298
INST0188_N18_S08_D004,41.761,59.003,19.488,67.889,44.339,0.0,41.761,102.776,24.954,44.339,0.0,102.776,103.829,19.488,44.339,44.339,134.327,102.776,59.003,36.46,19.488,59.003,41.761,19.488,36.46,59.003,54.903,19.488,102.776,36.46,44.339,59.003,103.829,67.889,44.339,0.0,24.954
INST0188_N18_S08_P005,62.898,71.865,83.416,77.092,58.699,102.776,62.898,0.0,88.975,58.699,102.776,0.0,93.449,83.416,58.699,58.699,123.443,0.0,71.865,68.319,83.416,71.865,62.898,83.416,68.319,71.865,113.511,83.416,0.0,68.319,58.699,71.865,93.449,77.092,58.699,102.776,88.975
INST0188_N18_S08_D005,95.708,47.206,91.902,36.733,89.072,103.829,95.708,93.449,112.576,89.072,103.829,93.449,0.0,91.902,89.072,89.072,33.969,93.449,47.206,97.061,91.902,47.206,95.708,91.902,97.061,47.206,150.208,91.902,93.449,97.061,89.072,47.206,0.0,36.733,89.072,103.829,112.576
