,depot,INST0250_N22_W10_P000,INST0250_N22_W10_D000,INST0250_N22_W10_P001,INST0250_N22_W10_D001,INST0250_N22_W10_P002,INST0250_N22_W10_D002,INST0250_N22_W10_P003,INST0250_N22_W10_D003,INST0250_N22_W10_P004,INST0250_N22_W10_D004,INST0250_N22_W10_P005,INST0250_N22_W10_D005,INST0250_N22_W10_P006,INST0250_N22_W10_D006,INST0250_N22_W10_P007,INST0250_N22_W10_D007,INST0250_N22_W10_P008,INST0250_N22_W10_D008,INST0250_N22_W10_P009,INST0250_N22_W10_D009,INST0250_N22_W10_P010,INST0250_N22_W10_D010,INST0250_N22_W10_P011,INST0250_N22_W10_D011,INST0250_N22_W10_P012,INST0250_N22_W10_D012,INST0250_N22_W10_P013,INST0250_N22_W10_D013,INST0250_N22_W10_P014,INST0250_N22_W10_D014,INST0250_N22_W10_P015,INST0250_N22_W10_D015,INST0250_N22_W10_P016,INST0250_N22_W10_D016,INST0250_N22_W10_P017,INST0250_N22_W10_D017,INST0250_N22_W10_P018,INST0250_N22_W10_D018,INST0250_N22_W10_P019,INST0250_N22_W10_D019,INST0250_N22_W10_P020,INST0250_N22_W10_D020,INST0250_N22_W10_P021,INST0250_N22_W10_D021
depot,0.0,19.054,18.744,11.735,69.129,28.769,109.164,51.842,69.129,29.48,123.055,11.735,51.842,28.769,16.35,19.054,29.48,0.0,52.507,52.507,19.054,0.0,18.744,18.744,52.507,16.35,51.842,19.054,29.48,11.735,28.769,28.769,123.055,0.0,19.054,0.0,19.054,18.744,11.735,69.129,0.0,19.054,52.507,11.735,18.744
INST0250_N22_W10_P000,19.054,0.0,14.077,27.544,50.28,29.954,90.122,32.833,50.28,10.426,104.062,27.544,32.833,29.954,16.791,0.0,10.426,19.054,46.592,46.592,0.0,19.054,14.077,14.077,46.592,16.791,32.833,0.0,10.426,27.544,29.954,29.954,104.062,19.054,0.0,19.054,0.0,14.077,27.544,50.28,19.054,0.0,46.592,27.544,14.077
INST0250_N22_W10_D000,18.744,14.077,0.0,30.344,55.217,41.092,96.036,41.349,55.217,20.581,109.245,30.344,41.349,41.092,26.872,14.077,20.581,18.744,35.155,35.155,14.077,18.744,0.0,0.0,35.155,26.872,41.349,14.077,20.581,30.344,41.092,41.092,109.245,18.744,14.077,18.744,14.077,0.0,30.344,55.217,18.744,14.077,35.155,30.344,0.0
INST0250_N22_W10_P001,11.735,27.544,30.344,0.0,77.525,23.199,116.61,58.923,77.525,37.477,130.825,0.0,58.923,23.199,16.399,27.544,37.477,11.735,64.172,64.172,27.544,11.735,30.344,30.344,64.172,16.399,58.923,27.544,37.477,0.0,23.199,23.199,130.825,11.735,27.544,11.735,27.544,30.344,0.0,77.525,11.735,27.544,64.172,0.0,30.344
INST0250_N22_W10_D001,69.129,50.28,55.217,77.525,0.0,70.903,40.846,20.342,0.0,40.063,54.132,77.525,20.342,70.903,63.444,50.28,40.063,69.129,57.646,57.646,50.28,69.129,55.217,55.217,57.646,63.444,20.342,50.28,40.063,77.525,70.903,70.903,54.132,69.129,50.28,69.129,50.28,55.217,77.525,0.0,69.129,50.28,57.646,77.525,55.217
INST0250_N22_W10_P002,28.769,29.954,41.092,23.199,70.903,0.0,106.091,50.611,70.903,35.196,120.757,23.199,50.611,0.0,14.239,29.954,35.196,28.769,75.918,75.918,29.954,28.769,41.092,41.092,75.918,14.239,50.611,29.954,35.196,23.199,0.0,0.0,120.757,28.769,29.954,28.769,29.954,41.092,23.199,70.903,28.769,29.954,75.918,23.199,41.092
INST0250_N22_W10_D002,109.164,90.122,96.036,116.61,40.846,106.091,0.0,57.687,40.846,79.708,14.722,116.61,57.687,106.091,101.402,90.122,79.708,109.164,94.442,94.442,90.122,109.164,96.036,96.036,94.442,101.402,57.687,90.122,79.708,116.61,106.091,106.091,14.722,109.164,90.122,109.164,90.122,96.036,116.61,40.846,109.164,90.122,94.442,116.61,96.036
INST0250_N22_W10_P003,51.842,32.833,41.349,58.923,20.342,50.611,57.687,0.0,20.342,22.455,71.944,58.923,0.0,50.611,43.952,32.833,22.455,51.842,55.918,55.918,32.833,51.842,41.349,41.349,55.918,43.952,0.0,32.833,22.455,58.923,50.611,50.611,71.944,51.842,32.833,51.842,32.833,41.349,58.923,20.342,51.842,32.833,55.918,58.923,41.349
INST0250_N22_W10_D003,69.129,50.28,55.217,77.525,0.0,70.903,40.846,20.342,0.0,40.063,54.132,77.525,20.342,70.903,63.444,50.28,40.063,69.129,57.646,57.646,50.28,69.129,55.217,55.217,57.646,63.444,20.342,50.28,40.063,77.525,70.903,70.903,54.132,69.129,50.28,69.129,50.28,55.217,77.525,0.0,69.129,50.28,57.646,77.525,55.217
INST0250_N22_W10_P004,29.48,10.426,20.581,37.477,40.063,35.196,79.708,22.455,40.063,0.0,93.687,37.477,22.455,35.196,24.4,10.426,0.0,29.48,46.518,46.518,10.426,29.48,20.581,20.581,46.518,24.4,22.455,10.426,0.0,37.477,35.196,35.196,93.687,29.48,10.426,29.48,10.426,20.581,37.477,40.063,29.48,10.426,46.518,37.477,20.581
