,depot,INST0090_N10_N00_P000,INST0090_N10_N00_D000,INST0090_N10_N00_P001,INST0090_N10_N00_D001,INST0090_N10_N00_P002,INST0090_N10_N00_D002,INST0090_N10_N00_P003,INST0090_N10_N00_D003,INST0090_N10_N00_P004,INST0090_N10_N00_D004,INST0090_N10_N00_P005,INST0090_N10_N00_D005,INST0090_N10_N00_P006,INST0090_N10_N00_D006,INST0090_N10_N00_P007,INST0090_N10_N00_D007,INST0090_N10_N00_P008,INST0090_N10_N00_D008,INST0090_N10_N00_P009,INST0090_N10_N00_D009
depot,0.0,21.8,87.958,13.759,7.201,66.32,34.294,21.8,11.477,61.784,21.8,34.294,19.671,7.201,66.32,7.201,134.365,7.201,19.671,0.0,66.32
INST0090_N10_N00_P000,21.8,0.0,81.189,11.436,26.126,46.019,48.052,0.0,13.942,77.99,0.0,48.052,20.683,26.126,46.019,26.126,145.998,26.126,20.683,21.8,46.019
INST0090_N10_N00_D000,87.958,81.189,0.0,77.555,95.136,65.084,122.247,81.189,78.292,85.106,81.189,122.247,100.436,95.136,65.084,95.136,222.229,95.136,100.436,87.958,65.084
INST0090_N10_N00_P001,13.759,11.436,77.555,0.0,20.176,52.8,46.06,11.436,2.788,66.572,11.436,46.06,23.353,20.176,52.8,20.176,145.919,20.176,23.353,13.759,52.8
INST0090_N10_N00_D001,7.201,26.126,95.136,20.176,0.0,71.779,27.111,26.126,18.229,64.45,26.126,27.111,17.254,0.0,71.779,0.0,127.166,0.0,17.254,7.201,71.779
INST0090_N10_N00_P002,66.32,46.019,65.084,52.8,71.779,0.0,93.371,46.019,55.435,107.477,46.019,93.371,64.86,71.779,0.0,71.779,187.822,71.779,64.86,66.32,0.0
INST0090_N10_N00_D002,34.294,48.052,122.247,46.06,27.111,93.371,0.0,48.052,44.646,81.232,48.052,0.0,28.616,27.111,93.371,27.111,100.108,27.111,28.616,34.294,93.371
INST0090_N10_N00_P003,21.8,0.0,81.189,11.436,26.126,46.019,48.052,0.0,13.942,77.99,0.0,48.052,20.683,26.126,46.019,26.126,145.998,26.126,20.683,21.8,46.019
INST0090_N10_N00_D003,11.477,13.942,78.292,2.788,18.229,55.435,44.646,13.942,0.0,64.236,13.942,44.646,23.461,18.229,55.435,18.229,144.673,18.229,23.461,11.477,55.435
INST0090_N10_N00_P004,61.784,77.99,85.106,66.572,64.45,107.477,81.232,77.99,64.236,0.0,77.99,81.232,81.17,64.45,107.477,64.45,165.945,64.45,81.17,61.784,107.477
INST0090_N10_N00_D004,21.8,0.0,81.189,11.436,26.126,46.019,48.052,0.0,13.942,77.99,0.0,48.052,20.683,26.126,46.019,26.126,145.998,26.126,20.683,21.8,46.019
INST0090_N10_N00_P005,34.294,48.052,122.247,46.06,27.111,93.371,0.0,48.052,44.646,81.232,48.052,0.0,28.616,27.111,93.371,27.111,100.108,27.111,28.616,34.294,93.371
INST0090_N10_N00_D005,19.671,20.683,100.436,23.353,17.254,64.86,28.616,20.683,23.461,81.17,20.683,28.616,0.0,17.254,64.86,17.254,125.319,17.254,0.0,19.671,64.86
INST0090_N10_N00_P006,7.201,26.126,95.136,20.176,0.0,71.779,27.111,26.126,18.229,64.45,26.126,27.111,17.254,0.0,71.779,0.0,127.166,0.0,17.254,7.201,71.779
INST0090_N10_N00_D006,66.32,46.019,65.084,52.8,71.779,0.0,93.371,46.019,55.435,107.477,46.019,93.371,64.86,71.779,0.0,71.779,187.822,71.779,64.86,66.32,0.0
INST0090_N10_N00_P007,7.201,26.126,95.136,20.176,0.0,71.779,27.111,26.126,18.229,64.45,26.126,27.111,17.254,0.0,71.779,0.0,127.166,0.0,17.254,7.201,71.779
INST0090_N10_N00_D007,134.365,145.998,222.229,145.919,127.166,187.822,100.108,145.998,144.673,165.945,145.998,100.108,125.319,127.166,187.822,127.166,0.0,127.166,125.319,134.365,187.822
INST0090_N10_N00_P008,7.201,26.126,95.136,20.176,0.0,71.779,27.111,26.126,18.229,64.45,26.126,27.111,17.254,0.0,71.779,0.0,127.166,0.0,17.254,7.201,71.779
INST0090_N10_N00_D008,19.671,20.683,100.436,23.353,17.254,64.86,28.616,20.683,23.461,81.17,20.683,28.616,0.0,17.254,64.86,17.254,125.319,17.254,0.0,19.671,64.86
INST0090_N10_N00_P009,0.0,21.8,87.958,13.759,7.201,66.32,34.294,21.8,11.477,61.784,21.8,34.294,19.671,7.201,66.32,7.201,134.365,7.201,19.671,0.0,66.32
INST0090_N10_N00_D009,66.32,46.019,65.084,52.8,71.779,0.0,93.371,46.019,55.435,107.477,46.019,93.371,64.86,71.779,0.0,71.779,187.822,71.779,64.86,66.32,0.0
