,depot,INST0240_N22_N00_P000,INST0240_N22_N00_D000,INST0240_N22_N00_P001,INST0240_N22_N00_D001,INST0240_N22_N00_P002,INST0240_N22_N00_D002,INST0240_N22_N00_P003,INST0240_N22_N00_D003,INST0240_N22_N00_P004,INST0240_N22_N00_D004,INST0240_N22_N00_P005,INST0240_N22_N00_D005,INST0240_N22_N00_P006,INST0240_N22_N00_D006,INST0240_N22_N00_P007,INST0240_N22_N00_D007,INST0240_N22_N00_P008,INST0240_N22_N00_D008,INST0240_N22_N00_P009,INST0240_N22_N00_D009,INST0240_N22_N00_P010,INST0240_N22_N00_D010,INST0240_N22_N00_P011,INST0240_N22_N00_D011,INST0240_N22_N00_P012,INST0240_N22_N00_D012,INST0240_N22_N00_P013,INST0240_N22_N00_D013,INST0240_N22_N00_P014,INST0240_N22_N00_D014,INST0240_N22_N00_P015,INST0240_N22_N00_D015,INST0240_N22_N00_P016,INST0240_N22_N00_D016,INST0240_N22_N00_P017,INST0240_N22_N00_D017,INST0240_N22_N00_P018,INST0240_N22_N00_D018,INST0240_N22_N00_P019,INST0240_N22_N00_D019,INST0240_N22_N00_P020,INST0240_N22_N00_D020,INST0240_N22_N00_P021,INST0240_N22_N00_D021
depot,0.0,23.01,24.088,75.654,14.053,41.993,0.0,14.053,75.654,24.088,23.01,26.694,24.088,23.01,41.993,8.817,75.654,41.993,14.053,0.0,75.654,0.0,16.848,0.0,26.694,41.993,164.529,81.208,8.817,26.694,23.01,26.694,75.654,75.654,81.208,23.01,75.654,16.848,23.01,24.088,164.529,26.694,23.01,0.0,41.993
INST0240_N22_N00_P000,23.01,0.0,43.511,57.966,33.929,43.657,23.01,33.929,57.966,43.511,0.0,49.306,43.511,0.0,43.657,22.387,57.966,43.657,33.929,23.01,57.966,23.01,37.312,23.01,49.306,43.657,160.581,101.428,22.387,49.306,0.0,49.306,57.966,57.966,101.428,0.0,57.966,37.312,0.0,43.511,160.581,49.306,0.0,23.01,43.657
INST0240_N22_N00_D000,24.088,43.511,0.0,99.392,28.727,35.041,24.088,28.727,99.392,0.0,43.511,25.326,0.0,43.511,35.041,21.127,99.392,35.041,28.727,24.088,99.392,24.088,28.595,24.088,25.326,35.041,153.452,79.42,21.127,25.326,43.511,25.326,99.392,99.392,79.42,43.511,99.392,28.595,43.511,0.0,153.452,25.326,43.511,24.088,35.041
INST0240_N22_N00_P001,75.654,57.966,99.392,0.0,78.656,99.467,75.654,78.656,0.0,99.392,57.966,95.498,99.392,57.966,99.467,78.919,0.0,99.467,78.656,75.654,0.0,75.654,81.517,75.654,95.498,99.467,203.198,131.605,78.919,95.498,57.966,95.498,0.0,0.0,131.605,57.966,0.0,81.517,57.966,99.392,203.198,95.498,57.966,75.654,99.467
INST0240_N22_N00_D001,14.053,33.929,28.727,78.656,0.0,54.669,14.053,0.0,78.656,28.727,33.929,17.072,28.727,33.929,54.669,22.322,78.656,54.669,0.0,14.053,78.656,14.053,3.413,14.053,17.072,54.669,177.15,67.88,22.322,17.072,33.929,17.072,78.656,78.656,67.88,33.929,78.656,3.413,33.929,28.727,177.15,17.072,33.929,14.053,54.669
INST0240_N22_N00_P002,41.993,43.657,35.041,99.467,54.669,0.0,41.993,54.669,99.467,35.041,43.657,58.839,35.041,43.657,0.0,33.197,99.467,0.0,54.669,41.993,99.467,41.993,56.4,41.993,58.839,0.0,122.582,114.332,33.197,58.839,43.657,58.839,99.467,99.467,114.332,43.657,99.467,56.4,43.657,35.041,122.582,58.839,43.657,41.993,0.0
INST0240_N22_N00_D002,0.0,23.01,24.088,75.654,14.053,41.993,0.0,14.053,75.654,24.088,23.01,26.694,24.088,23.01,41.993,8.817,75.654,41.993,14.053,0.0,75.654,0.0,16.848,0.0,26.694,41.993,164.529,81.208,8.817,26.694,23.01,26.694,75.654,75.654,81.208,23.01,75.654,16.848,23.01,24.088,164.529,26.694,23.01,0.0,41.993
INST0240_N22_N00_P003,14.053,33.929,28.727,78.656,0.0,54.669,14.053,0.0,78.656,28.727,33.929,17.072,28.727,33.929,54.669,22.322,78.656,54.669,0.0,14.053,78.656,14.053,3.413,14.053,17.072,54.669,177.15,67.88,22.322,17.072,33.929,17.072,78.656,78.656,67.88,33.929,78.656,3.413,33.929,28.727,177.15,17.072,33.929,14.053,54.669
INST0240_N22_N00_D003,75.654,57.966,99.392,0.0,78.656,99.467,75.654,78.656,0.0,99.392,57.966,95.498,99.392,57.966,99.467,78.919,0.0,99.467,78.656,75.654,0.0,75.654,81.517,75.654,95.498,99.467,203.198,131.605,78.919,95.498,57.966,95.498,0.0,0.0,131.605,57.966,0.0,81.517,57.966,99.392,203.198,95.498,57.966,75.654,99.467
INST0240_N22_N00_P004,24.088,43.511,0.0,99.392,28.727,35.041,24.088,28.727,99.392,0.0,43.511,25.326,0.0,43.511,35.041,21.127,99.392,35.041,28.727,24.088,99.392,24.088,28.595,24.088,25.326,35.041,153.452,79.42,21.127,25.326,43.511,25.326,99.392,99.392,79.42,43.511,99.392,28.595,43.511,0.0,153.452,25.326,43.511,24.088,35.041
