,depot,INST0136_N12_W16_P000,INST0136_N12_W16_D000,INST0136_N12_W16_P001,INST0136_N12_W16_D001,INST0136_N12_W16_P002,INST0136_N12_W16_D002,INST0136_N12_W16_P003,INST0136_N12_W16_D003,INST0136_N12_W16_P004,INST0136_N12_W16_D004,INST0136_N12_W16_P005,INST0136_N12_W16_D005,INST0136_N12_W16_P006,INST0136_N12_W16_D006,INST0136_N12_W16_P007,INST0136_N12_W16_D007,INST0136_N12_W16_P008,INST0136_N12_W16_D008,INST0136_N12_W16_P009,INST0136_N12_W16_D009,INST0136_N12_W16_P010,INST0136_N12_W16_D010,INST0136_N12_W16_P011,INST0136_N12_W16_D011
depot,0.0,18.744,109.245,18.744,55.217,18.744,14.077,26.872,147.26,41.092,147.26,14.077,18.744,41.092,18.744,26.872,55.217,26.872,109.245,35.155,96.036,18.744,109.245,14.077,96.036
INST0136_N12_W16_P000,18.744,0.0,123.055,0.0,69.129,0.0,19.054,16.35,137.675,28.769,137.675,19.054,0.0,28.769,0.0,16.35,69.129,16.35,123.055,52.507,109.164,0.0,123.055,19.054,109.164
INST0136_N12_W16_D000,109.245,123.055,0.0,123.055,54.132,123.055,104.062,115.807,164.396,120.757,164.396,104.062,123.055,120.757,123.055,115.807,54.132,115.807,0.0,104.634,14.722,123.055,0.0,104.062,14.722
INST0136_N12_W16_P001,18.744,0.0,123.055,0.0,69.129,0.0,19.054,16.35,137.675,28.769,137.675,19.054,0.0,28.769,0.0,16.35,69.129,16.35,123.055,52.507,109.164,0.0,123.055,19.054,109.164
INST0136_N12_W16_D001,55.217,69.129,54.132,69.129,0.0,69.129,50.28,63.444,143.94,70.903,143.94,50.28,69.129,70.903,69.129,63.444,0.0,63.444,54.132,57.646,40.846,69.129,54.132,50.28,40.846
INST0136_N12_W16_P002,18.744,0.0,123.055,0.0,69.129,0.0,19.054,16.35,137.675,28.769,137.675,19.054,0.0,28.769,0.0,16.35,69.129,16.35,123.055,52.507,109.164,0.0,123.055,19.054,109.164
INST0136_N12_W16_D002,14.077,19.054,104.062,19.054,50.28,19.054,0.0,16.791,133.597,29.954,133.597,0.0,19.054,29.954,19.054,16.791,50.28,16.791,104.062,46.592,90.122,19.054,104.062,0.0,90.122
INST0136_N12_W16_P003,26.872,16.35,115.807,16.35,63.444,16.35,16.791,0.0,122.204,14.239,122.204,16.791,16.35,14.239,16.35,0.0,63.444,0.0,115.807,61.821,101.402,16.35,115.807,16.791,101.402
INST0136_N12_W16_D003,147.26,137.675,164.396,137.675,143.94,137.675,133.597,122.204,0.0,108.909,0.0,133.597,137.675,108.909,137.675,122.204,143.94,122.204,164.396,178.909,152.865,137.675,164.396,133.597,152.865
INST0136_N12_W16_P004,41.092,28.769,120.757,28.769,70.903,28.769,29.954,14.239,108.909,0.0,108.909,29.954,28.769,0.0,28.769,14.239,70.903,14.239,120.757,75.918,106.091,28.769,120.757,29.954,106.091
INST0136_N12_W16_D004,147.26,137.675,164.396,137.675,143.94,137.675,133.597,122.204,0.0,108.909,0.0,133.597,137.675,108.909,137.675,122.204,143.94,122.204,164.396,178.909,152.865,137.675,164.396,133.597,152.865
