,depot,INST0083_N8_S23_P000,INST0083_N8_S23_D000,INST0083_N8_S23_P001,INST0083_N8_S23_D001,INST0083_N8_S23_P002,INST0083_N8_S23_D002,INST0083_N8_S23_P003,INST0083_N8_S23_D003,INST0083_N8_S23_P004,INST0083_N8_S23_D004,INST0083_N8_S23_P005,INST0083_N8_S23_D005,INST0083_N8_S23_P006,INST0083_N8_S23_D006,INST0083_N8_S23_P007,INST0083_N8_S23_D007
depot,0.0,60.745,5.477,60.745,0.0,62.898,41.761,60.745,24.239,62.898,95.708,60.745,7.008,0.0,62.898,60.745,7.008
INST0083_N8_S23_P000,60.745,0.0,61.394,0.0,60.745,77.092,67.889,0.0,55.171,77.092,36.733,0.0,54.565,60.745,77.092,0.0,54.565
INST0083_N8_S23_D000,5.477,61.394,0.0,61.394,5.477,68.319,36.46,61.394,19.629,68.319,97.061,61.394,10.881,5.477,68.319,61.394,10.881
INST0083_N8_S23_P001,60.745,0.0,61.394,0.0,60.745,77.092,67.889,0.0,55.171,77.092,36.733,0.0,54.565,60.745,77.092,0.0,54.565
INST0083_N8_S23_D001,0.0,60.745,5.477,60.745,0.0,62.898,41.761,60.745,24.239,62.898,95.708,60.745,7.008,0.0,62.898,60.745,7.008
INST0083_N8_S23_P002,62.898,77.092,68.319,77.092,62.898,0.0,102.776,77.092,83.416,0.0,93.449,77.092,58.699,62.898,0.0,77.092,58.699
INST0083_N8_S23_D002,41.761,67.889,36.46,67.889,41.761,102.776,0.0,67.889,19.488,102.776,103.829,67.889,44.339,41.761,102.776,67.889,44.339
INST0083_N8_S23_P003,60.745,0.0,61.394,0.0,60.745,77.092,67.889,0.0,55.171,77.092,36.733,0.0,54.565,60.745,77.092,0.0,54.565
INST0083_N8_S23_D003,24.239,55.171,19.629,55.171,24.239,83.416,19.488,55.171,0.0,83.416,91.902,55.171,25.439,24.239,83.416,55.171,25.439
INST0083_N8_S23_P004,62.898,77.092,68.319,77.092,62.898,0.0,102.776,77.092,83.416,0.0,93.449,77.092,58.699,62.898,0.0,77.092,58.699
INST0083_N8_S23_D004,95.708,36.733,97.061,36.733,95.708,93.449,103.829,36.733,91.902,93.449,0.0,36.733,89.072,95.708,93.449,36.733,89.072
INST0083_N8_S23_P005,60.745,0.0,61.394,0.0,60.745,77.092,67.889,0.0,55.171,77.092,36.733,0.0,54.565,60.745,77.092,0.0,54.565
INST0083_N8_S23_D005,7.008,54.565,10.881,54.565,7.008,58.699,44.339,54.565,25.439,58.699,89.072,54.565,0.0,7.008,58.699,54.565,0.0
INST0083_N8_S23_P006,0.0,60.745,5.477,60.745,0.0,62.898,41.761,60.745,24.239,62.898,95.708,60.745,7.008,0.0,62.898,60.745,7.008
INST0083_N8_S23_D006,62.898,77.092,68.319,77.092,62.898,0.0,102.776,77.092,83.416,0.0,93.449,77.092,58.699,62.898,0.0,77.092,58.699
INST0083_N8_S23_P007,60.745,0.0,61.394,0.0,60.745,77.092,67.889,0.0,55.171,77.092,36.733,0.0,54.565,60.745,77.092,0.0,54.565
INST0083_N8_S23_D007,7.008,54.565,10.881,54.565,7.008,58.699,44.339,54.565,25.439,58.699,89.072,54.565,0.0,7.008,58.699,54.565,0.0
