,depot,INST0077_N8_S17_P000,INST0077_N8_S17_D000,INST0077_N8_S17_P001,INST0077_N8_S17_D001,INST0077_N8_S17_P002,INST0077_N8_S17_D002,INST0077_N8_S17_P003,INST0077_N8_S17_D003,INST0077_N8_S17_P004,INST0077_N8_S17_D004,INST0077_N8_S17_P005,INST0077_N8_S17_D005,INST0077_N8_S17_P006,INST0077_N8_S17_D006,INST0077_N8_S17_P007,INST0077_N8_S17_D007
depot,0.0,19.629,55.171,0.0,19.488,55.171,45.002,19.629,59.019,55.171,124.222,19.629,45.002,24.239,91.902,25.439,21.517
INST0077_N8_S17_P000,19.629,0.0,61.394,19.629,36.46,61.394,50.526,0.0,55.179,61.394,130.689,0.0,50.526,5.477,97.061,10.881,21.478
INST0077_N8_S17_D000,55.171,61.394,0.0,55.171,67.889,0.0,10.867,61.394,113.587,0.0,69.589,61.394,10.867,60.745,36.733,54.565,75.908
INST0077_N8_S17_P001,0.0,19.629,55.171,0.0,19.488,55.171,45.002,19.629,59.019,55.171,124.222,19.629,45.002,24.239,91.902,25.439,21.517
INST0077_N8_S17_D001,19.488,36.46,67.889,19.488,0.0,67.889,59.003,36.46,54.903,67.889,134.327,36.46,59.003,41.761,103.829,44.339,24.954
INST0077_N8_S17_P002,55.171,61.394,0.0,55.171,67.889,0.0,10.867,61.394,113.587,0.0,69.589,61.394,10.867,60.745,36.733,54.565,75.908
INST0077_N8_S17_D002,45.002,50.526,10.867,45.002,59.003,10.867,0.0,50.526,103.002,10.867,80.368,50.526,0.0,49.927,47.206,43.838,65.388
INST0077_N8_S17_P003,19.629,0.0,61.394,19.629,36.46,61.394,50.526,0.0,55.179,61.394,130.689,0.0,50.526,5.477,97.061,10.881,21.478
INST0077_N8_S17_D003,59.019,55.179,113.587,59.019,54.903,113.587,103.002,55.179,0.0,113.587,183.035,55.179,103.002,58.521,150.208,65.452,37.715
INST0077_N8_S17_P004,55.171,61.394,0.0,55.171,67.889,0.0,10.867,61.394,113.587,0.0,69.589,61.394,10.867,60.745,36.733,54.565,75.908
INST0077_N8_S17_D004,124.222,130.689,69.589,124.222,134.327,69.589,80.368,130.689,183.035,69.589,0.0,130.689,80.368,129.526,33.969,122.952,145.321
INST0077_N8_S17_P005,19.629,0.0,61.394,19.629,36.46,61.394,50.526,0.0,55.179,61.394,130.689,0.0,50.526,5.477,97.061,10.881,21.478
INST0077_N8_S17_D005,45.002,50.526,10.867,45.002,59.003,10.867,0.0,50.526,103.002,10.867,80.368,50.526,0.0,49.927,47.206,43.838,65.388
INST0077_N8_S17_P006,24.239,5.477,60.745,24.239,41.761,60.745,49.927,5.477,58.521,60.745,129.526,5.477,49.927,0.0,95.708,7.008,26.505
INST0077_N8_S17_D006,91.902,97.061,36.733,91.902,103.829,36.733,47.206,97.061,150.208,36.733,33.969,97.061,47.206,95.708,0.0,89.072,112.576
INST0077_N8_S17_P007,25.439,10.881,54.565,25.439,44.339,54.565,43.838,10.881,65.452,54.565,122.952,10.881,43.838,7.008,89.072,0.0,32.298
INST0077_N8_S17_D007,21.517,21.478,75.908,21.517,24.954,75.908,65.388,21.478,37.715,75.908,145.321,21.478,65.388,26.505,112.576,32.298,0.0
