,depot,INST0111_N10_N21_P000,INST0111_N10_N21_D000,INST0111_N10_N21_P001,INST0111_N10_N21_D001,INST0111_N10_N21_P002,INST0111_N10_N21_D002,INST0111_N10_N21_P003,INST0111_N10_N21_D003,INST0111_N10_N21_P004,INST0111_N10_N21_D004,INST0111_N10_N21_P005,INST0111_N10_N21_D005,INST0111_N10_N21_P006,INST0111_N10_N21_D006,INST0111_N10_N21_P007,INST0111_N10_N21_D007,INST0111_N10_N21_P008,INST0111_N10_N21_D008,INST0111_N10_N21_P009,INST0111_N10_N21_D009
depot,0.0,43.511,162.63,28.727,21.127,28.727,25.326,21.127,0.0,0.0,24.088,28.727,122.983,43.511,79.42,35.041,0.0,25.326,0.0,25.326,122.983
INST0111_N10_N21_P000,43.511,0.0,149.729,33.929,22.387,33.929,49.306,22.387,43.511,43.511,23.01,33.929,114.14,0.0,101.428,43.657,43.511,49.306,43.511,49.306,114.14
INST0111_N10_N21_D000,162.63,149.729,0.0,134.948,154.717,134.948,139.481,154.717,162.63,162.63,146.035,134.948,40.266,149.729,116.851,187.802,162.63,139.481,162.63,139.481,40.266
INST0111_N10_N21_P001,28.727,33.929,134.948,0.0,22.322,0.0,17.072,22.322,28.727,28.727,14.053,0.0,95.867,33.929,67.88,54.669,28.727,17.072,28.727,17.072,95.867
INST0111_N10_N21_D001,21.127,22.387,154.717,22.322,0.0,22.322,31.992,0.0,21.127,21.127,8.817,22.322,116.493,22.387,87.893,33.197,21.127,31.992,21.127,31.992,116.493
INST0111_N10_N21_P002,28.727,33.929,134.948,0.0,22.322,0.0,17.072,22.322,28.727,28.727,14.053,0.0,95.867,33.929,67.88,54.669,28.727,17.072,28.727,17.072,95.867
INST0111_N10_N21_D002,25.326,49.306,139.481,17.072,31.992,17.072,0.0,31.992,25.326,25.326,26.694,17.072,99.415,49.306,56.35,58.839,25.326,0.0,25.326,0.0,99.415
INST0111_N10_N21_P003,21.127,22.387,154.717,22.322,0.0,22.322,31.992,0.0,21.127,21.127,8.817,22.322,116.493,22.387,87.893,33.197,21.127,31.992,21.127,31.992,116.493
INST0111_N10_N21_D003,0.0,43.511,162.63,28.727,21.127,28.727,25.326,21.127,0.0,0.0,24.088,28.727,122.983,43.511,79.42,35.041,0.0,25.326,0.0,25.326,122.983
INST0111_N10_N21_P004,0.0,43.511,162.63,28.727,21.127,28.727,25.326,21.127,0.0,0.0,24.088,28.727,122.983,43.511,79.42,35.041,0.0,25.326,0.0,25.326,122.983
INST0111_N10_N21_D004,24.088,23.01,146.035,14.053,8.817,14.053,26.694,8.817,24.088,24.088,0.0,14.053,107.703,23.01,81.208,41.993,24.088,26.694,24.088,26.694,107.703
INST0111_N10_N21_P005,28.727,33.929,134.948,0.0,22.322,0.0,17.072,22.322,28.727,28.727,14.053,0.0,95.867,33.929,67.88,54.669,28.727,17.072,28.727,17.072,95.867
INST0111_N10_N21_D005,122.983,114.14,40.266,95.867,116.493,95.867,99.415,116.493,122.983,122.983,107.703,95.867,0.0,114.14,79.694,149.69,122.983,99.415,122.983,99.415,0.0
INST0111_N10_N21_P006,43.511,0.0,149.729,33.929,22.387,33.929,49.306,22.387,43.511,43.511,23.01,33.929,114.14,0.0,101.428,43.657,43.511,49.306,43.511,49.306,114.14
INST0111_N10_N21_D006,79.42,101.428,116.851,67.88,87.893,67.88,56.35,87.893,79.42,79.42,81.208,67.88,79.694,101.428,0.0,114.332,79.42,56.35,79.42,56.35,79.694
INST0111_N10_N21_P007,35.041,43.657,187.802,54.669,33.197,54.669,58.839,33.197,35.041,35.041,41.993,54.669,149.69,43.657,114.332,0.0,35.041,58.839,35.041,58.839,149.69
INST0111_N10_N21_D007,0.0,43.511,162.63,28.727,21.127,28.727,25.326,21.127,0.0,0.0,24.088,28.727,122.983,43.511,79.42,35.041,0.0,25.326,0.0,25.326,122.983
INST0111_N10_N21_P008,25.326,49.306,139.481,17.072,31.992,17.072,0.0,31.992,25.326,25.326,26.694,17.072,99.415,49.306,56.35,58.839,25.326,0.0,25.326,0.0,99.415
INST0111_N10_N21_D008,0.0,43.511,162.63,28.727,21.127,28.727,25.326,21.127,0.0,0.0,24.088,28.727,122.983,43.511,79.42,35.041,0.0,25.326,0.0,25.326,122.983
INST0111_N10_N21_P009,25.326,49.306,139.481,17.072,31.992,17.072,0.0,31.992,25.326,25.326,26.694,17.072,99.415,49.306,56.35,58.839,25.326,0.0,25.326,0.0,99.415
INST0111_N10_N21_D009,122.983,114.14,40.266,95.867,116.493,95.867,99.415,116.493,122.983,122.983,107.703,95.867,0.0,114.14,79.694,149.69,122.983,99.415,122.983,99.415,0.0
