,depot,INST0074_N8_S14_P000,INST0074_N8_S14_D000,INST0074_N8_S14_P001,INST0074_N8_S14_D001,INST0074_N8_S14_P002,INST0074_N8_S14_D002,INST0074_N8_S14_P003,INST0074_N8_S14_D003,INST0074_N8_S14_P004,INST0074_N8_S14_D004,INST0074_N8_S14_P005,INST0074_N8_S14_D005,INST0074_N8_S14_P006,INST0074_N8_S14_D006,INST0074_N8_S14_P007,INST0074_N8_S14_D007
depot,0.0,65.452,10.881,54.565,122.952,32.298,0.0,32.298,7.008,0.0,122.952,54.565,89.072,44.339,43.838,44.339,32.298
INST0074_N8_S14_P000,65.452,0.0,55.179,113.587,183.035,37.715,65.452,37.715,58.521,65.452,183.035,113.587,150.208,54.903,103.002,54.903,37.715
INST0074_N8_S14_D000,10.881,55.179,0.0,61.394,130.689,21.478,10.881,21.478,5.477,10.881,130.689,61.394,97.061,36.46,50.526,36.46,21.478
INST0074_N8_S14_P001,54.565,113.587,61.394,0.0,69.589,75.908,54.565,75.908,60.745,54.565,69.589,0.0,36.733,67.889,10.867,67.889,75.908
INST0074_N8_S14_D001,122.952,183.035,130.689,69.589,0.0,145.321,122.952,145.321,129.526,122.952,0.0,69.589,33.969,134.327,80.368,134.327,145.321
INST0074_N8_S14_P002,32.298,37.715,21.478,75.908,145.321,0.0,32.298,0.0,26.505,32.298,145.321,75.908,112.576,24.954,65.388,24.954,0.0
INST0074_N8_S14_D002,0.0,65.452,10.881,54.565,122.952,32.298,0.0,32.298,7.008,0.0,122.952,54.565,89.072,44.339,43.838,44.339,32.298
INST0074_N8_S14_P003,32.298,37.715,21.478,75.908,145.321,0.0,32.298,0.0,26.505,32.298,145.321,75.908,112.576,24.954,65.388,24.954,0.0
INST0074_N8_S14_D003,7.008,58.521,5.477,60.745,129.526,26.505,7.008,26.505,0.0,7.008,129.526,60.745,95.708,41.761,49.927,41.761,26.505
INST0074_N8_S14_P004,0.0,65.452,10.881,54.565,122.952,32.298,0.0,32.298,7.008,0.0,122.952,54.565,89.072,44.339,43.838,44.339,32.298
INST0074_N8_S14_D004,122.952,183.035,130.689,69.589,0.0,145.321,122.952,145.321,129.526,122.952,0.0,69.589,33.969,134.327,80.368,134.327,145.321
INST0074_N8_S14_P005,54.565,113.587,61.394,0.0,69.589,75.908,54.565,75.908,60.745,54.565,69.589,0.0,36.733,67.889,10.867,67.889,75.908
INST0074_N8_S14_D005,89.072,150.208,97.061,36.733,33.969,112.576,89.072,112.576,95.708,89.072,33.969,36.733,0.0,103.829,47.206,103.829,112.576
INST0074_N8_S14_P006,44.339,54.903,36.46,67.889,134.327,24.954,44.339,24.954,41.761,44.339,134.327,67.889,103.829,0.0,59.003,0.0,24.954
INST0074_N8_S14_D006,43.838,103.002,50.526,10.867,80.368,65.388,43.838,65.388,49.927,43.838,80.368,10.867,47.206,59.003,0.0,59.003,65.388
INST0074_N8_S14_P007,44.339,54.903,36.46,67.889,134.327,24.954,44.339,24.954,41.761,44.339,134.327,67.889,103.829,0.0,59.003,0.0,24.954
INST0074_N8_S14_D007,32.298,37.715,21.478,75.908,145.321,0.0,32.298,0.0,26.505,32.298,145.321,75.908,112.576,24.954,65.388,24.954,0.0
