,depot,INST0252_N22_N12_P000,INST0252_N22_N12_D000,INST0252_N22_N12_P001,INST0252_N22_N12_D001,INST0252_N22_N12_P002,INST0252_N22_N12_D002,INST0252_N22_N12_P003,INST0252_N22_N12_D003,INST0252_N22_N12_P004,INST0252_N22_N12_D004,INST0252_N22_N12_P005,INST0252_N22_N12_D005,INST0252_N22_N12_P006,INST0252_N22_N12_D006,INST0252_N22_N12_P007,INST0252_N22_N12_D007,INST0252_N22_N12_P008,INST0252_N22_N12_D008,INST0252_N22_N12_P009,INST0252_N22_N12_D009,INST0252_N22_N12_P010,INST0252_N22_N12_D010,INST0252_N22_N12_P011,INST0252_N22_N12_D011,INST0252_N22_N12_P012,INST0252_N22_N12_D012,INST0252_N22_N12_P013,INST0252_N22_N12_D013,INST0252_N22_N12_P014,INST0252_N22_N12_D014,INST0252_N22_N12_P015,INST0252_N22_N12_D015,INST0252_N22_N12_P016,INST0252_N22_N12_D016,INST0252_N22_N12_P017,INST0252_N22_N12_D017,INST0252_N22_N12_P018,INST0252_N22_N12_D018,INST0252_N22_N12_P019,INST0252_N22_N12_D019,INST0252_N22_N12_P020,INST0252_N22_N12_D020,INST0252_N22_N12_P021,INST0252_N22_N12_D021
depot,0.0,18.791,30.471,27.709,0.0,35.534,40.266,40.266,0.0,40.266,0.0,35.653,131.141,27.709,18.791,0.0,40.266,47.339,18.283,47.339,35.653,40.266,35.534,35.653,93.214,47.339,18.283,35.534,82.833,18.791,93.214,35.653,18.791,35.534,82.833,35.534,47.339,47.339,35.653,30.471,18.283,35.534,143.5,30.471,0.0
INST0252_N22_N12_P000,18.791,0.0,13.759,11.477,18.791,19.671,21.8,21.8,18.791,21.8,18.791,34.294,134.365,11.477,0.0,18.791,21.8,61.784,7.201,61.784,34.294,21.8,19.671,34.294,87.958,61.784,7.201,19.671,66.32,0.0,87.958,34.294,0.0,19.671,66.32,19.671,61.784,61.784,34.294,13.759,7.201,19.671,132.823,13.759,18.791
INST0252_N22_N12_D000,30.471,13.759,0.0,2.788,30.471,23.353,11.436,11.436,30.471,11.436,30.471,46.06,145.919,2.788,13.759,30.471,11.436,66.572,20.176,66.572,46.06,11.436,23.353,46.06,77.555,66.572,20.176,23.353,52.8,13.759,77.555,46.06,13.759,23.353,52.8,23.353,66.572,66.572,46.06,0.0,20.176,23.353,135.971,0.0,30.471
INST0252_N22_N12_P001,27.709,11.477,2.788,0.0,27.709,23.461,13.942,13.942,27.709,13.942,27.709,44.646,144.673,0.0,11.477,27.709,13.942,64.236,18.229,64.236,44.646,13.942,23.461,44.646,78.292,64.236,18.229,23.461,55.435,11.477,78.292,44.646,11.477,23.461,55.435,23.461,64.236,64.236,44.646,2.788,18.229,23.461,136.742,2.788,27.709
INST0252_N22_N12_D001,0.0,18.791,30.471,27.709,0.0,35.534,40.266,40.266,0.0,40.266,0.0,35.653,131.141,27.709,18.791,0.0,40.266,47.339,18.283,47.339,35.653,40.266,35.534,35.653,93.214,47.339,18.283,35.534,82.833,18.791,93.214,35.653,18.791,35.534,82.833,35.534,47.339,47.339,35.653,30.471,18.283,35.534,143.5,30.471,0.0
INST0252_N22_N12_P002,35.534,19.671,23.353,23.461,35.534,0.0,20.683,20.683,35.534,20.683,35.534,28.616,125.319,23.461,19.671,35.534,20.683,81.17,17.254,81.17,28.616,20.683,0.0,28.616,100.436,81.17,17.254,0.0,64.86,19.671,100.436,28.616,19.671,0.0,64.86,0.0,81.17,81.17,28.616,23.353,17.254,0.0,113.8,23.353,35.534
INST0252_N22_N12_D002,40.266,21.8,11.436,13.942,40.266,20.683,0.0,0.0,40.266,0.0,40.266,48.052,145.998,13.942,21.8,40.266,0.0,77.99,26.126,77.99,48.052,0.0,20.683,48.052,81.189,77.99,26.126,20.683,46.019,21.8,81.189,48.052,21.8,20.683,46.019,20.683,77.99,77.99,48.052,11.436,26.126,20.683,128.231,11.436,40.266
INST0252_N22_N12_P003,40.266,21.8,11.436,13.942,40.266,20.683,0.0,0.0,40.266,0.0,40.266,48.052,145.998,13.942,21.8,40.266,0.0,77.99,26.126,77.99,48.052,0.0,20.683,48.052,81.189,77.99,26.126,20.683,46.019,21.8,81.189,48.052,21.8,20.683,46.019,20.683,77.99,77.99,48.052,11.436,26.126,20.683,128.231,11.436,40.266
INST0252_N22_N12_D003,0.0,18.791,30.471,27.709,0.0,35.534,40.266,40.266,0.0,40.266,0.0,35.653,131.141,27.709,18.791,0.0,40.266,47.339,18.283,47.339,35.653,40.266,35.534,35.653,93.214,47.339,18.283,35.534,82.833,18.791,93.214,35.653,18.791,35.534,82.833,35.534,47.339,47.339,35.653,30.471,18.283,35.534,143.5,30.471,0.0
INST0252_N22_N12_P004,40.266,21.8,11.436,13.942,40.266,20.683,0.0,0.0,40.266,0.0,40.266,48.052,145.998,13.942,21.8,40.266,0.0,77.99,26.126,77.99,48.052,0.0,20.683,48.052,81.189,77.99,26.126,20.683,46.019,21.8,81.189,48.052,21.8,20.683,46.019,20.683,77.99,77.99,48.052,11.436,26.126,20.683,128.231,11.436,40.266
