,depot,INST0108_N10_N18_P000,INST0108_N10_N18_D000,INST0108_N10_N18_P001,INST0108_N10_N18_D001,INST0108_N10_N18_P002,INST0108_N10_N18_D002,INST0108_N10_N18_P003,INST0108_N10_N18_D003,INST0108_N10_N18_P004,INST0108_N10_N18_D004,INST0108_N10_N18_P005,INST0108_N10_N18_D005,INST0108_N10_N18_P006,INST0108_N10_N18_D006,INST0108_N10_N18_P007,INST0108_N10_N18_D007,INST0108_N10_N18_P008,INST0108_N10_N18_D008,INST0108_N10_N18_P009,INST0108_N10_N18_D009
depot,0.0,23.353,20.176,2.788,66.572,11.436,66.572,30.471,77.555,52.8,13.759,11.436,0.0,23.353,135.971,23.353,11.436,13.759,66.572,30.471,77.555
INST0108_N10_N18_P000,23.353,0.0,17.254,23.461,81.17,20.683,81.17,35.534,100.436,64.86,19.671,20.683,23.353,0.0,113.8,0.0,20.683,19.671,81.17,35.534,100.436
INST0108_N10_N18_D000,20.176,17.254,0.0,18.229,64.45,26.126,64.45,18.283,95.136,71.779,7.201,26.126,20.176,17.254,127.973,17.254,26.126,7.201,64.45,18.283,95.136
INST0108_N10_N18_P001,2.788,23.461,18.229,0.0,64.236,13.942,64.236,27.709,78.292,55.435,11.477,13.942,2.788,23.461,136.742,23.461,13.942,11.477,64.236,27.709,78.292
INST0108_N10_N18_D001,66.572,81.17,64.45,64.236,0.0,77.99,0.0,47.339,85.106,107.477,61.784,77.99,66.572,81.17,190.666,81.17,77.99,61.784,0.0,47.339,85.106
INST0108_N10_N18_P002,11.436,20.683,26.126,13.942,77.99,0.0,77.99,40.266,81.189,46.019,21.8,0.0,11.436,20.683,128.231,20.683,0.0,21.8,77.99,40.266,81.189
INST0108_N10_N18_D002,66.572,81.17,64.45,64.236,0.0,77.99,0.0,47.339,85.106,107.477,61.784,77.99,66.572,81.17,190.666,81.17,77.99,61.784,0.0,47.339,85.106
INST0108_N10_N18_P003,30.471,35.534,18.283,27.709,47.339,40.266,47.339,0.0,93.214,82.833,18.791,40.266,30.471,35.534,143.5,35.534,40.266,18.791,47.339,0.0,93.214
INST0108_N10_N18_D003,77.555,100.436,95.136,78.292,85.106,81.189,85.106,93.214,0.0,65.084,87.958,81.189,77.555,100.436,206.878,100.436,81.189,87.958,85.106,93.214,0.0
INST0108_N10_N18_P004,52.8,64.86,71.779,55.435,107.477,46.019,107.477,82.833,65.084,0.0,66.32,46.019,52.8,64.86,149.304,64.86,46.019,66.32,107.477,82.833,65.084
INST0108_N10_N18_D004,13.759,19.671,7.201,11.477,61.784,21.8,61.784,18.791,87.958,66.32,0.0,21.8,13.759,19.671,132.823,19.671,21.8,0.0,61.784,18.791,87.958
INST0108_N10_N18_P005,11.436,20.683,26.126,13.942,77.99,0.0,77.99,40.266,81.189,46.019,21.8,0.0,11.436,20.683,128.231,20.683,0.0,21.8,77.99,40.266,81.189
INST0108_N10_N18_D005,0.0,23.353,20.176,2.788,66.572,11.436,66.572,30.471,77.555,52.8,13.759,11.436,0.0,23.353,135.971,23.353,11.436,13.759,66.572,30.471,77.555
INST0108_N10_N18_P006,23.353,0.0,17.254,23.461,81.17,20.683,81.17,35.534,100.436,64.86,19.671,20.683,23.353,0.0,113.8,0.0,20.683,19.671,81.17,35.534,100.436
INST0108_N10_N18_D006,135.971,113.8,127.973,136.742,190.666,128.231,190.666,143.5,206.878,149.304,132.823,128.231,135.971,113.8,0.0,113.8,128.231,132.823,190.666,143.5,206.878
INST0108_N10_N18_P007,23.353,0.0,17.254,23.461,81.17,20.683,81.17,35.534,100.436,64.86,19.671,20.683,23.353,0.0,113.8,0.0,20.683,19.671,81.17,35.534,100.436
INST0108_N10_N18_D007,11.436,20.683,26.126,13.942,77.99,0.0,77.99,40.266,81.189,46.019,21.8,0.0,11.436,20.683,128.231,20.683,0.0,21.8,77.99,40.266,81.189
INST0108_N10_N18_P008,13.759,19.671,7.201,11.477,61.784,21.8,61.784,18.791,87.958,66.32,0.0,21.8,13.759,19.671,132.823,19.671,21.8,0.0,61.784,18.791,87.958
INST0108_N10_N18_D008,66.572,81.17,64.45,64.236,0.0,77.99,0.0,47.339,85.106,107.477,61.784,77.99,66.572,81.17,190.666,81.17,77.99,61.784,0.0,47.339,85.106
INST0108_N10_N18_P009,30.471,35.534,18.283,27.709,47.339,40.266,47.339,0.0,93.214,82.833,18.791,40.266,30.471,35.534,143.5,35.534,40.266,18.791,47.339,0.0,93.214
INST0108_N10_N18_D009,77.555,100.436,95.136,78.292,85.106,81.189,85.106,93.214,0.0,65.084,87.958,81.189,77.555,100.436,206.878,100.436,81.189,87.958,85.106,93.214,0.0
