,depot,INST0162_N15_N12_P000,INST0162_N15_N12_D000,INST0162_N15_N12_P001,INST0162_N15_N12_D001,INST0162_N15_N12_P002,INST0162_N15_N12_D002,INST0162_N15_N12_P003,INST0162_N15_N12_D003,INST0162_N15_N12_P004,INST0162_N15_N12_D004,INST0162_N15_N12_P005,INST0162_N15_N12_D005,INST0162_N15_N12_P006,INST0162_N15_N12_D006,INST0162_N15_N12_P007,INST0162_N15_N12_D007,INST0162_N15_N12_P008,INST0162_N15_N12_D008,INST0162_N15_N12_P009,INST0162_N15_N12_D009,INST0162_N15_N12_P010,INST0162_N15_N12_D010,INST0162_N15_N12_P011,INST0162_N15_N12_D011,INST0162_N15_N12_P012,INST0162_N15_N12_D012,INST0162_N15_N12_P013,INST0162_N15_N12_D013,INST0162_N15_N12_P014,INST0162_N15_N12_D014
depot,0.0,43.657,175.714,23.01,149.729,49.306,149.729,23.01,57.966,23.01,114.14,22.387,114.14,22.387,0.0,57.966,33.929,23.01,43.511,37.312,57.966,49.306,114.14,0.0,22.387,43.511,160.581,23.01,43.511,43.657,43.511
INST0162_N15_N12_P000,43.657,0.0,134.941,41.993,187.802,58.839,187.802,41.993,99.467,41.993,149.69,33.197,149.69,33.197,43.657,99.467,54.669,41.993,35.041,56.4,99.467,58.839,149.69,43.657,33.197,35.041,122.582,41.993,35.041,0.0,35.041
INST0162_N15_N12_D000,175.714,134.941,0.0,162.641,293.481,157.017,293.481,162.641,233.468,162.641,253.32,156.702,253.32,156.702,175.714,233.468,167.44,162.641,139.347,166.496,233.468,157.017,253.32,175.714,156.702,139.347,125.74,162.641,139.347,134.941,139.347
INST0162_N15_N12_P001,23.01,41.993,162.641,0.0,146.035,26.694,146.035,0.0,75.654,0.0,107.703,8.817,107.703,8.817,23.01,75.654,14.053,0.0,24.088,16.848,75.654,26.694,107.703,23.01,8.817,24.088,164.529,0.0,24.088,41.993,24.088
INST0162_N15_N12_D001,149.729,187.802,293.481,146.035,0.0,139.481,0.0,146.035,127.812,146.035,40.266,154.717,40.266,154.717,149.729,127.812,134.948,146.035,162.63,134.313,127.812,139.481,40.266,149.729,154.717,162.63,309.6,146.035,162.63,187.802,162.63
INST0162_N15_N12_P002,49.306,58.839,157.017,26.694,139.481,0.0,139.481,26.694,95.498,26.694,99.415,31.992,99.415,31.992,49.306,95.498,17.072,26.694,25.326,14.003,95.498,0.0,99.415,49.306,31.992,25.326,178.773,26.694,25.326,58.839,25.326
INST0162_N15_N12_D002,149.729,187.802,293.481,146.035,0.0,139.481,0.0,146.035,127.812,146.035,40.266,154.717,40.266,154.717,149.729,127.812,134.948,146.035,162.63,134.313,127.812,139.481,40.266,149.729,154.717,162.63,309.6,146.035,162.63,187.802,162.63
INST0162_N15_N12_P003,23.01,41.993,162.641,0.0,146.035,26.694,146.035,0.0,75.654,0.0,107.703,8.817,107.703,8.817,23.01,75.654,14.053,0.0,24.088,16.848,75.654,26.694,107.703,23.01,8.817,24.088,164.529,0.0,24.088,41.993,24.088
INST0162_N15_N12_D003,57.966,99.467,233.468,75.654,127.812,95.498,127.812,75.654,0.0,75.654,104.211,78.919,104.211,78.919,57.966,0.0,78.656,75.654,99.392,81.517,0.0,95.498,104.211,57.966,78.919,99.392,203.198,75.654,99.392,99.467,99.392
INST0162_N15_N12_P004,23.01,41.993,162.641,0.0,146.035,26.694,146.035,0.0,75.654,0.0,107.703,8.817,107.703,8.817,23.01,75.654,14.053,0.0,24.088,16.848,75.654,26.694,107.703,23.01,8.817,24.088,164.529,0.0,24.088,41.993,24.088
