,depot,INST0056_N5_S26_P000,INST0056_N5_S26_D000,INST0056_N5_S26_P001,INST0056_N5_S26_D001,INST0056_N5_S26_P002,INST0056_N5_S26_D002,INST0056_N5_S26_P003,INST0056_N5_S26_D003,INST0056_N5_S26_P004,INST0056_N5_S26_D004
depot,0.0,39.549,0.0,30.556,46.181,92.948,80.067,32.455,26.348,26.3,26.348
INST0056_N5_S26_P000,39.549,0.0,39.549,54.293,80.145,66.815,53.679,8.581,31.149,13.324,31.149
INST0056_N5_S26_D000,0.0,39.549,0.0,30.556,46.181,92.948,80.067,32.455,26.348,26.3,26.348
INST0056_N5_S26_P001,30.556,54.293,30.556,0.0,67.228,83.129,72.248,51.136,23.863,44.645,23.863
INST0056_N5_S26_D001,46.181,80.145,46.181,67.228,0.0,139.086,126.125,71.658,72.268,67.566,72.268
INST0056_N5_S26_P002,92.948,66.815,92.948,83.129,139.086,0.0,13.307,74.382,67.557,75.176,67.557
INST0056_N5_S26_D002,80.067,53.679,80.067,72.248,126.125,13.307,0.0,61.135,55.105,61.869,55.105
INST0056_N5_S26_P003,32.455,8.581,32.455,51.136,71.658,74.382,61.135,0.0,29.68,6.707,29.68
INST0056_N5_S26_D003,26.348,31.149,26.348,23.863,72.268,67.557,55.105,29.68,0.0,24.036,0.0
INST0056_N5_S26_P004,26.3,13.324,26.3,44.645,67.566,75.176,61.869,6.707,24.036,0.0,24.036
INST0056_N5_S26_D004,26.348,31.149,26.348,23.863,72.268,67.557,55.105,29.68,0.0,24.036,0.0
