,depot,INST0057_N5_N27_P000,INST0057_N5_N27_D000,INST0057_N5_N27_P001,INST0057_N5_N27_D001,INST0057_N5_N27_P002,INST0057_N5_N27_D002,INST0057_N5_N27_P003,INST0057_N5_N27_D003,INST0057_N5_N27_P004,INST0057_N5_N27_D004
depot,0.0,35.534,18.791,18.283,40.266,40.266,143.5,35.534,35.653,35.534,143.5
INST0057_N5_N27_P000,35.534,0.0,19.671,17.254,20.683,20.683,113.8,0.0,28.616,0.0,113.8
INST0057_N5_N27_D000,18.791,19.671,0.0,7.201,21.8,21.8,132.823,19.671,34.294,19.671,132.823
INST0057_N5_N27_P001,18.283,17.254,7.201,0.0,26.126,26.126,127.973,17.254,27.111,17.254,127.973
INST0057_N5_N27_D001,40.266,20.683,21.8,26.126,0.0,0.0,128.231,20.683,48.052,20.683,128.231
INST0057_N5_N27_P002,40.266,20.683,21.8,26.126,0.0,0.0,128.231,20.683,48.052,20.683,128.231
INST0057_N5_N27_D002,143.5,113.8,132.823,127.973,128.231,128.231,0.0,113.8,110.202,113.8,0.0
INST0057_N5_N27_P003,35.534,0.0,19.671,17.254,20.683,20.683,113.8,0.0,28.616,0.0,113.8
INST0057_N5_N27_D003,35.653,28.616,34.294,27.111,48.052,48.052,110.202,28.616,0.0,28.616,110.202
INST0057_N5_N27_P004,35.534,0.0,19.671,17.254,20.683,20.683,113.8,0.0,28.616,0.0,113.8
INST0057_N5_N27_D004,143.5,113.8,132.823,127.973,128.231,128.231,0.0,113.8,110.202,113.8,0.0
