,depot,INST0094_N10_W04_P000,INST0094_N10_W04_D000,INST0094_N10_W04_P001,INST0094_N10_W04_D001,INST0094_N10_W04_P002,INST0094_N10_W04_D002,INST0094_N10_W04_P003,INST0094_N10_W04_D003,INST0094_N10_W04_P004,INST0094_N10_W04_D004,INST0094_N10_W04_P005,INST0094_N10_W04_D005,INST0094_N10_W04_P006,INST0094_N10_W04_D006,INST0094_N10_W04_P007,INST0094_N10_W04_D007,INST0094_N10_W04_P008,INST0094_N10_W04_D008,INST0094_N10_W04_P009,INST0094_N10_W04_D009
depot,0.0,54.132,71.944,54.132,14.722,0.0,104.062,0.0,71.944,54.132,130.825,71.944,130.825,54.132,120.757,71.944,104.634,14.722,109.245,14.722,54.132
INST0094_N10_W04_P000,54.132,0.0,20.342,0.0,40.846,54.132,50.28,54.132,20.342,0.0,77.525,20.342,77.525,0.0,70.903,20.342,57.646,40.846,55.217,40.846,0.0
INST0094_N10_W04_D000,71.944,20.342,0.0,20.342,57.687,71.944,32.833,71.944,0.0,20.342,58.923,0.0,58.923,20.342,50.611,0.0,55.918,57.687,41.349,57.687,20.342
INST0094_N10_W04_P001,54.132,0.0,20.342,0.0,40.846,54.132,50.28,54.132,20.342,0.0,77.525,20.342,77.525,0.0,70.903,20.342,57.646,40.846,55.217,40.846,0.0
INST0094_N10_W04_D001,14.722,40.846,57.687,40.846,0.0,14.722,90.122,14.722,57.687,40.846,116.61,57.687,116.61,40.846,106.091,57.687,94.442,0.0,96.036,0.0,40.846
INST0094_N10_W04_P002,0.0,54.132,71.944,54.132,14.722,0.0,104.062,0.0,71.944,54.132,130.825,71.944,130.825,54.132,120.757,71.944,104.634,14.722,109.245,14.722,54.132
INST0094_N10_W04_D002,104.062,50.28,32.833,50.28,90.122,104.062,0.0,104.062,32.833,50.28,27.544,32.833,27.544,50.28,29.954,32.833,46.592,90.122,14.077,90.122,50.28
INST0094_N10_W04_P003,0.0,54.132,71.944,54.132,14.722,0.0,104.062,0.0,71.944,54.132,130.825,71.944,130.825,54.132,120.757,71.944,104.634,14.722,109.245,14.722,54.132
INST0094_N10_W04_D003,71.944,20.342,0.0,20.342,57.687,71.944,32.833,71.944,0.0,20.342,58.923,0.0,58.923,20.342,50.611,0.0,55.918,57.687,41.349,57.687,20.342
INST0094_N10_W04_P004,54.132,0.0,20.342,0.0,40.846,54.132,50.28,54.132,20.342,0.0,77.525,20.342,77.525,0.0,70.903,20.342,57.646,40.846,55.217,40.846,0.0
INST0094_N10_W04_D004,130.825,77.525,58.923,77.525,116.61,130.825,27.544,130.825,58.923,77.525,0.0,58.923,0.0,77.525,23.199,58.923,64.172,116.61,30.344,116.61,77.525
INST0094_N10_W04_P005,71.944,20.342,0.0,20.342,57.687,71.944,32.833,71.944,0.0,20.342,58.923,0.0,58.923,20.342,50.611,0.0,55.918,57.687,41.349,57.687,20.342
INST0094_N10_W04_D005,130.825,77.525,58.923,77.525,116.61,130.825,27.544,130.825,58.923,77.525,0.0,58.923,0.0,77.525,23.199,58.923,64.172,116.61,30.344,116.61,77.525
INST0094_N10_W04_P006,54.132,0.0,20.342,0.0,40.846,54.132,50.28,54.132,20.342,0.0,77.525,20.342,77.525,0.0,70.903,20.342,57.646,40.846,55.217,40.846,0.0
INST0094_N10_W04_D006,120.757,70.903,50.611,70.903,106.091,120.757,29.954,120.757,50.611,70.903,23.199,50.611,23.199,70.903,0.0,50.611,75.918,106.091,41.092,106.091,70.903
INST0094_N10_W04_P007,71.944,20.342,0.0,20.342,57.687,71.944,32.833,71.944,0.0,20.342,58.923,0.0,58.923,20.342,50.611,0.0,55.918,57.687,41.349,57.687,20.342
INST0094_N10_W04_D007,104.634,57.646,55.918,57.646,94.442,104.634,46.592,104.634,55.918,57.646,64.172,55.918,64.172,57.646,75.918,55.918,0.0,94.442,35.155,94.442,57.646
INST0094_N10_W04_P008,14.722,40.846,57.687,40.846,0.0,14.722,90.122,14.722,57.687,40.846,116.61,57.687,116.61,40.846,106.091,57.687,94.442,0.0,96.036,0.0,40.846
INST0094_N10_W04_D008,109.245,55.217,41.349,55.217,96.036,109.245,14.077,109.245,41.349,55.217,30.344,41.349,30.344,55.217,41.092,41.349,35.155,96.036,0.0,96.036,55.217
INST0094_N10_W04_P009,14.722,40.846,57.687,40.846,0.0,14.722,90.122,14.722,57.687,40.846,116.61,57.687,116.61,40.846,106.091,57.687,94.442,0.0,96.036,0.0,40.846
INST0094_N10_W04_D009,54.132,0.0,20.342,0.0,40.846,54.132,50.28,54.132,20.342,0.0,77.525,20.342,77.525,0.0,70.903,20.342,57.646,40.846,55.217,40.846,0.0
