,depot,INST0268_N22_W28_P000,INST0268_N22_W28_D000,INST0268_N22_W28_P001,INST0268_N22_W28_D001,INST0268_N22_W28_P002,INST0268_N22_W28_D002,INST0268_N22_W28_P003,INST0268_N22_W28_D003,INST0268_N22_W28_P004,INST0268_N22_W28_D004,INST0268_N22_W28_P005,INST0268_N22_W28_D005,INST0268_N22_W28_P006,INST0268_N22_W28_D006,INST0268_N22_W28_P007,INST0268_N22_W28_D007,INST0268_N22_W28_P008,INST0268_N22_W28_D008,INST0268_N22_W28_P009,INST0268_N22_W28_D009,INST0268_N22_W28_P010,INST0268_N22_W28_D010,INST0268_N22_W28_P011,INST0268_N22_W28_D011,INST0268_N22_W28_P012,INST0268_N22_W28_D012,INST0268_N22_W28_P013,INST0268_N22_W28_D013,INST0268_N22_W28_P014,INST0268_N22_W28_D014,INST0268_N22_W28_P015,INST0268_N22_W28_D015,INST0268_N22_W28_P016,INST0268_N22_W28_D016,INST0268_N22_W28_P017,INST0268_N22_W28_D017,INST0268_N22_W28_P018,INST0268_N22_W28_D018,INST0268_N22_W28_P019,INST0268_N22_W28_D019,INST0268_N22_W28_P020,INST0268_N22_W28_D020,INST0268_N22_W28_P021,INST0268_N22_W28_D021
depot,0.0,18.026,129.907,18.026,133.671,0.0,110.354,50.015,142.787,18.026,117.595,70.637,142.787,50.015,18.026,0.0,18.026,97.602,50.015,70.637,133.671,50.015,117.595,70.637,133.671,0.0,115.643,70.637,124.166,0.0,50.015,0.0,133.671,18.026,129.907,0.0,70.637,0.0,70.637,97.602,70.637,50.015,129.907,50.015,97.602
INST0268_N22_W28_P000,18.026,0.0,147.866,0.0,150.679,18.026,127.423,66.284,160.194,0.0,133.769,88.095,160.194,66.284,0.0,18.026,0.0,114.719,66.284,88.095,150.679,66.284,133.769,88.095,150.679,18.026,128.123,88.095,141.804,18.026,66.284,18.026,150.679,0.0,147.866,18.026,88.095,18.026,88.095,114.719,88.095,66.284,147.866,66.284,114.719
INST0268_N22_W28_D000,129.907,147.866,0.0,147.866,35.228,129.907,36.679,86.82,28.407,147.866,50.317,61.972,28.407,86.82,147.866,129.907,147.866,43.098,86.82,61.972,35.228,86.82,50.317,61.972,35.228,129.907,92.961,61.972,17.435,129.907,86.82,129.907,35.228,147.866,0.0,129.907,61.972,129.907,61.972,43.098,61.972,86.82,0.0,86.82,43.098
INST0268_N22_W28_P001,18.026,0.0,147.866,0.0,150.679,18.026,127.423,66.284,160.194,0.0,133.769,88.095,160.194,66.284,0.0,18.026,0.0,114.719,66.284,88.095,150.679,66.284,133.769,88.095,150.679,18.026,128.123,88.095,141.804,18.026,66.284,18.026,150.679,0.0,147.866,18.026,88.095,18.026,88.095,114.719,88.095,66.284,147.866,66.284,114.719
INST0268_N22_W28_D001,133.671,150.679,35.228,150.679,0.0,133.671,23.331,84.648,14.369,150.679,22.951,63.48,14.369,84.648,150.679,133.671,150.679,36.098,84.648,63.48,0.0,84.648,22.951,63.48,0.0,133.671,64.294,63.48,20.02,133.671,84.648,133.671,0.0,150.679,35.228,133.671,63.48,133.671,63.48,36.098,63.48,84.648,35.228,84.648,36.098
INST0268_N22_W28_P002,0.0,18.026,129.907,18.026,133.671,0.0,110.354,50.015,142.787,18.026,117.595,70.637,142.787,50.015,18.026,0.0,18.026,97.602,50.015,70.637,133.671,50.015,117.595,70.637,133.671,0.0,115.643,70.637,124.166,0.0,50.015,0.0,133.671,18.026,129.907,0.0,70.637,0.0,70.637,97.602,70.637,50.015,129.907,50.015,97.602
INST0268_N22_W28_D002,110.354,127.423,36.679,127.423,23.331,110.354,0.0,61.567,33.728,127.423,17.238,40.204,33.728,61.567,127.423,110.354,127.423,12.767,61.567,40.204,23.331,61.567,17.238,40.204,23.331,110.354,57.051,40.204,20.56,110.354,61.567,110.354,23.331,127.423,36.679,110.354,40.204,110.354,40.204,12.767,40.204,61.567,36.679,61.567,12.767
INST0268_N22_W28_P003,50.015,66.284,86.82,66.284,84.648,50.015,61.567,0.0,94.929,66.284,67.612,24.909,94.929,0.0,66.284,50.015,66.284,49.056,0.0,24.909,84.648,0.0,67.612,24.909,84.648,50.015,70.587,24.909,77.687,50.015,0.0,50.015,84.648,66.284,86.82,50.015,24.909,50.015,24.909,49.056,24.909,0.0,86.82,0.0,49.056
INST0268_N22_W28_D003,142.787,160.194,28.407,160.194,14.369,142.787,33.728,94.929,0.0,160.194,37.156,72.151,0.0,94.929,160.194,142.787,160.194,45.89,94.929,72.151,14.369,94.929,37.156,72.151,14.369,142.787,78.578,72.151,20.081,142.787,94.929,142.787,14.369,160.194,28.407,142.787,72.151,142.787,72.151,45.89,72.151,94.929,28.407,94.929,45.89
INST0268_N22_W28_P004,18.026,0.0,147.866,0.0,150.679,18.026,127.423,66.284,160.194,0.0,133.769,88.095,160.194,66.284,0.0,18.026,0.0,114.719,66.284,88.095,150.679,66.284,133.769,88.095,150.679,18.026,128.123,88.095,141.804,18.026,66.284,18.026,150.679,0.0,147.866,18.026,88.095,18.026,88.095,114.719,88.095,66.284,147.866,66.284,114.719
