,depot,INST0243_N22_N03_P000,INST0243_N22_N03_D000,INST0243_N22_N03_P001,INST0243_N22_N03_D001,INST0243_N22_N03_P002,INST0243_N22_N03_D002,INST0243_N22_N03_P003,INST0243_N22_N03_D003,INST0243_N22_N03_P004,INST0243_N22_N03_D004,INST0243_N22_N03_P005,INST0243_N22_N03_D005,INST0243_N22_N03_P006,INST0243_N22_N03_D006,INST0243_N22_N03_P007,INST0243_N22_N03_D007,INST0243_N22_N03_P008,INST0243_N22_N03_D008,INST0243_N22_N03_P009,INST0243_N22_N03_D009,INST0243_N22_N03_P010,INST0243_N22_N03_D010,INST0243_N22_N03_P011,INST0243_N22_N03_D011,INST0243_N22_N03_P012,INST0243_N22_N03_D012,INST0243_N22_N03_P013,INST0243_N22_N03_D013,INST0243_N22_N03_P014,INST0243_N22_N03_D014,INST0243_N22_N03_P015,INST0243_N22_N03_D015,INST0243_N22_N03_P016,INST0243_N22_N03_D016,INST0243_N22_N03_P017,INST0243_N22_N03_D017,INST0243_N22_N03_P018,INST0243_N22_N03_D018,INST0243_N22_N03_P019,INST0243_N22_N03_D019,INST0243_N22_N03_P020,INST0243_N22_N03_D020,INST0243_N22_N03_P021,INST0243_N22_N03_D021
depot,0.0,28.595,14.003,3.413,94.965,64.653,0.0,14.003,134.313,94.965,56.4,28.595,56.4,64.653,24.705,37.312,94.965,28.595,64.653,24.705,0.0,3.413,56.4,56.4,37.312,64.653,134.313,81.517,94.965,37.312,56.4,3.413,134.313,0.0,24.705,0.0,24.705,94.965,134.313,94.965,14.003,94.965,28.595,94.965,0.0
INST0243_N22_N03_P000,28.595,0.0,25.326,28.727,122.983,79.42,28.595,25.326,162.63,122.983,35.041,0.0,35.041,79.42,21.127,43.511,122.983,0.0,79.42,21.127,28.595,28.727,35.041,35.041,43.511,79.42,162.63,99.392,122.983,43.511,35.041,28.727,162.63,28.595,21.127,28.595,21.127,122.983,162.63,122.983,25.326,122.983,0.0,122.983,28.595
INST0243_N22_N03_D000,14.003,25.326,0.0,17.072,99.415,56.35,14.003,0.0,139.481,99.415,58.839,25.326,58.839,56.35,31.992,49.306,99.415,25.326,56.35,31.992,14.003,17.072,58.839,58.839,49.306,56.35,139.481,95.498,99.415,49.306,58.839,17.072,139.481,14.003,31.992,14.003,31.992,99.415,139.481,99.415,0.0,99.415,25.326,99.415,14.003
INST0243_N22_N03_P001,3.413,28.727,17.072,0.0,95.867,67.88,3.413,17.072,134.948,95.867,54.669,28.727,54.669,67.88,22.322,33.929,95.867,28.727,67.88,22.322,3.413,0.0,54.669,54.669,33.929,67.88,134.948,78.656,95.867,33.929,54.669,0.0,134.948,3.413,22.322,3.413,22.322,95.867,134.948,95.867,17.072,95.867,28.727,95.867,3.413
INST0243_N22_N03_D001,94.965,122.983,99.415,95.867,0.0,79.694,94.965,99.415,40.266,0.0,149.69,122.983,149.69,79.694,116.493,114.14,0.0,122.983,79.694,116.493,94.965,95.867,149.69,149.69,114.14,79.694,40.266,104.211,0.0,114.14,149.69,95.867,40.266,94.965,116.493,94.965,116.493,0.0,40.266,0.0,99.415,0.0,122.983,0.0,94.965
INST0243_N22_N03_P002,64.653,79.42,56.35,67.88,79.694,0.0,64.653,56.35,116.851,79.694,114.332,79.42,114.332,0.0,87.893,101.428,79.694,79.42,0.0,87.893,64.653,67.88,114.332,114.332,101.428,0.0,116.851,131.605,79.694,101.428,114.332,67.88,116.851,64.653,87.893,64.653,87.893,79.694,116.851,79.694,56.35,79.694,79.42,79.694,64.653
INST0243_N22_N03_D002,0.0,28.595,14.003,3.413,94.965,64.653,0.0,14.003,134.313,94.965,56.4,28.595,56.4,64.653,24.705,37.312,94.965,28.595,64.653,24.705,0.0,3.413,56.4,56.4,37.312,64.653,134.313,81.517,94.965,37.312,56.4,3.413,134.313,0.0,24.705,0.0,24.705,94.965,134.313,94.965,14.003,94.965,28.595,94.965,0.0
INST0243_N22_N03_P003,14.003,25.326,0.0,17.072,99.415,56.35,14.003,0.0,139.481,99.415,58.839,25.326,58.839,56.35,31.992,49.306,99.415,25.326,56.35,31.992,14.003,17.072,58.839,58.839,49.306,56.35,139.481,95.498,99.415,49.306,58.839,17.072,139.481,14.003,31.992,14.003,31.992,99.415,139.481,99.415,0.0,99.415,25.326,99.415,14.003
INST0243_N22_N03_D003,134.313,162.63,139.481,134.948,40.266,116.851,134.313,139.481,0.0,40.266,187.802,162.63,187.802,116.851,154.717,149.729,40.266,162.63,116.851,154.717,134.313,134.948,187.802,187.802,149.729,116.851,0.0,127.812,40.266,149.729,187.802,134.948,0.0,134.313,154.717,134.313,154.717,40.266,0.0,40.266,139.481,40.266,162.63,40.266,134.313
INST0243_N22_N03_P004,94.965,122.983,99.415,95.867,0.0,79.694,94.965,99.415,40.266,0.0,149.69,122.983,149.69,79.694,116.493,114.14,0.0,122.983,79.694,116.493,94.965,95.867,149.69,149.69,114.14,79.694,40.266,104.211,0.0,114.14,149.69,95.867,40.266,94.965,116.493,94.965,116.493,0.0,40.266,0.0,99.415,0.0,122.983,0.0,94.965
