,depot,INST0063_N8_N03_P000,INST0063_N8_N03_D000,INST0063_N8_N03_P001,INST0063_N8_N03_D001,INST0063_N8_N03_P002,INST0063_N8_N03_D002,INST0063_N8_N03_P003,INST0063_N8_N03_D003,INST0063_N8_N03_P004,INST0063_N8_N03_D004,INST0063_N8_N03_P005,INST0063_N8_N03_D005,INST0063_N8_N03_P006,INST0063_N8_N03_D006,INST0063_N8_N03_P007,INST0063_N8_N03_D007
depot,0.0,11.436,109.689,23.353,0.0,0.0,46.06,77.555,13.759,11.436,66.572,23.353,0.0,77.555,46.06,0.0,11.436
INST0063_N8_N03_P000,11.436,0.0,113.909,20.683,11.436,11.436,48.052,81.189,21.8,0.0,77.99,20.683,11.436,81.189,48.052,11.436,0.0
INST0063_N8_N03_D000,109.689,113.909,0.0,132.815,109.689,109.689,153.371,32.884,119.262,113.909,104.379,132.815,109.689,32.884,153.371,109.689,113.909
INST0063_N8_N03_P001,23.353,20.683,132.815,0.0,23.353,23.353,28.616,100.436,19.671,20.683,81.17,0.0,23.353,100.436,28.616,23.353,20.683
INST0063_N8_N03_D001,0.0,11.436,109.689,23.353,0.0,0.0,46.06,77.555,13.759,11.436,66.572,23.353,0.0,77.555,46.06,0.0,11.436
INST0063_N8_N03_P002,0.0,11.436,109.689,23.353,0.0,0.0,46.06,77.555,13.759,11.436,66.572,23.353,0.0,77.555,46.06,0.0,11.436
INST0063_N8_N03_D002,46.06,48.052,153.371,28.616,46.06,46.06,0.0,122.247,34.294,48.052,81.232,28.616,46.06,122.247,0.0,46.06,48.052
INST0063_N8_N03_P003,77.555,81.189,32.884,100.436,77.555,77.555,122.247,0.0,87.958,81.189,85.106,100.436,77.555,0.0,122.247,77.555,81.189
INST0063_N8_N03_D003,13.759,21.8,119.262,19.671,13.759,13.759,34.294,87.958,0.0,21.8,61.784,19.671,13.759,87.958,34.294,13.759,21.8
INST0063_N8_N03_P004,11.436,0.0,113.909,20.683,11.436,11.436,48.052,81.189,21.8,0.0,77.99,20.683,11.436,81.189,48.052,11.436,0.0
INST0063_N8_N03_D004,66.572,77.99,104.379,81.17,66.572,66.572,81.232,85.106,61.784,77.99,0.0,81.17,66.572,85.106,81.232,66.572,77.99
INST0063_N8_N03_P005,23.353,20.683,132.815,0.0,23.353,23.353,28.616,100.436,19.671,20.683,81.17,0.0,23.353,100.436,28.616,23.353,20.683
INST0063_N8_N03_D005,0.0,11.436,109.689,23.353,0.0,0.0,46.06,77.555,13.759,11.436,66.572,23.353,0.0,77.555,46.06,0.0,11.436
INST0063_N8_N03_P006,77.555,81.189,32.884,100.436,77.555,77.555,122.247,0.0,87.958,81.189,85.106,100.436,77.555,0.0,122.247,77.555,81.189
INST0063_N8_N03_D006,46.06,48.052,153.371,28.616,46.06,46.06,0.0,122.247,34.294,48.052,81.232,28.616,46.06,122.247,0.0,46.06,48.052
INST0063_N8_N03_P007,0.0,11.436,109.689,23.353,0.0,0.0,46.06,77.555,13.759,11.436,66.572,23.353,0.0,77.555,46.06,0.0,11.436
INST0063_N8_N03_D007,11.436,0.0,113.909,20.683,11.436,11.436,48.052,81.189,21.8,0.0,77.99,20.683,11.436,81.189,48.052,11.436,0.0
