,depot,INST0101_N10_S11_P000,INST0101_N10_S11_D000,INST0101_N10_S11_P001,INST0101_N10_S11_D001,INST0101_N10_S11_P002,INST0101_N10_S11_D002,INST0101_N10_S11_P003,INST0101_N10_S11_D003,INST0101_N10_S11_P004,INST0101_N10_S11_D004,INST0101_N10_S11_P005,INST0101_N10_S11_D005,INST0101_N10_S11_P006,INST0101_N10_S11_D006,INST0101_N10_S11_P007,INST0101_N10_S11_D007,INST0101_N10_S11_P008,INST0101_N10_S11_D008,INST0101_N10_S11_P009,INST0101_N10_S11_D009
depot,0.0,30.556,39.549,39.549,30.556,80.067,177.944,46.181,30.556,26.348,39.549,80.067,46.181,26.348,177.944,80.067,0.0,26.348,80.067,80.067,26.3
INST0101_N10_S11_P000,30.556,0.0,54.293,54.293,0.0,72.248,164.482,67.228,0.0,23.863,54.293,72.248,67.228,23.863,164.482,72.248,30.556,23.863,72.248,72.248,44.645
INST0101_N10_S11_D000,39.549,54.293,0.0,0.0,54.293,53.679,150.553,80.145,54.293,31.149,0.0,53.679,80.145,31.149,150.553,53.679,39.549,31.149,53.679,53.679,13.324
INST0101_N10_S11_P001,39.549,54.293,0.0,0.0,54.293,53.679,150.553,80.145,54.293,31.149,0.0,53.679,80.145,31.149,150.553,53.679,39.549,31.149,53.679,53.679,13.324
INST0101_N10_S11_D001,30.556,0.0,54.293,54.293,0.0,72.248,164.482,67.228,0.0,23.863,54.293,72.248,67.228,23.863,164.482,72.248,30.556,23.863,72.248,72.248,44.645
INST0101_N10_S11_P002,80.067,72.248,53.679,53.679,72.248,0.0,98.41,126.125,72.248,55.105,53.679,0.0,126.125,55.105,98.41,0.0,80.067,55.105,0.0,0.0,61.869
INST0101_N10_S11_D002,177.944,164.482,150.553,150.553,164.482,98.41,0.0,224.124,164.482,152.108,150.553,98.41,224.124,152.108,0.0,98.41,177.944,152.108,98.41,98.41,160.028
INST0101_N10_S11_P003,46.181,67.228,80.145,80.145,67.228,126.125,224.124,0.0,67.228,72.268,80.145,126.125,0.0,72.268,224.124,126.125,46.181,72.268,126.125,126.125,67.566
INST0101_N10_S11_D003,30.556,0.0,54.293,54.293,0.0,72.248,164.482,67.228,0.0,23.863,54.293,72.248,67.228,23.863,164.482,72.248,30.556,23.863,72.248,72.248,44.645
INST0101_N10_S11_P004,26.348,23.863,31.149,31.149,23.863,55.105,152.108,72.268,23.863,0.0,31.149,55.105,72.268,0.0,152.108,55.105,26.348,0.0,55.105,55.105,24.036
INST0101_N10_S11_D004,39.549,54.293,0.0,0.0,54.293,53.679,150.553,80.145,54.293,31.149,0.0,53.679,80.145,31.149,150.553,53.679,39.549,31.149,53.679,53.679,13.324
INST0101_N10_S11_P005,80.067,72.248,53.679,53.679,72.248,0.0,98.41,126.125,72.248,55.105,53.679,0.0,126.125,55.105,98.41,0.0,80.067,55.105,0.0,0.0,61.869
INST0101_N10_S11_D005,46.181,67.228,80.145,80.145,67.228,126.125,224.124,0.0,67.228,72.268,80.145,126.125,0.0,72.268,224.124,126.125,46.181,72.268,126.125,126.125,67.566
INST0101_N10_S11_P006,26.348,23.863,31.149,31.149,23.863,55.105,152.108,72.268,23.863,0.0,31.149,55.105,72.268,0.0,152.108,55.105,26.348,0.0,55.105,55.105,24.036
INST0101_N10_S11_D006,177.944,164.482,150.553,150.553,164.482,98.41,0.0,224.124,164.482,152.108,150.553,98.41,224.124,152.108,0.0,98.41,177.944,152.108,98.41,98.41,160.028
INST0101_N10_S11_P007,80.067,72.248,53.679,53.679,72.248,0.0,98.41,126.125,72.248,55.105,53.679,0.0,126.125,55.105,98.41,0.0,80.067,55.105,0.0,0.0,61.869
INST0101_N10_S11_D007,0.0,30.556,39.549,39.549,30.556,80.067,177.944,46.181,30.556,26.348,39.549,80.067,46.181,26.348,177.944,80.067,0.0,26.348,80.067,80.067,26.3
INST0101_N10_S11_P008,26.348,23.863,31.149,31.149,23.863,55.105,152.108,72.268,23.863,0.0,31.149,55.105,72.268,0.0,152.108,55.105,26.348,0.0,55.105,55.105,24.036
INST0101_N10_S11_D008,80.067,72.248,53.679,53.679,72.248,0.0,98.41,126.125,72.248,55.105,53.679,0.0,126.125,55.105,98.41,0.0,80.067,55.105,0.0,0.0,61.869
INST0101_N10_S11_P009,80.067,72.248,53.679,53.679,72.248,0.0,98.41,126.125,72.248,55.105,53.679,0.0,126.125,55.105,98.41,0.0,80.067,55.105,0.0,0.0,61.869
INST0101_N10_S11_D009,26.3,44.645,13.324,13.324,44.645,61.869,160.028,67.566,44.645,24.036,13.324,61.869,67.566,24.036,160.028,61.869,26.3,24.036,61.869,61.869,0.0
