,depot,INST0097_N10_W07_P000,INST0097_N10_W07_D000,INST0097_N10_W07_P001,INST0097_N10_W07_D001,INST0097_N10_W07_P002,INST0097_N10_W07_D002,INST0097_N10_W07_P003,INST0097_N10_W07_D003,INST0097_N10_W07_P004,INST0097_N10_W07_D004,INST0097_N10_W07_P005,INST0097_N10_W07_D005,INST0097_N10_W07_P006,INST0097_N10_W07_D006,INST0097_N10_W07_P007,INST0097_N10_W07_D007,INST0097_N10_W07_P008,INST0097_N10_W07_D008,INST0097_N10_W07_P009,INST0097_N10_W07_D009
depot,0.0,0.0,75.699,53.818,75.699,20.081,17.435,20.081,75.699,20.02,0.0,20.02,77.687,20.081,17.435,17.435,32.905,29.878,124.166,29.878,141.804
INST0097_N10_W07_P000,0.0,0.0,75.699,53.818,75.699,20.081,17.435,20.081,75.699,20.02,0.0,20.02,77.687,20.081,17.435,17.435,32.905,29.878,124.166,29.878,141.804
INST0097_N10_W07_D000,75.699,75.699,0.0,68.471,0.0,78.578,92.961,78.578,0.0,64.294,75.699,64.294,70.587,78.578,92.961,92.961,43.046,56.961,115.643,56.961,128.123
INST0097_N10_W07_P001,53.818,53.818,68.471,0.0,68.471,72.151,61.972,72.151,68.471,63.48,53.818,63.48,24.909,72.151,61.972,61.972,50.631,27.496,70.637,27.496,88.095
INST0097_N10_W07_D001,75.699,75.699,0.0,68.471,0.0,78.578,92.961,78.578,0.0,64.294,75.699,64.294,70.587,78.578,92.961,92.961,43.046,56.961,115.643,56.961,128.123
INST0097_N10_W07_P002,20.081,20.081,78.578,72.151,78.578,0.0,28.407,0.0,78.578,14.369,20.081,14.369,94.929,0.0,28.407,28.407,37.156,45.89,142.787,45.89,160.194
INST0097_N10_W07_D002,17.435,17.435,92.961,61.972,92.961,28.407,0.0,28.407,92.961,35.228,17.435,35.228,86.82,28.407,0.0,0.0,50.317,43.098,129.907,43.098,147.866
INST0097_N10_W07_P003,20.081,20.081,78.578,72.151,78.578,0.0,28.407,0.0,78.578,14.369,20.081,14.369,94.929,0.0,28.407,28.407,37.156,45.89,142.787,45.89,160.194
INST0097_N10_W07_D003,75.699,75.699,0.0,68.471,0.0,78.578,92.961,78.578,0.0,64.294,75.699,64.294,70.587,78.578,92.961,92.961,43.046,56.961,115.643,56.961,128.123
INST0097_N10_W07_P004,20.02,20.02,64.294,63.48,64.294,14.369,35.228,14.369,64.294,0.0,20.02,0.0,84.648,14.369,35.228,35.228,22.951,36.098,133.671,36.098,150.679
INST0097_N10_W07_D004,0.0,0.0,75.699,53.818,75.699,20.081,17.435,20.081,75.699,20.02,0.0,20.02,77.687,20.081,17.435,17.435,32.905,29.878,124.166,29.878,141.804
INST0097_N10_W07_P005,20.02,20.02,64.294,63.48,64.294,14.369,35.228,14.369,64.294,0.0,20.02,0.0,84.648,14.369,35.228,35.228,22.951,36.098,133.671,36.098,150.679
INST0097_N10_W07_D005,77.687,77.687,70.587,24.909,70.587,94.929,86.82,94.929,70.587,84.648,77.687,84.648,0.0,94.929,86.82,86.82,67.612,49.056,50.015,49.056,66.284
INST0097_N10_W07_P006,20.081,20.081,78.578,72.151,78.578,0.0,28.407,0.0,78.578,14.369,20.081,14.369,94.929,0.0,28.407,28.407,37.156,45.89,142.787,45.89,160.194
INST0097_N10_W07_D006,17.435,17.435,92.961,61.972,92.961,28.407,0.0,28.407,92.961,35.228,17.435,35.228,86.82,28.407,0.0,0.0,50.317,43.098,129.907,43.098,147.866
INST0097_N10_W07_P007,17.435,17.435,92.961,61.972,92.961,28.407,0.0,28.407,92.961,35.228,17.435,35.228,86.82,28.407,0.0,0.0,50.317,43.098,129.907,43.098,147.866
INST0097_N10_W07_D007,32.905,32.905,43.046,50.631,43.046,37.156,50.317,37.156,43.046,22.951,32.905,22.951,67.612,37.156,50.317,50.317,0.0,25.201,117.595,25.201,133.769
INST0097_N10_W07_P008,29.878,29.878,56.961,27.496,56.961,45.89,43.098,45.89,56.961,36.098,29.878,36.098,49.056,45.89,43.098,43.098,25.201,0.0,97.602,0.0,114.719
INST0097_N10_W07_D008,124.166,124.166,115.643,70.637,115.643,142.787,129.907,142.787,115.643,133.671,124.166,133.671,50.015,142.787,129.907,129.907,117.595,97.602,0.0,97.602,18.026
INST0097_N10_W07_P009,29.878,29.878,56.961,27.496,56.961,45.89,43.098,45.89,56.961,36.098,29.878,36.098,49.056,45.89,43.098,43.098,25.201,0.0,97.602,0.0,114.719
INST0097_N10_W07_D009,141.804,141.804,128.123,88.095,128.123,160.194,147.866,160.194,128.123,150.679,141.804,150.679,66.284,160.194,147.866,147.866,133.769,114.719,18.026,114.719,0.0
