,depot,INST0079_N8_W19_P000,INST0079_N8_W19_D000,INST0079_N8_W19_P001,INST0079_N8_W19_D001,INST0079_N8_W19_P002,INST0079_N8_W19_D002,INST0079_N8_W19_P003,INST0079_N8_W19_D003,INST0079_N8_W19_P004,INST0079_N8_W19_D004,INST0079_N8_W19_P005,INST0079_N8_W19_D005,INST0079_N8_W19_P006,INST0079_N8_W19_D006,INST0079_N8_W19_P007,INST0079_N8_W19_D007
depot,0.0,54.132,0.0,0.0,120.757,71.944,104.062,71.944,93.687,0.0,71.944,71.944,120.757,14.722,120.757,14.722,123.055
INST0079_N8_W19_P000,54.132,0.0,54.132,54.132,70.903,20.342,50.28,20.342,40.063,54.132,20.342,20.342,70.903,40.846,70.903,40.846,69.129
INST0079_N8_W19_D000,0.0,54.132,0.0,0.0,120.757,71.944,104.062,71.944,93.687,0.0,71.944,71.944,120.757,14.722,120.757,14.722,123.055
INST0079_N8_W19_P001,0.0,54.132,0.0,0.0,120.757,71.944,104.062,71.944,93.687,0.0,71.944,71.944,120.757,14.722,120.757,14.722,123.055
INST0079_N8_W19_D001,120.757,70.903,120.757,120.757,0.0,50.611,29.954,50.611,35.196,120.757,50.611,50.611,0.0,106.091,0.0,106.091,28.769
INST0079_N8_W19_P002,71.944,20.342,71.944,71.944,50.611,0.0,32.833,0.0,22.455,71.944,0.0,0.0,50.611,57.687,50.611,57.687,51.842
INST0079_N8_W19_D002,104.062,50.28,104.062,104.062,29.954,32.833,0.0,32.833,10.426,104.062,32.833,32.833,29.954,90.122,29.954,90.122,19.054
INST0079_N8_W19_P003,71.944,20.342,71.944,71.944,50.611,0.0,32.833,0.0,22.455,71.944,0.0,0.0,50.611,57.687,50.611,57.687,51.842
INST0079_N8_W19_D003,93.687,40.063,93.687,93.687,35.196,22.455,10.426,22.455,0.0,93.687,22.455,22.455,35.196,79.708,35.196,79.708,29.48
INST0079_N8_W19_P004,0.0,54.132,0.0,0.0,120.757,71.944,104.062,71.944,93.687,0.0,71.944,71.944,120.757,14.722,120.757,14.722,123.055
INST0079_N8_W19_D004,71.944,20.342,71.944,71.944,50.611,0.0,32.833,0.0,22.455,71.944,0.0,0.0,50.611,57.687,50.611,57.687,51.842
INST0079_N8_W19_P005,71.944,20.342,71.944,71.944,50.611,0.0,32.833,0.0,22.455,71.944,0.0,0.0,50.611,57.687,50.611,57.687,51.842
INST0079_N8_W19_D005,120.757,70.903,120.757,120.757,0.0,50.611,29.954,50.611,35.196,120.757,50.611,50.611,0.0,106.091,0.0,106.091,28.769
INST0079_N8_W19_P006,14.722,40.846,14.722,14.722,106.091,57.687,90.122,57.687,79.708,14.722,57.687,57.687,106.091,0.0,106.091,0.0,109.164
INST0079_N8_W19_D006,120.757,70.903,120.757,120.757,0.0,50.611,29.954,50.611,35.196,120.757,50.611,50.611,0.0,106.091,0.0,106.091,28.769
INST0079_N8_W19_P007,14.722,40.846,14.722,14.722,106.091,57.687,90.122,57.687,79.708,14.722,57.687,57.687,106.091,0.0,106.091,0.0,109.164
INST0079_N8_W19_D007,123.055,69.129,123.055,123.055,28.769,51.842,19.054,51.842,29.48,123.055,51.842,51.842,28.769,109.164,28.769,109.164,0.0
