,depot,INST0267_N22_N27_P000,INST0267_N22_N27_D000,INST0267_N22_N27_P001,INST0267_N22_N27_D001,INST0267_N22_N27_P002,INST0267_N22_N27_D002,INST0267_N22_N27_P003,INST0267_N22_N27_D003,INST0267_N22_N27_P004,INST0267_N22_N27_D004,INST0267_N22_N27_P005,INST0267_N22_N27_D005,INST0267_N22_N27_P006,INST0267_N22_N27_D006,INST0267_N22_N27_P007,INST0267_N22_N27_D007,INST0267_N22_N27_P008,INST0267_N22_N27_D008,INST0267_N22_N27_P009,INST0267_N22_N27_D009,INST0267_N22_N27_P010,INST0267_N22_N27_D010,INST0267_N22_N27_P011,INST0267_N22_N27_D011,INST0267_N22_N27_P012,INST0267_N22_N27_D012,INST0267_N22_N27_P013,INST0267_N22_N27_D013,INST0267_N22_N27_P014,INST0267_N22_N27_D014,INST0267_N22_N27_P015,INST0267_N22_N27_D015,INST0267_N22_N27_P016,INST0267_N22_N27_D016,INST0267_N22_N27_P017,INST0267_N22_N27_D017,INST0267_N22_N27_P018,INST0267_N22_N27_D018,INST0267_N22_N27_P019,INST0267_N22_N27_D019,INST0267_N22_N27_P020,INST0267_N22_N27_D020,INST0267_N22_N27_P021,INST0267_N22_N27_D021
depot,0.0,18.283,122.278,35.534,30.471,30.471,47.339,35.534,0.0,18.791,93.214,18.283,93.214,30.471,122.278,35.534,18.791,40.266,35.653,0.0,35.653,35.653,131.141,0.0,30.471,47.339,82.833,30.471,122.278,30.471,47.339,40.266,93.214,0.0,35.653,18.791,40.266,18.791,30.471,30.471,93.214,0.0,47.339,18.283,27.709
INST0267_N22_N27_P000,18.283,0.0,126.352,17.254,20.176,20.176,64.45,17.254,18.283,7.201,95.136,0.0,95.136,20.176,126.352,17.254,7.201,26.126,27.111,18.283,27.111,27.111,127.166,18.283,20.176,64.45,71.779,20.176,126.352,20.176,64.45,26.126,95.136,18.283,27.111,7.201,26.126,7.201,20.176,20.176,95.136,18.283,64.45,0.0,18.229
INST0267_N22_N27_D000,122.278,126.352,0.0,132.815,109.689,109.689,104.379,132.815,122.278,119.262,32.884,126.352,32.884,109.689,0.0,132.815,119.262,113.909,153.371,122.278,153.371,153.371,252.84,122.278,109.689,104.379,95.428,109.689,0.0,109.689,104.379,113.909,32.884,122.278,153.371,119.262,113.909,119.262,109.689,109.689,32.884,122.278,104.379,126.352,110.207
INST0267_N22_N27_P001,35.534,17.254,132.815,0.0,23.353,23.353,81.17,0.0,35.534,19.671,100.436,17.254,100.436,23.353,132.815,0.0,19.671,20.683,28.616,35.534,28.616,28.616,125.319,35.534,23.353,81.17,64.86,23.353,132.815,23.353,81.17,20.683,100.436,35.534,28.616,19.671,20.683,19.671,23.353,23.353,100.436,35.534,81.17,17.254,23.461
INST0267_N22_N27_D001,30.471,20.176,109.689,23.353,0.0,0.0,66.572,23.353,30.471,13.759,77.555,20.176,77.555,0.0,109.689,23.353,13.759,11.436,46.06,30.471,46.06,46.06,145.919,30.471,0.0,66.572,52.8,0.0,109.689,0.0,66.572,11.436,77.555,30.471,46.06,13.759,11.436,13.759,0.0,0.0,77.555,30.471,66.572,20.176,2.788
INST0267_N22_N27_P002,30.471,20.176,109.689,23.353,0.0,0.0,66.572,23.353,30.471,13.759,77.555,20.176,77.555,0.0,109.689,23.353,13.759,11.436,46.06,30.471,46.06,46.06,145.919,30.471,0.0,66.572,52.8,0.0,109.689,0.0,66.572,11.436,77.555,30.471,46.06,13.759,11.436,13.759,0.0,0.0,77.555,30.471,66.572,20.176,2.788
INST0267_N22_N27_D002,47.339,64.45,104.379,81.17,66.572,66.572,0.0,81.17,47.339,61.784,85.106,64.45,85.106,66.572,104.379,81.17,61.784,77.99,81.232,47.339,81.232,81.232,165.945,47.339,66.572,0.0,107.477,66.572,104.379,66.572,0.0,77.99,85.106,47.339,81.232,61.784,77.99,61.784,66.572,66.572,85.106,47.339,0.0,64.45,64.236
INST0267_N22_N27_P003,35.534,17.254,132.815,0.0,23.353,23.353,81.17,0.0,35.534,19.671,100.436,17.254,100.436,23.353,132.815,0.0,19.671,20.683,28.616,35.534,28.616,28.616,125.319,35.534,23.353,81.17,64.86,23.353,132.815,23.353,81.17,20.683,100.436,35.534,28.616,19.671,20.683,19.671,23.353,23.353,100.436,35.534,81.17,17.254,23.461
INST0267_N22_N27_D003,0.0,18.283,122.278,35.534,30.471,30.471,47.339,35.534,0.0,18.791,93.214,18.283,93.214,30.471,122.278,35.534,18.791,40.266,35.653,0.0,35.653,35.653,131.141,0.0,30.471,47.339,82.833,30.471,122.278,30.471,47.339,40.266,93.214,0.0,35.653,18.791,40.266,18.791,30.471,30.471,93.214,0.0,47.339,18.283,27.709
INST0267_N22_N27_P004,18.791,7.201,119.262,19.671,13.759,13.759,61.784,19.671,18.791,0.0,87.958,7.201,87.958,13.759,119.262,19.671,0.0,21.8,34.294,18.791,34.294,34.294,134.365,18.791,13.759,61.784,66.32,13.759,119.262,13.759,61.784,21.8,87.958,18.791,34.294,0.0,21.8,0.0,13.759,13.759,87.958,18.791,61.784,7.201,11.477
INST0267_N22_N27_D004,93.214,95.136,32.884,100.436,77.555,77.555,85.106,100.436,93.214,87.958,0.0,95.136,0.0,77.555,32.884,100.436,87.958,81.189,122.247,93.214,122.247,122.247,222.229,93.214,77.555,85.106,65.084,77.555,32.884,77.555,85.106,81.189,0.0,93.214,122.247,87.958,81.189,87.958,77.555,77.555,0.0,93.214,85.106,95.136,78.292
