,depot,INST0169_N15_W19_P000,INST0169_N15_W19_D000,INST0169_N15_W19_P001,INST0169_N15_W19_D001,INST0169_N15_W19_P002,INST0169_N15_W19_D002,INST0169_N15_W19_P003,INST0169_N15_W19_D003,INST0169_N15_W19_P004,INST0169_N15_W19_D004,INST0169_N15_W19_P005,INST0169_N15_W19_D005,INST0169_N15_W19_P006,INST0169_N15_W19_D006,INST0169_N15_W19_P007,INST0169_N15_W19_D007,INST0169_N15_W19_P008,INST0169_N15_W19_D008,INST0169_N15_W19_P009,INST0169_N15_W19_D009,INST0169_N15_W19_P010,INST0169_N15_W19_D010,INST0169_N15_W19_P011,INST0169_N15_W19_D011,INST0169_N15_W19_P012,INST0169_N15_W19_D012,INST0169_N15_W19_P013,INST0169_N15_W19_D013,INST0169_N15_W19_P014,INST0169_N15_W19_D014
depot,0.0,88.095,18.026,0.0,114.719,88.095,128.123,88.095,0.0,18.026,127.423,88.095,114.719,18.026,160.194,66.284,160.194,0.0,88.095,66.284,160.194,0.0,127.423,66.284,141.804,88.095,147.866,18.026,141.804,18.026,128.123
INST0169_N15_W19_P000,88.095,0.0,70.637,88.095,27.496,0.0,68.471,0.0,88.095,70.637,40.204,0.0,27.496,70.637,72.151,24.909,72.151,88.095,0.0,24.909,72.151,88.095,40.204,24.909,53.818,0.0,61.972,70.637,53.818,70.637,68.471
INST0169_N15_W19_D000,18.026,70.637,0.0,18.026,97.602,70.637,115.643,70.637,18.026,0.0,110.354,70.637,97.602,0.0,142.787,50.015,142.787,18.026,70.637,50.015,142.787,18.026,110.354,50.015,124.166,70.637,129.907,0.0,124.166,0.0,115.643
INST0169_N15_W19_P001,0.0,88.095,18.026,0.0,114.719,88.095,128.123,88.095,0.0,18.026,127.423,88.095,114.719,18.026,160.194,66.284,160.194,0.0,88.095,66.284,160.194,0.0,127.423,66.284,141.804,88.095,147.866,18.026,141.804,18.026,128.123
INST0169_N15_W19_D001,114.719,27.496,97.602,114.719,0.0,27.496,56.961,27.496,114.719,97.602,12.767,27.496,0.0,97.602,45.89,49.056,45.89,114.719,27.496,49.056,45.89,114.719,12.767,49.056,29.878,27.496,43.098,97.602,29.878,97.602,56.961
INST0169_N15_W19_P002,88.095,0.0,70.637,88.095,27.496,0.0,68.471,0.0,88.095,70.637,40.204,0.0,27.496,70.637,72.151,24.909,72.151,88.095,0.0,24.909,72.151,88.095,40.204,24.909,53.818,0.0,61.972,70.637,53.818,70.637,68.471
INST0169_N15_W19_D002,128.123,68.471,115.643,128.123,56.961,68.471,0.0,68.471,128.123,115.643,57.051,68.471,56.961,115.643,78.578,70.587,78.578,128.123,68.471,70.587,78.578,128.123,57.051,70.587,75.699,68.471,92.961,115.643,75.699,115.643,0.0
INST0169_N15_W19_P003,88.095,0.0,70.637,88.095,27.496,0.0,68.471,0.0,88.095,70.637,40.204,0.0,27.496,70.637,72.151,24.909,72.151,88.095,0.0,24.909,72.151,88.095,40.204,24.909,53.818,0.0,61.972,70.637,53.818,70.637,68.471
INST0169_N15_W19_D003,0.0,88.095,18.026,0.0,114.719,88.095,128.123,88.095,0.0,18.026,127.423,88.095,114.719,18.026,160.194,66.284,160.194,0.0,88.095,66.284,160.194,0.0,127.423,66.284,141.804,88.095,147.866,18.026,141.804,18.026,128.123
INST0169_N15_W19_P004,18.026,70.637,0.0,18.026,97.602,70.637,115.643,70.637,18.026,0.0,110.354,70.637,97.602,0.0,142.787,50.015,142.787,18.026,70.637,50.015,142.787,18.026,110.354,50.015,124.166,70.637,129.907,0.0,124.166,0.0,115.643
INST0169_N15_W19_D004,127.423,40.204,110.354,127.423,12.767,40.204,57.051,40.204,127.423,110.354,0.0,40.204,12.767,110.354,33.728,61.567,33.728,127.423,40.204,61.567,33.728,127.423,0.0,61.567,20.56,40.204,36.679,110.354,20.56,110.354,57.051
INST0169_N15_W19_P005,88.095,0.0,70.637,88.095,27.496,0.0,68.471,0.0,88.095,70.637,40.204,0.0,27.496,70.637,72.151,24.909,72.151,88.095,0.0,24.909,72.151,88.095,40.204,24.909,53.818,0.0,61.972,70.637,53.818,70.637,68.471
INST0169_N15_W19_D005,114.719,27.496,97.602,114.719,0.0,27.496,56.961,27.496,114.719,97.602,12.767,27.496,0.0,97.602,45.89,49.056,45.89,114.719,27.496,49.056,45.89,114.719,12.767,49.056,29.878,27.496,43.098,97.602,29.878,97.602,56.961
INST0169_N15_W19_P006,18.026,70.637,0.0,18.026,97.602,70.637,115.643,70.637,18.026,0.0,110.354,70.637,97.602,0.0,142.787,50.015,142.787,18.026,70.637,50.015,142.787,18.026,110.354,50.015,124.166,70.637,129.907,0.0,124.166,0.0,115.643
INST0169_N15_W19_D006,160.194,72.151,142.787,160.194,45.89,72.151,78.578,72.151,160.194,142.787,33.728,72.151,45.89,142.787,0.0,94.929,0.0,160.194,72.151,94.929,0.0,160.194,33.728,94.929,20.081,72.151,28.407,142.787,20.081,142.787,78.578
INST0169_N15_W19_P007,66.284,24.909,50.015,66.284,49.056,24.909,70.587,24.909,66.284,50.015,61.567,24.909,49.056,50.015,94.929,0.0,94.929,66.284,24.909,0.0,94.929,66.284,61.567,0.0,77.687,24.909,86.82,50.015,77.687,50.015,70.587
INST0169_N15_W19_D007,160.194,72.151,142.787,160.194,45.89,72.151,78.578,72.151,160.194,142.787,33.728,72.151,45.89,142.787,0.0,94.929,0.0,160.194,72.151,94.929,0.0,160.194,33.728,94.929,20.081,72.151,28.407,142.787,20.081,142.787,78.578
INST0169_N15_W19_P008,0.0,88.095,18.026,0.0,114.719,88.095,128.123,88.095,0.0,18.026,127.423,88.095,114.719,18.026,160.194,66.284,160.194,0.0,88.095,66.284,160.194,0.0,127.423,66.284,141.804,88.095,147.866,18.026,141.804,18.026,128.123
INST0169_N15_W19_D008,88.095,0.0,70.637,88.095,27.496,0.0,68.471,0.0,88.095,70.637,40.204,0.0,27.496,70.637,72.151,24.909,72.151,88.095,0.0,24.909,72.151,88.095,40.204,24.909,53.818,0.0,61.972,70.637,53.818,70.637,68.471
INST0169_N15_W19_P009,66.284,24.909,50.015,66.284,49.056,24.909,70.587,24.909,66.284,50.015,61.567,24.909,49.056,50.015,94.929,0.0,94.929,66.284,24.909,0.0,94.929,66.284,61.567,0.0,77.687,24.909,86.82,50.015,77.687,50.015,70.587
INST0169_N15_W19_D009,160.194,72.151,142.787,160.194,45.89,72.151,78.578,72.151,160.194,142.787,33.728,72.151,45.89,142.787,0.0,94.929,0.0,160.194,72.151,94.929,0.0,160.194,33.728,94.929,20.081,72.151,28.407,142.787,20.081,142.787,78.578
INST0169_N15_W19_P010,0.0,88.095,18.026,0.0,114.719,88.095,128.123,88.095,0.0,18.026,127.423,88.095,114.719,18.026,160.194,66.284,160.194,0.0,88.095,66.284,160.194,0.0,127.423,66.284,141.804,88.095,147.866,18.026,141.804,18.026,128.123
INST0169_N15_W19_D010,127.423,40.204,110.354,127.423,12.767,40.204,57.051,40.204,127.423,110.354,0.0,40.204,12.767,110.354,33.728,61.567,33.728,127.423,40.204,61.567,33.728,127.423,0.0,61.567,20.56,40.204,36.679,110.354,20.56,110.354,57.051
INST0169_N15_W19_P011,66.284,24.909,50.015,66.284,49.056,24.909,70.587,24.909,66.284,50.015,61.567,24.909,49.056,50.015,94.929,0.0,94.929,66.284,24.909,0.0,94.929,66.284,61.567,0.0,77.687,24.909,86.82,50.015,77.687,50.015,70.587
INST0169_N15_W19_D011,141.804,53.818,124.166,141.804,29.878,53.818,75.699,53.818,141.804,124.166,20.56,53.818,29.878,124.166,20.081,77.687,20.081,141.804,53.818,77.687,20.081,141.804,20.56,77.687,0.0,53.818,17.435,124.166,0.0,124.166,75.699
INST0169_N15_W19_P012,88.095,0.0,70.637,88.095,27.496,0.0,68.471,0.0,88.095,70.637,40.204,0.0,27.496,70.637,72.151,24.909,72.151,88.095,0.0,24.909,72.151,88.095,40.204,24.909,53.818,0.0,61.972,70.637,53.818,70.637,68.471
INST0169_N15_W19_D012,147.866,61.972,129.907,147.866,43.098,61.972,92.961,61.972,147.866,129.907,36.679,61.972,43.098,129.907,28.407,86.82,28.407,147.866,61.972,86.82,28.407,147.866,36.679,86.82,17.435,61.972,0.0,129.907,17.435,129.907,92.961
INST0169_N15_W19_P013,18.026,70.637,0.0,18.026,97.602,70.637,115.643,70.637,18.026,0.0,110.354,70.637,97.602,0.0,142.787,50.015,142.787,18.026,70.637,50.015,142.787,18.026,110.354,50.015,124.166,70.637,129.907,0.0,124.166,0.0,115.643
INST0169_N15_W19_D013,141.804,53.818,124.166,141.804,29.878,53.818,75.699,53.818,141.804,124.166,20.56,53.818,29.878,124.166,20.081,77.687,20.081,141.804,53.818,77.687,20.081,141.804,20.56,77.687,0.0,53.818,17.435,124.166,0.0,124.166,75.699
INST0169_N15_W19_P014,18.026,70.637,0.0,18.026,97.602,70.637,115.643,70.637,18.026,0.0,110.354,70.637,97.602,0.0,142.787,50.015,142.787,18.026,70.637,50.015,142.787,18.026,110.354,50.015,124.166,70.637,129.907,0.0,124.166,0.0,115.643
INST0169_N15_W19_D014,128.123,68.471,115.643,128.123,56.961,68.471,0.0,68.471,128.123,115.643,57.051,68.471,56.961,115.643,78.578,70.587,78.578,128.123,68.471,70.587,78.578,128.123,57.051,70.587,75.699,68.471,92.961,115.643,75.699,115.643,0.0
