,depot,INST0127_N12_W07_P000,INST0127_N12_W07_D000,INST0127_N12_W07_P001,INST0127_N12_W07_D001,INST0127_N12_W07_P002,INST0127_N12_W07_D002,INST0127_N12_W07_P003,INST0127_N12_W07_D003,INST0127_N12_W07_P004,INST0127_N12_W07_D004,INST0127_N12_W07_P005,INST0127_N12_W07_D005,INST0127_N12_W07_P006,INST0127_N12_W07_D006,INST0127_N12_W07_P007,INST0127_N12_W07_D007,INST0127_N12_W07_P008,INST0127_N12_W07_D008,INST0127_N12_W07_P009,INST0127_N12_W07_D009,INST0127_N12_W07_P010,INST0127_N12_W07_D010,INST0127_N12_W07_P011,INST0127_N12_W07_D011
depot,0.0,43.952,115.807,61.821,16.399,24.4,63.444,24.4,16.399,16.791,0.0,16.791,16.35,63.444,14.239,16.399,26.872,63.444,16.399,63.444,24.4,26.872,43.952,26.872,115.807
INST0127_N12_W07_P000,43.952,0.0,71.944,55.918,58.923,22.455,20.342,22.455,58.923,32.833,43.952,32.833,51.842,20.342,50.611,58.923,41.349,20.342,58.923,20.342,22.455,41.349,0.0,41.349,71.944
INST0127_N12_W07_D000,115.807,71.944,0.0,104.634,130.825,93.687,54.132,93.687,130.825,104.062,115.807,104.062,123.055,54.132,120.757,130.825,109.245,54.132,130.825,54.132,93.687,109.245,71.944,109.245,0.0
INST0127_N12_W07_P001,61.821,55.918,104.634,0.0,64.172,46.518,57.646,46.518,64.172,46.592,61.821,46.592,52.507,57.646,75.918,64.172,35.155,57.646,64.172,57.646,46.518,35.155,55.918,35.155,104.634
INST0127_N12_W07_D001,16.399,58.923,130.825,64.172,0.0,37.477,77.525,37.477,0.0,27.544,16.399,27.544,11.735,77.525,23.199,0.0,30.344,77.525,0.0,77.525,37.477,30.344,58.923,30.344,130.825
INST0127_N12_W07_P002,24.4,22.455,93.687,46.518,37.477,0.0,40.063,0.0,37.477,10.426,24.4,10.426,29.48,40.063,35.196,37.477,20.581,40.063,37.477,40.063,0.0,20.581,22.455,20.581,93.687
INST0127_N12_W07_D002,63.444,20.342,54.132,57.646,77.525,40.063,0.0,40.063,77.525,50.28,63.444,50.28,69.129,0.0,70.903,77.525,55.217,0.0,77.525,0.0,40.063,55.217,20.342,55.217,54.132
INST0127_N12_W07_P003,24.4,22.455,93.687,46.518,37.477,0.0,40.063,0.0,37.477,10.426,24.4,10.426,29.48,40.063,35.196,37.477,20.581,40.063,37.477,40.063,0.0,20.581,22.455,20.581,93.687
INST0127_N12_W07_D003,16.399,58.923,130.825,64.172,0.0,37.477,77.525,37.477,0.0,27.544,16.399,27.544,11.735,77.525,23.199,0.0,30.344,77.525,0.0,77.525,37.477,30.344,58.923,30.344,130.825
INST0127_N12_W07_P004,16.791,32.833,104.062,46.592,27.544,10.426,50.28,10.426,27.544,0.0,16.791,0.0,19.054,50.28,29.954,27.544,14.077,50.28,27.544,50.28,10.426,14.077,32.833,14.077,104.062
INST0127_N12_W07_D004,0.0,43.952,115.807,61.821,16.399,24.4,63.444,24.4,16.399,16.791,0.0,16.791,16.35,63.444,14.239,16.399,26.872,63.444,16.399,63.444,24.4,26.872,43.952,26.872,115.807
INST0127_N12_W07_P005,16.791,32.833,104.062,46.592,27.544,10.426,50.28,10.426,27.544,0.0,16.791,0.0,19.054,50.28,29.954,27.544,14.077,50.28,27.544,50.28,10.426,14.077,32.833,14.077,104.062
INST0127_N12_W07_D005,16.35,51.842,123.055,52.507,11.735,29.48,69.129,29.48,11.735,19.054,16.35,19.054,0.0,69.129,28.769,11.735,18.744,69.129,11.735,69.129,29.48,18.744,51.842,18.744,123.055
INST0127_N12_W07_P006,63.444,20.342,54.132,57.646,77.525,40.063,0.0,40.063,77.525,50.28,63.444,50.28,69.129,0.0,70.903,77.525,55.217,0.0,77.525,0.0,40.063,55.217,20.342,55.217,54.132
INST0127_N12_W07_D006,14.239,50.611,120.757,75.918,23.199,35.196,70.903,35.196,23.199,29.954,14.239,29.954,28.769,70.903,0.0,23.199,41.092,70.903,23.199,70.903,35.196,41.092,50.611,41.092,120.757
INST0127_N12_W07_P007,16.399,58.923,130.825,64.172,0.0,37.477,77.525,37.477,0.0,27.544,16.399,27.544,11.735,77.525,23.199,0.0,30.344,77.525,0.0,77.525,37.477,30.344,58.923,30.344,130.825
INST0127_N12_W07_D007,26.872,41.349,109.245,35.155,30.344,20.581,55.217,20.581,30.344,14.077,26.872,14.077,18.744,55.217,41.092,30.344,0.0,55.217,30.344,55.217,20.581,0.0,41.349,0.0,109.245
INST0127_N12_W07_P008,63.444,20.342,54.132,57.646,77.525,40.063,0.0,40.063,77.525,50.28,63.444,50.28,69.129,0.0,70.903,77.525,55.217,0.0,77.525,0.0,40.063,55.217,20.342,55.217,54.132
INST0127_N12_W07_D008,16.399,58.923,130.825,64.172,0.0,37.477,77.525,37.477,0.0,27.544,16.399,27.544,11.735,77.525,23.199,0.0,30.344,77.525,0.0,77.525,37.477,30.344,58.923,30.344,130.825
INST0127_N12_W07_P009,63.444,20.342,54.132,57.646,77.525,40.063,0.0,40.063,77.525,50.28,63.444,50.28,69.129,0.0,70.903,77.525,55.217,0.0,77.525,0.0,40.063,55.217,20.342,55.217,54.132
INST0127_N12_W07_D009,24.4,22.455,93.687,46.518,37.477,0.0,40.063,0.0,37.477,10.426,24.4,10.426,29.48,40.063,35.196,37.477,20.581,40.063,37.477,40.063,0.0,20.581,22.455,20.581,93.687
INST0127_N12_W07_P010,26.872,41.349,109.245,35.155,30.344,20.581,55.217,20.581,30.344,14.077,26.872,14.077,18.744,55.217,41.092,30.344,0.0,55.217,30.344,55.217,20.581,0.0,41.349,0.0,109.245
