,depot,INST0066_N8_N06_P000,INST0066_N8_N06_D000,INST0066_N8_N06_P001,INST0066_N8_N06_D001,INST0066_N8_N06_P002,INST0066_N8_N06_D002,INST0066_N8_N06_P003,INST0066_N8_N06_D003,INST0066_N8_N06_P004,INST0066_N8_N06_D004,INST0066_N8_N06_P005,INST0066_N8_N06_D005,INST0066_N8_N06_P006,INST0066_N8_N06_D006,INST0066_N8_N06_P007,INST0066_N8_N06_D007
depot,0.0,0.0,17.254,28.616,100.436,0.0,20.683,23.353,132.815,64.86,100.436,28.616,23.461,23.353,100.436,17.254,132.815
INST0066_N8_N06_P000,0.0,0.0,17.254,28.616,100.436,0.0,20.683,23.353,132.815,64.86,100.436,28.616,23.461,23.353,100.436,17.254,132.815
INST0066_N8_N06_D000,17.254,17.254,0.0,27.111,95.136,17.254,26.126,20.176,126.352,71.779,95.136,27.111,18.229,20.176,95.136,0.0,126.352
INST0066_N8_N06_P001,28.616,28.616,27.111,0.0,122.247,28.616,48.052,46.06,153.371,93.371,122.247,0.0,44.646,46.06,122.247,27.111,153.371
INST0066_N8_N06_D001,100.436,100.436,95.136,122.247,0.0,100.436,81.189,77.555,32.884,65.084,0.0,122.247,78.292,77.555,0.0,95.136,32.884
INST0066_N8_N06_P002,0.0,0.0,17.254,28.616,100.436,0.0,20.683,23.353,132.815,64.86,100.436,28.616,23.461,23.353,100.436,17.254,132.815
INST0066_N8_N06_D002,20.683,20.683,26.126,48.052,81.189,20.683,0.0,11.436,113.909,46.019,81.189,48.052,13.942,11.436,81.189,26.126,113.909
INST0066_N8_N06_P003,23.353,23.353,20.176,46.06,77.555,23.353,11.436,0.0,109.689,52.8,77.555,46.06,2.788,0.0,77.555,20.176,109.689
INST0066_N8_N06_D003,132.815,132.815,126.352,153.371,32.884,132.815,113.909,109.689,0.0,95.428,32.884,153.371,110.207,109.689,32.884,126.352,0.0
INST0066_N8_N06_P004,64.86,64.86,71.779,93.371,65.084,64.86,46.019,52.8,95.428,0.0,65.084,93.371,55.435,52.8,65.084,71.779,95.428
INST0066_N8_N06_D004,100.436,100.436,95.136,122.247,0.0,100.436,81.189,77.555,32.884,65.084,0.0,122.247,78.292,77.555,0.0,95.136,32.884
INST0066_N8_N06_P005,28.616,28.616,27.111,0.0,122.247,28.616,48.052,46.06,153.371,93.371,122.247,0.0,44.646,46.06,122.247,27.111,153.371
INST0066_N8_N06_D005,23.461,23.461,18.229,44.646,78.292,23.461,13.942,2.788,110.207,55.435,78.292,44.646,0.0,2.788,78.292,18.229,110.207
INST0066_N8_N06_P006,23.353,23.353,20.176,46.06,77.555,23.353,11.436,0.0,109.689,52.8,77.555,46.06,2.788,0.0,77.555,20.176,109.689
INST0066_N8_N06_D006,100.436,100.436,95.136,122.247,0.0,100.436,81.189,77.555,32.884,65.084,0.0,122.247,78.292,77.555,0.0,95.136,32.884
INST0066_N8_N06_P007,17.254,17.254,0.0,27.111,95.136,17.254,26.126,20.176,126.352,71.779,95.136,27.111,18.229,20.176,95.136,0.0,126.352
INST0066_N8_N06_D007,132.815,132.815,126.352,153.371,32.884,132.815,113.909,109.689,0.0,95.428,32.884,153.371,110.207,109.689,32.884,126.352,0.0
