,depot,INST0159_N15_N09_P000,INST0159_N15_N09_D000,INST0159_N15_N09_P001,INST0159_N15_N09_D001,INST0159_N15_N09_P002,INST0159_N15_N09_D002,INST0159_N15_N09_P003,INST0159_N15_N09_D003,INST0159_N15_N09_P004,INST0159_N15_N09_D004,INST0159_N15_N09_P005,INST0159_N15_N09_D005,INST0159_N15_N09_P006,INST0159_N15_N09_D006,INST0159_N15_N09_P007,INST0159_N15_N09_D007,INST0159_N15_N09_P008,INST0159_N15_N09_D008,INST0159_N15_N09_P009,INST0159_N15_N09_D009,INST0159_N15_N09_P010,INST0159_N15_N09_D010,INST0159_N15_N09_P011,INST0159_N15_N09_D011,INST0159_N15_N09_P012,INST0159_N15_N09_D012,INST0159_N15_N09_P013,INST0159_N15_N09_D013,INST0159_N15_N09_P014,INST0159_N15_N09_D014
depot,0.0,43.657,35.041,43.657,56.4,58.839,187.802,43.657,35.041,56.4,99.467,58.839,99.467,33.197,58.839,43.657,149.69,0.0,43.657,0.0,43.657,33.197,54.669,33.197,54.669,41.993,0.0,43.657,187.802,33.197,0.0
INST0159_N15_N09_P000,43.657,0.0,43.511,0.0,37.312,49.306,149.729,0.0,43.511,37.312,57.966,49.306,57.966,22.387,49.306,0.0,114.14,43.657,0.0,43.657,0.0,22.387,33.929,22.387,33.929,23.01,43.657,0.0,149.729,22.387,43.657
INST0159_N15_N09_D000,35.041,43.511,0.0,43.511,28.595,25.326,162.63,43.511,0.0,28.595,99.392,25.326,99.392,21.127,25.326,43.511,122.983,35.041,43.511,35.041,43.511,21.127,28.727,21.127,28.727,24.088,35.041,43.511,162.63,21.127,35.041
INST0159_N15_N09_P001,43.657,0.0,43.511,0.0,37.312,49.306,149.729,0.0,43.511,37.312,57.966,49.306,57.966,22.387,49.306,0.0,114.14,43.657,0.0,43.657,0.0,22.387,33.929,22.387,33.929,23.01,43.657,0.0,149.729,22.387,43.657
INST0159_N15_N09_D001,56.4,37.312,28.595,37.312,0.0,14.003,134.313,37.312,28.595,0.0,81.517,14.003,81.517,24.705,14.003,37.312,94.965,56.4,37.312,56.4,37.312,24.705,3.413,24.705,3.413,16.848,56.4,37.312,134.313,24.705,56.4
INST0159_N15_N09_P002,58.839,49.306,25.326,49.306,14.003,0.0,139.481,49.306,25.326,14.003,95.498,0.0,95.498,31.992,0.0,49.306,99.415,58.839,49.306,58.839,49.306,31.992,17.072,31.992,17.072,26.694,58.839,49.306,139.481,31.992,58.839
INST0159_N15_N09_D002,187.802,149.729,162.63,149.729,134.313,139.481,0.0,149.729,162.63,134.313,127.812,139.481,127.812,154.717,139.481,149.729,40.266,187.802,149.729,187.802,149.729,154.717,134.948,154.717,134.948,146.035,187.802,149.729,0.0,154.717,187.802
INST0159_N15_N09_P003,43.657,0.0,43.511,0.0,37.312,49.306,149.729,0.0,43.511,37.312,57.966,49.306,57.966,22.387,49.306,0.0,114.14,43.657,0.0,43.657,0.0,22.387,33.929,22.387,33.929,23.01,43.657,0.0,149.729,22.387,43.657
INST0159_N15_N09_D003,35.041,43.511,0.0,43.511,28.595,25.326,162.63,43.511,0.0,28.595,99.392,25.326,99.392,21.127,25.326,43.511,122.983,35.041,43.511,35.041,43.511,21.127,28.727,21.127,28.727,24.088,35.041,43.511,162.63,21.127,35.041
INST0159_N15_N09_P004,56.4,37.312,28.595,37.312,0.0,14.003,134.313,37.312,28.595,0.0,81.517,14.003,81.517,24.705,14.003,37.312,94.965,56.4,37.312,56.4,37.312,24.705,3.413,24.705,3.413,16.848,56.4,37.312,134.313,24.705,56.4
INST0159_N15_N09_D004,99.467,57.966,99.392,57.966,81.517,95.498,127.812,57.966,99.392,81.517,0.0,95.498,0.0,78.919,95.498,57.966,104.211,99.467,57.966,99.467,57.966,78.919,78.656,78.919,78.656,75.654,99.467,57.966,127.812,78.919,99.467
INST0159_N15_N09_P005,58.839,49.306,25.326,49.306,14.003,0.0,139.481,49.306,25.326,14.003,95.498,0.0,95.498,31.992,0.0,49.306,99.415,58.839,49.306,58.839,49.306,31.992,17.072,31.992,17.072,26.694,58.839,49.306,139.481,31.992,58.839
INST0159_N15_N09_D005,99.467,57.966,99.392,57.966,81.517,95.498,127.812,57.966,99.392,81.517,0.0,95.498,0.0,78.919,95.498,57.966,104.211,99.467,57.966,99.467,57.966,78.919,78.656,78.919,78.656,75.654,99.467,57.966,127.812,78.919,99.467
INST0159_N15_N09_P006,33.197,22.387,21.127,22.387,24.705,31.992,154.717,22.387,21.127,24.705,78.919,31.992,78.919,0.0,31.992,22.387,116.493,33.197,22.387,33.197,22.387,0.0,22.322,0.0,22.322,8.817,33.197,22.387,154.717,0.0,33.197
INST0159_N15_N09_D006,58.839,49.306,25.326,49.306,14.003,0.0,139.481,49.306,25.326,14.003,95.498,0.0,95.498,31.992,0.0,49.306,99.415,58.839,49.306,58.839,49.306,31.992,17.072,31.992,17.072,26.694,58.839,49.306,139.481,31.992,58.839
INST0159_N15_N09_P007,43.657,0.0,43.511,0.0,37.312,49.306,149.729,0.0,43.511,37.312,57.966,49.306,57.966,22.387,49.306,0.0,114.14,43.657,0.0,43.657,0.0,22.387,33.929,22.387,33.929,23.01,43.657,0.0,149.729,22.387,43.657
INST0159_N15_N09_D007,149.69,114.14,122.983,114.14,94.965,99.415,40.266,114.14,122.983,94.965,104.211,99.415,104.211,116.493,99.415,114.14,0.0,149.69,114.14,149.69,114.14,116.493,95.867,116.493,95.867,107.703,149.69,114.14,40.266,116.493,149.69
INST0159_N15_N09_P008,0.0,43.657,35.041,43.657,56.4,58.839,187.802,43.657,35.041,56.4,99.467,58.839,99.467,33.197,58.839,43.657,149.69,0.0,43.657,0.0,43.657,33.197,54.669,33.197,54.669,41.993,0.0,43.657,187.802,33.197,0.0
INST0159_N15_N09_D008,43.657,0.0,43.511,0.0,37.312,49.306,149.729,0.0,43.511,37.312,57.966,49.306,57.966,22.387,49.306,0.0,114.14,43.657,0.0,43.657,0.0,22.387,33.929,22.387,33.929,23.01,43.657,0.0,149.729,22.387,43.657
INST0159_N15_N09_P009,0.0,43.657,35.041,43.657,56.4,58.839,187.802,43.657,35.041,56.4,99.467,58.839,99.467,33.197,58.839,43.657,149.69,0.0,43.657,0.0,43.657,33.197,54.669,33.197,54.669,41.993,0.0,43.657,187.802,33.197,0.0
INST0159_N15_N09_D009,43.657,0.0,43.511,0.0,37.312,49.306,149.729,0.0,43.511,37.312,57.966,49.306,57.966,22.387,49.306,0.0,114.14,43.657,0.0,43.657,0.0,22.387,33.929,22.387,33.929,23.01,43.657,0.0,149.729,22.387,43.657
INST0159_N15_N09_P010,33.197,22.387,21.127,22.387,24.705,31.992,154.717,22.387,21.127,24.705,78.919,31.992,78.919,0.0,31.992,22.387,116.493,33.197,22.387,33.197,22.387,0.0,22.322,0.0,22.322,8.817,33.197,22.387,154.717,0.0,33.197
INST0159_N15_N09_D010,54.669,33.929,28.727,33.929,3.413,17.072,134.948,33.929,28.727,3.413,78.656,17.072,78.656,22.322,17.072,33.929,95.867,54.669,33.929,54.669,33.929,22.322,0.0,22.322,0.0,14.053,54.669,33.929,134.948,22.322,54.669
INST0159_N15_N09_P011,33.197,22.387,21.127,22.387,24.705,31.992,154.717,22.387,21.127,24.705,78.919,31.992,78.919,0.0,31.992,22.387,116.493,33.197,22.387,33.197,22.387,0.0,22.322,0.0,22.322,8.817,33.197,22.387,154.717,0.0,33.197
INST0159_N15_N09_D011,54.669,33.929,28.727,33.929,3.413,17.072,134.948,33.929,28.727,3.413,78.656,17.072,78.656,22.322,17.072,33.929,95.867,54.669,33.929,54.669,33.929,22.322,0.0,22.322,0.0,14.053,54.669,33.929,134.948,22.322,54.669
