,depot,INST0143_N12_S23_P000,INST0143_N12_S23_D000,INST0143_N12_S23_P001,INST0143_N12_S23_D001,INST0143_N12_S23_P002,INST0143_N12_S23_D002,INST0143_N12_S23_P003,INST0143_N12_S23_D003,INST0143_N12_S23_P004,INST0143_N12_S23_D004,INST0143_N12_S23_P005,INST0143_N12_S23_D005,INST0143_N12_S23_P006,INST0143_N12_S23_D006,INST0143_N12_S23_P007,INST0143_N12_S23_D007,INST0143_N12_S23_P008,INST0143_N12_S23_D008,INST0143_N12_S23_P009,INST0143_N12_S23_D009,INST0143_N12_S23_P010,INST0143_N12_S23_D010,INST0143_N12_S23_P011,INST0143_N12_S23_D011
depot,0.0,8.581,6.707,74.382,61.135,6.707,61.135,77.018,32.455,71.658,29.68,0.0,32.455,74.382,32.455,71.658,61.135,51.136,29.68,32.455,71.658,29.68,61.135,6.707,29.68
INST0143_N12_S23_P000,8.581,0.0,13.324,66.815,53.679,13.324,53.679,71.877,39.549,80.145,31.149,8.581,39.549,66.815,39.549,80.145,53.679,54.293,31.149,39.549,80.145,31.149,53.679,13.324,31.149
INST0143_N12_S23_D000,6.707,13.324,0.0,75.176,61.869,0.0,61.869,83.656,26.3,67.566,24.036,6.707,26.3,75.176,26.3,67.566,61.869,44.645,24.036,26.3,67.566,24.036,61.869,0.0,24.036
INST0143_N12_S23_P001,74.382,66.815,75.176,0.0,13.307,75.176,13.307,94.398,92.948,139.086,67.557,74.382,92.948,0.0,92.948,139.086,13.307,83.129,67.557,92.948,139.086,67.557,13.307,75.176,67.557
INST0143_N12_S23_D001,61.135,53.679,61.869,13.307,0.0,61.869,0.0,87.998,80.067,126.125,55.105,61.135,80.067,13.307,80.067,126.125,0.0,72.248,55.105,80.067,126.125,55.105,0.0,61.869,55.105
INST0143_N12_S23_P002,6.707,13.324,0.0,75.176,61.869,0.0,61.869,83.656,26.3,67.566,24.036,6.707,26.3,75.176,26.3,67.566,61.869,44.645,24.036,26.3,67.566,24.036,61.869,0.0,24.036
INST0143_N12_S23_D002,61.135,53.679,61.869,13.307,0.0,61.869,0.0,87.998,80.067,126.125,55.105,61.135,80.067,13.307,80.067,126.125,0.0,72.248,55.105,80.067,126.125,55.105,0.0,61.869,55.105
INST0143_N12_S23_P003,77.018,71.877,83.656,94.398,87.998,83.656,87.998,0.0,108.949,138.993,102.142,77.018,108.949,94.398,108.949,138.993,87.998,125.848,102.142,108.949,138.993,102.142,87.998,83.656,102.142
INST0143_N12_S23_D003,32.455,39.549,26.3,92.948,80.067,26.3,80.067,108.949,0.0,46.181,26.348,32.455,0.0,92.948,0.0,46.181,80.067,30.556,26.348,0.0,46.181,26.348,80.067,26.3,26.348
INST0143_N12_S23_P004,71.658,80.145,67.566,139.086,126.125,67.566,126.125,138.993,46.181,0.0,72.268,71.658,46.181,139.086,46.181,0.0,126.125,67.228,72.268,46.181,0.0,72.268,126.125,67.566,72.268
INST0143_N12_S23_D004,29.68,31.149,24.036,67.557,55.105,24.036,55.105,102.142,26.348,72.268,0.0,29.68,26.348,67.557,26.348,72.268,55.105,23.863,0.0,26.348,72.268,0.0,55.105,24.036,0.0
INST0143_N12_S23_P005,0.0,8.581,6.707,74.382,61.135,6.707,61.135,77.018,32.455,71.658,29.68,0.0,32.455,74.382,32.455,71.658,61.135,51.136,29.68,32.455,71.658,29.68,61.135,6.707,29.68
INST0143_N12_S23_D005,32.455,39.549,26.3,92.948,80.067,26.3,80.067,108.949,0.0,46.181,26.348,32.455,0.0,92.948,0.0,46.181,80.067,30.556,26.348,0.0,46.181,26.348,80.067,26.3,26.348
INST0143_N12_S23_P006,74.382,66.815,75.176,0.0,13.307,75.176,13.307,94.398,92.948,139.086,67.557,74.382,92.948,0.0,92.948,139.086,13.307,83.129,67.557,92.948,139.086,67.557,13.307,75.176,67.557
INST0143_N12_S23_D006,32.455,39.549,26.3,92.948,80.067,26.3,80.067,108.949,0.0,46.181,26.348,32.455,0.0,92.948,0.0,46.181,80.067,30.556,26.348,0.0,46.181,26.348,80.067,26.3,26.348
INST0143_N12_S23_P007,71.658,80.145,67.566,139.086,126.125,67.566,126.125,138.993,46.181,0.0,72.268,71.658,46.181,139.086,46.181,0.0,126.125,67.228,72.268,46.181,0.0,72.268,126.125,67.566,72.268
INST0143_N12_S23_D007,61.135,53.679,61.869,13.307,0.0,61.869,0.0,87.998,80.067,126.125,55.105,61.135,80.067,13.307,80.067,126.125,0.0,72.248,55.105,80.067,126.125,55.105,0.0,61.869,55.105
INST0143_N12_S23_P008,51.136,54.293,44.645,83.129,72.248,44.645,72.248,125.848,30.556,67.228,23.863,51.136,30.556,83.129,30.556,67.228,72.248,0.0,23.863,30.556,67.228,23.863,72.248,44.645,23.863
INST0143_N12_S23_D008,29.68,31.149,24.036,67.557,55.105,24.036,55.105,102.142,26.348,72.268,0.0,29.68,26.348,67.557,26.348,72.268,55.105,23.863,0.0,26.348,72.268,0.0,55.105,24.036,0.0
INST0143_N12_S23_P009,32.455,39.549,26.3,92.948,80.067,26.3,80.067,108.949,0.0,46.181,26.348,32.455,0.0,92.948,0.0,46.181,80.067,30.556,26.348,0.0,46.181,26.348,80.067,26.3,26.348
INST0143_N12_S23_D009,71.658,80.145,67.566,139.086,126.125,67.566,126.125,138.993,46.181,0.0,72.268,71.658,46.181,139.086,46.181,0.0,126.125,67.228,72.268,46.181,0.0,72.268,126.125,67.566,72.268
INST0143_N12_S23_P010,29.68,31.149,24.036,67.557,55.105,24.036,55.105,102.142,26.348,72.268,0.0,29.68,26.348,67.557,26.348,72.268,55.105,23.863,0.0,26.348,72.268,0.0,55.105,24.036,0.0
INST0143_N12_S23_D010,61.135,53.679,61.869,13.307,0.0,61.869,0.0,87.998,80.067,126.125,55.105,61.135,80.067,13.307,80.067,126.125,0.0,72.248,55.105,80.067,126.125,55.105,0.0,61.869,55.105
INST0143_N12_S23_P011,6.707,13.324,0.0,75.176,61.869,0.0,61.869,83.656,26.3,67.566,24.036,6.707,26.3,75.176,26.3,67.566,61.869,44.645,24.036,26.3,67.566,24.036,61.869,0.0,24.036
