,depot,INST0274_N25_W04_P000,INST0274_N25_W04_D000,INST0274_N25_W04_P001,INST0274_N25_W04_D001,INST0274_N25_W04_P002,INST0274_N25_W04_D002,INST0274_N25_W04_P003,INST0274_N25_W04_D003,INST0274_N25_W04_P004,INST0274_N25_W04_D004,INST0274_N25_W04_P005,INST0274_N25_W04_D005,INST0274_N25_W04_P006,INST0274_N25_W04_D006,INST0274_N25_W04_P007,INST0274_N25_W04_D007,INST0274_N25_W04_P008,INST0274_N25_W04_D008,INST0274_N25_W04_P009,INST0274_N25_W04_D009,INST0274_N25_W04_P010,INST0274_N25_W04_D010,INST0274_N25_W04_P011,INST0274_N25_W04_D011,INST0274_N25_W04_P012,INST0274_N25_W04_D012,INST0274_N25_W04_P013,INST0274_N25_W04_D013,INST0274_N25_W04_P014,INST0274_N25_W04_D014,INST0274_N25_W04_P015,INST0274_N25_W04_D015,INST0274_N25_W04_P016,INST0274_N25_W04_D016,INST0274_N25_W04_P017,INST0274_N25_W04_D017,INST0274_N25_W04_P018,INST0274_N25_W04_D018,INST0274_N25_W04_P019,INST0274_N25_W04_D019,INST0274_N25_W04_P020,INST0274_N25_W04_D020,INST0274_N25_W04_P021,INST0274_N25_W04_D021,INST0274_N25_W04_P022,INST0274_N25_W04_D022,INST0274_N25_W04_P023,INST0274_N25_W04_D023,INST0274_N25_W04_P024,INST0274_N25_W04_D024
depot,0.0,71.944,104.634,71.944,54.132,14.722,0.0,0.0,104.634,14.722,0.0,71.944,14.722,54.132,115.807,14.722,130.825,71.944,14.722,54.132,130.825,14.722,104.062,54.132,71.944,14.722,130.825,0.0,109.245,0.0,54.132,71.944,115.807,14.722,0.0,14.722,109.245,54.132,104.062,71.944,54.132,14.722,123.055,71.944,93.687,54.132,109.245,71.944,104.062,54.132,123.055
INST0274_N25_W04_P000,71.944,0.0,55.918,0.0,20.342,57.687,71.944,71.944,55.918,57.687,71.944,0.0,57.687,20.342,43.952,57.687,58.923,0.0,57.687,20.342,58.923,57.687,32.833,20.342,0.0,57.687,58.923,71.944,41.349,71.944,20.342,0.0,43.952,57.687,71.944,57.687,41.349,20.342,32.833,0.0,20.342,57.687,51.842,0.0,22.455,20.342,41.349,0.0,32.833,20.342,51.842
INST0274_N25_W04_D000,104.634,55.918,0.0,55.918,57.646,94.442,104.634,104.634,0.0,94.442,104.634,55.918,94.442,57.646,61.821,94.442,64.172,55.918,94.442,57.646,64.172,94.442,46.592,57.646,55.918,94.442,64.172,104.634,35.155,104.634,57.646,55.918,61.821,94.442,104.634,94.442,35.155,57.646,46.592,55.918,57.646,94.442,52.507,55.918,46.518,57.646,35.155,55.918,46.592,57.646,52.507
INST0274_N25_W04_P001,71.944,0.0,55.918,0.0,20.342,57.687,71.944,71.944,55.918,57.687,71.944,0.0,57.687,20.342,43.952,57.687,58.923,0.0,57.687,20.342,58.923,57.687,32.833,20.342,0.0,57.687,58.923,71.944,41.349,71.944,20.342,0.0,43.952,57.687,71.944,57.687,41.349,20.342,32.833,0.0,20.342,57.687,51.842,0.0,22.455,20.342,41.349,0.0,32.833,20.342,51.842
INST0274_N25_W04_D001,54.132,20.342,57.646,20.342,0.0,40.846,54.132,54.132,57.646,40.846,54.132,20.342,40.846,0.0,63.444,40.846,77.525,20.342,40.846,0.0,77.525,40.846,50.28,0.0,20.342,40.846,77.525,54.132,55.217,54.132,0.0,20.342,63.444,40.846,54.132,40.846,55.217,0.0,50.28,20.342,0.0,40.846,69.129,20.342,40.063,0.0,55.217,20.342,50.28,0.0,69.129
INST0274_N25_W04_P002,14.722,57.687,94.442,57.687,40.846,0.0,14.722,14.722,94.442,0.0,14.722,57.687,0.0,40.846,101.402,0.0,116.61,57.687,0.0,40.846,116.61,0.0,90.122,40.846,57.687,0.0,116.61,14.722,96.036,14.722,40.846,57.687,101.402,0.0,14.722,0.0,96.036,40.846,90.122,57.687,40.846,0.0,109.164,57.687,79.708,40.846,96.036,57.687,90.122,40.846,109.164
INST0274_N25_W04_D002,0.0,71.944,104.634,71.944,54.132,14.722,0.0,0.0,104.634,14.722,0.0,71.944,14.722,54.132,115.807,14.722,130.825,71.944,14.722,54.132,130.825,14.722,104.062,54.132,71.944,14.722,130.825,0.0,109.245,0.0,54.132,71.944,115.807,14.722,0.0,14.722,109.245,54.132,104.062,71.944,54.132,14.722,123.055,71.944,93.687,54.132,109.245,71.944,104.062,54.132,123.055
INST0274_N25_W04_P003,0.0,71.944,104.634,71.944,54.132,14.722,0.0,0.0,104.634,14.722,0.0,71.944,14.722,54.132,115.807,14.722,130.825,71.944,14.722,54.132,130.825,14.722,104.062,54.132,71.944,14.722,130.825,0.0,109.245,0.0,54.132,71.944,115.807,14.722,0.0,14.722,109.245,54.132,104.062,71.944,54.132,14.722,123.055,71.944,93.687,54.132,109.245,71.944,104.062,54.132,123.055
INST0274_N25_W04_D003,104.634,55.918,0.0,55.918,57.646,94.442,104.634,104.634,0.0,94.442,104.634,55.918,94.442,57.646,61.821,94.442,64.172,55.918,94.442,57.646,64.172,94.442,46.592,57.646,55.918,94.442,64.172,104.634,35.155,104.634,57.646,55.918,61.821,94.442,104.634,94.442,35.155,57.646,46.592,55.918,57.646,94.442,52.507,55.918,46.518,57.646,35.155,55.918,46.592,57.646,52.507
INST0274_N25_W04_P004,14.722,57.687,94.442,57.687,40.846,0.0,14.722,14.722,94.442,0.0,14.722,57.687,0.0,40.846,101.402,0.0,116.61,57.687,0.0,40.846,116.61,0.0,90.122,40.846,57.687,0.0,116.61,14.722,96.036,14.722,40.846,57.687,101.402,0.0,14.722,0.0,96.036,40.846,90.122,57.687,40.846,0.0,109.164,57.687,79.708,40.846,96.036,57.687,90.122,40.846,109.164
