,depot,INST0099_N10_N09_P000,INST0099_N10_N09_D000,INST0099_N10_N09_P001,INST0099_N10_N09_D001,INST0099_N10_N09_P002,INST0099_N10_N09_D002,INST0099_N10_N09_P003,INST0099_N10_N09_D003,INST0099_N10_N09_P004,INST0099_N10_N09_D004,INST0099_N10_N09_P005,INST0099_N10_N09_D005,INST0099_N10_N09_P006,INST0099_N10_N09_D006,INST0099_N10_N09_P007,INST0099_N10_N09_D007,INST0099_N10_N09_P008,INST0099_N10_N09_D008,INST0099_N10_N09_P009,INST0099_N10_N09_D009
depot,0.0,33.197,0.0,58.839,56.4,56.4,43.657,0.0,114.332,41.993,35.041,56.4,41.993,43.657,33.197,58.839,149.69,0.0,56.4,0.0,33.197
INST0099_N10_N09_P000,33.197,0.0,33.197,31.992,24.705,24.705,22.387,33.197,87.893,8.817,21.127,24.705,8.817,22.387,0.0,31.992,116.493,33.197,24.705,33.197,0.0
INST0099_N10_N09_D000,0.0,33.197,0.0,58.839,56.4,56.4,43.657,0.0,114.332,41.993,35.041,56.4,41.993,43.657,33.197,58.839,149.69,0.0,56.4,0.0,33.197
INST0099_N10_N09_P001,58.839,31.992,58.839,0.0,14.003,14.003,49.306,58.839,56.35,26.694,25.326,14.003,26.694,49.306,31.992,0.0,99.415,58.839,14.003,58.839,31.992
INST0099_N10_N09_D001,56.4,24.705,56.4,14.003,0.0,0.0,37.312,56.4,64.653,16.848,28.595,0.0,16.848,37.312,24.705,14.003,94.965,56.4,0.0,56.4,24.705
INST0099_N10_N09_P002,56.4,24.705,56.4,14.003,0.0,0.0,37.312,56.4,64.653,16.848,28.595,0.0,16.848,37.312,24.705,14.003,94.965,56.4,0.0,56.4,24.705
INST0099_N10_N09_D002,43.657,22.387,43.657,49.306,37.312,37.312,0.0,43.657,101.428,23.01,43.511,37.312,23.01,0.0,22.387,49.306,114.14,43.657,37.312,43.657,22.387
INST0099_N10_N09_P003,0.0,33.197,0.0,58.839,56.4,56.4,43.657,0.0,114.332,41.993,35.041,56.4,41.993,43.657,33.197,58.839,149.69,0.0,56.4,0.0,33.197
INST0099_N10_N09_D003,114.332,87.893,114.332,56.35,64.653,64.653,101.428,114.332,0.0,81.208,79.42,64.653,81.208,101.428,87.893,56.35,79.694,114.332,64.653,114.332,87.893
INST0099_N10_N09_P004,41.993,8.817,41.993,26.694,16.848,16.848,23.01,41.993,81.208,0.0,24.088,16.848,0.0,23.01,8.817,26.694,107.703,41.993,16.848,41.993,8.817
INST0099_N10_N09_D004,35.041,21.127,35.041,25.326,28.595,28.595,43.511,35.041,79.42,24.088,0.0,28.595,24.088,43.511,21.127,25.326,122.983,35.041,28.595,35.041,21.127
INST0099_N10_N09_P005,56.4,24.705,56.4,14.003,0.0,0.0,37.312,56.4,64.653,16.848,28.595,0.0,16.848,37.312,24.705,14.003,94.965,56.4,0.0,56.4,24.705
INST0099_N10_N09_D005,41.993,8.817,41.993,26.694,16.848,16.848,23.01,41.993,81.208,0.0,24.088,16.848,0.0,23.01,8.817,26.694,107.703,41.993,16.848,41.993,8.817
INST0099_N10_N09_P006,43.657,22.387,43.657,49.306,37.312,37.312,0.0,43.657,101.428,23.01,43.511,37.312,23.01,0.0,22.387,49.306,114.14,43.657,37.312,43.657,22.387
INST0099_N10_N09_D006,33.197,0.0,33.197,31.992,24.705,24.705,22.387,33.197,87.893,8.817,21.127,24.705,8.817,22.387,0.0,31.992,116.493,33.197,24.705,33.197,0.0
INST0099_N10_N09_P007,58.839,31.992,58.839,0.0,14.003,14.003,49.306,58.839,56.35,26.694,25.326,14.003,26.694,49.306,31.992,0.0,99.415,58.839,14.003,58.839,31.992
INST0099_N10_N09_D007,149.69,116.493,149.69,99.415,94.965,94.965,114.14,149.69,79.694,107.703,122.983,94.965,107.703,114.14,116.493,99.415,0.0,149.69,94.965,149.69,116.493
INST0099_N10_N09_P008,0.0,33.197,0.0,58.839,56.4,56.4,43.657,0.0,114.332,41.993,35.041,56.4,41.993,43.657,33.197,58.839,149.69,0.0,56.4,0.0,33.197
INST0099_N10_N09_D008,56.4,24.705,56.4,14.003,0.0,0.0,37.312,56.4,64.653,16.848,28.595,0.0,16.848,37.312,24.705,14.003,94.965,56.4,0.0,56.4,24.705
INST0099_N10_N09_P009,0.0,33.197,0.0,58.839,56.4,56.4,43.657,0.0,114.332,41.993,35.041,56.4,41.993,43.657,33.197,58.839,149.69,0.0,56.4,0.0,33.197
INST0099_N10_N09_D009,33.197,0.0,33.197,31.992,24.705,24.705,22.387,33.197,87.893,8.817,21.127,24.705,8.817,22.387,0.0,31.992,116.493,33.197,24.705,33.197,0.0
