,depot,INST0183_N18_N03_P000,INST0183_N18_N03_D000,INST0183_N18_N03_P001,INST0183_N18_N03_D001,INST0183_N18_N03_P002,INST0183_N18_N03_D002,INST0183_N18_N03_P003,INST0183_N18_N03_D003,INST0183_N18_N03_P004,INST0183_N18_N03_D004,INST0183_N18_N03_P005,INST0183_N18_N03_D005,INST0183_N18_N03_P006,INST0183_N18_N03_D006,INST0183_N18_N03_P007,INST0183_N18_N03_D007,INST0183_N18_N03_P008,INST0183_N18_N03_D008,INST0183_N18_N03_P009,INST0183_N18_N03_D009,INST0183_N18_N03_P010,INST0183_N18_N03_D010,INST0183_N18_N03_P011,INST0183_N18_N03_D011,INST0183_N18_N03_P012,INST0183_N18_N03_D012,INST0183_N18_N03_P013,INST0183_N18_N03_D013,INST0183_N18_N03_P014,INST0183_N18_N03_D014,INST0183_N18_N03_P015,INST0183_N18_N03_D015,INST0183_N18_N03_P016,INST0183_N18_N03_D016,INST0183_N18_N03_P017,INST0183_N18_N03_D017
depot,0.0,64.653,16.848,28.595,37.312,94.965,64.653,94.965,56.4,64.653,0.0,16.848,14.003,56.4,166.496,16.848,14.003,16.848,81.517,94.965,37.312,37.312,81.517,28.595,178.677,3.413,14.003,14.003,81.517,64.653,37.312,37.312,81.517,94.965,28.595,24.705,0.0
INST0183_N18_N03_P000,64.653,0.0,81.208,79.42,101.428,79.694,0.0,79.694,114.332,0.0,64.653,81.208,56.35,114.332,182.822,81.208,56.35,81.208,131.605,79.694,101.428,101.428,131.605,79.42,229.986,67.88,56.35,56.35,131.605,0.0,101.428,101.428,131.605,79.694,79.42,87.893,64.653
INST0183_N18_N03_D000,16.848,81.208,0.0,24.088,23.01,107.703,81.208,107.703,41.993,81.208,16.848,0.0,26.694,41.993,162.641,0.0,26.694,0.0,75.654,107.703,23.01,23.01,75.654,24.088,164.529,14.053,26.694,26.694,75.654,81.208,23.01,23.01,75.654,107.703,24.088,8.817,16.848
INST0183_N18_N03_P001,28.595,79.42,24.088,0.0,43.511,122.983,79.42,122.983,35.041,79.42,28.595,24.088,25.326,35.041,139.347,24.088,25.326,24.088,99.392,122.983,43.511,43.511,99.392,0.0,153.452,28.727,25.326,25.326,99.392,79.42,43.511,43.511,99.392,122.983,0.0,21.127,28.595
INST0183_N18_N03_D001,37.312,101.428,23.01,43.511,0.0,114.14,101.428,114.14,43.657,101.428,37.312,23.01,49.306,43.657,175.714,23.01,49.306,23.01,57.966,114.14,0.0,0.0,57.966,43.511,160.581,33.929,49.306,49.306,57.966,101.428,0.0,0.0,57.966,114.14,43.511,22.387,37.312
INST0183_N18_N03_P002,94.965,79.694,107.703,122.983,114.14,0.0,79.694,0.0,149.69,79.694,94.965,107.703,99.415,149.69,253.32,107.703,99.415,107.703,104.211,0.0,114.14,114.14,104.211,122.983,272.117,95.867,99.415,99.415,104.211,79.694,114.14,114.14,104.211,0.0,122.983,116.493,94.965
INST0183_N18_N03_D002,64.653,0.0,81.208,79.42,101.428,79.694,0.0,79.694,114.332,0.0,64.653,81.208,56.35,114.332,182.822,81.208,56.35,81.208,131.605,79.694,101.428,101.428,131.605,79.42,229.986,67.88,56.35,56.35,131.605,0.0,101.428,101.428,131.605,79.694,79.42,87.893,64.653
INST0183_N18_N03_P003,94.965,79.694,107.703,122.983,114.14,0.0,79.694,0.0,149.69,79.694,94.965,107.703,99.415,149.69,253.32,107.703,99.415,107.703,104.211,0.0,114.14,114.14,104.211,122.983,272.117,95.867,99.415,99.415,104.211,79.694,114.14,114.14,104.211,0.0,122.983,116.493,94.965
INST0183_N18_N03_D003,56.4,114.332,41.993,35.041,43.657,149.69,114.332,149.69,0.0,114.332,56.4,41.993,58.839,0.0,134.941,41.993,58.839,41.993,99.467,149.69,43.657,43.657,99.467,35.041,122.582,54.669,58.839,58.839,99.467,114.332,43.657,43.657,99.467,149.69,35.041,33.197,56.4
INST0183_N18_N03_P004,64.653,0.0,81.208,79.42,101.428,79.694,0.0,79.694,114.332,0.0,64.653,81.208,56.35,114.332,182.822,81.208,56.35,81.208,131.605,79.694,101.428,101.428,131.605,79.42,229.986,67.88,56.35,56.35,131.605,0.0,101.428,101.428,131.605,79.694,79.42,87.893,64.653
