,depot,INST0240_N22_N00_P000,INST0240_N22_N00_D000,INST0240_N22_N00_P001,INST0240_N22_N00_D001,INST0240_N22_N00_P002,INST0240_N22_N00_D002,INST0240_N22_N00_P003,INST0240_N22_N00_D003,INST0240_N22_N00_P004,INST0240_N22_N00_D004,INST0240_N22_N00_P005,INST0240_N22_N00_D005,INST0240_N22_N00_P006,INST0240_N22_N00_D006,INST0240_N22_N00_P007,INST0240_N22_N00_D007,INST0240_N22_N00_P008,INST0240_N22_N00_D008,INST0240_N22_N00_P009,INST0240_N22_N00_D009,INST0240_N22_N00_P010,INST0240_N22_N00_D010,INST0240_N22_N00_P011,INST0240_N22_N00_D011,INST0240_N22_N00_P012,INST0240_N22_N00_D012,INST0240_N22_N00_P013,INST0240_N22_N00_D013,INST0240_N22_N00_P014,INST0240_N22_N00_D014,INST0240_N22_N00_P015,INST0240_N22_N00_D015,INST0240_N22_N00_P016,INST0240_N22_N00_D016,INST0240_N22_N00_P017,INST0240_N22_N00_D017,INST0240_N22_N00_P018,INST0240_N22_N00_D018,INST0240_N22_N00_P019,INST0240_N22_N00_D019,INST0240_N22_N00_P020,INST0240_N22_N00_D020,INST0240_N22_N00_P021,INST0240_N22_N00_D021
depot,0.0,18.791,19.671,61.784,11.477,34.294,0.0,11.477,61.784,19.671,18.791,21.8,19.671,18.791,34.294,7.201,61.784,34.294,11.477,0.0,61.784,0.0,13.759,0.0,21.8,34.294,134.365,66.32,7.201,21.8,18.791,21.8,61.784,61.784,66.32,18.791,61.784,13.759,18.791,19.671,134.365,21.8,18.791,0.0,34.294
INST0240_N22_N00_P000,18.791,0.0,35.534,47.339,27.709,35.653,18.791,27.709,47.339,35.534,0.0,40.266,35.534,0.0,35.653,18.283,47.339,35.653,27.709,18.791,47.339,18.791,30.471,18.791,40.266,35.653,131.141,82.833,18.283,40.266,0.0,40.266,47.339,47.339,82.833,0.0,47.339,30.471,0.0,35.534,131.141,40.266,0.0,18.791,35.653
INST0240_N22_N00_D000,19.671,35.534,0.0,81.17,23.461,28.616,19.671,23.461,81.17,0.0,35.534,20.683,0.0,35.534,28.616,17.254,81.17,28.616,23.461,19.671,81.17,19.671,23.353,19.671,20.683,28.616,125.319,64.86,17.254,20.683,35.534,20.683,81.17,81.17,64.86,35.534,81.17,23.353,35.534,0.0,125.319,20.683,35.534,19.671,28.616
INST0240_N22_N00_P001,61.784,47.339,81.17,0.0,64.236,81.232,61.784,64.236,0.0,81.17,47.339,77.99,81.17,47.339,81.232,64.45,0.0,81.232,64.236,61.784,0.0,61.784,66.572,61.784,77.99,81.232,165.945,107.477,64.45,77.99,47.339,77.99,0.0,0.0,107.477,47.339,0.0,66.572,47.339,81.17,165.945,77.99,47.339,61.784,81.232
INST0240_N22_N00_D001,11.477,27.709,23.461,64.236,0.0,44.646,11.477,0.0,64.236,23.461,27.709,13.942,23.461,27.709,44.646,18.229,64.236,44.646,0.0,11.477,64.236,11.477,2.788,11.477,13.942,44.646,144.673,55.435,18.229,13.942,27.709,13.942,64.236,64.236,55.435,27.709,64.236,2.788,27.709,23.461,144.673,13.942,27.709,11.477,44.646
INST0240_N22_N00_P002,34.294,35.653,28.616,81.232,44.646,0.0,34.294,44.646,81.232,28.616,35.653,48.052,28.616,35.653,0.0,27.111,81.232,0.0,44.646,34.294,81.232,34.294,46.06,34.294,48.052,0.0,100.108,93.371,27.111,48.052,35.653,48.052,81.232,81.232,93.371,35.653,81.232,46.06,35.653,28.616,100.108,48.052,35.653,34.294,0.0
INST0240_N22_N00_D002,0.0,18.791,19.671,61.784,11.477,34.294,0.0,11.477,61.784,19.671,18.791,21.8,19.671,18.791,34.294,7.201,61.784,34.294,11.477,0.0,61.784,0.0,13.759,0.0,21.8,34.294,134.365,66.32,7.201,21.8,18.791,21.8,61.784,61.784,66.32,18.791,61.784,13.759,18.791,19.671,134.365,21.8,18.791,0.0,34.294
INST0240_N22_N00_P003,11.477,27.709,23.461,64.236,0.0,44.646,11.477,0.0,64.236,23.461,27.709,13.942,23.461,27.709,44.646,18.229,64.236,44.646,0.0,11.477,64.236,11.477,2.788,11.477,13.942,44.646,144.673,55.435,18.229,13.942,27.709,13.942,64.236,64.236,55.435,27.709,64.236,2.788,27.709,23.461,144.673,13.942,27.709,11.477,44.646
INST0240_N22_N00_D003,61.784,47.339,81.17,0.0,64.236,81.232,61.784,64.236,0.0,81.17,47.339,77.99,81.17,47.339,81.232,64.45,0.0,81.232,64.236,61.784,0.0,61.784,66.572,61.784,77.99,81.232,165.945,107.477,64.45,77.99,47.339,77.99,0.0,0.0,107.477,47.339,0.0,66.572,47.339,81.17,165.945,77.99,47.339,61.784,81.232
INST0240_N22_N00_P004,19.671,35.534,0.0,81.17,23.461,28.616,19.671,23.461,81.17,0.0,35.534,20.683,0.0,35.534,28.616,17.254,81.17,28.616,23.461,19.671,81.17,19.671,23.353,19.671,20.683,28.616,125.319,64.86,17.254,20.683,35.534,20.683,81.17,81.17,64.86,35.534,81.17,23.353,35.534,0.0,125.319,20.683,35.534,19.671,28.616
INST0240_N22_N00_D004,18.791,0.0,35.534,47.339,27.709,35.653,18.791,27.709,47.339,35.534,0.0,40.266,35.534,0.0,35.653,18.283,47.339,35.653,27.709,18.791,47.339,18.791,30.471,18.791,40.266,35.653,131.141,82.833,18.283,40.266,0.0,40.266,47.339,47.339,82.833,0.0,47.339,30.471,0.0,35.534,131.141,40.266,0.0,18.791,35.653
INST0240_N22_N00_P005,21.8,40.266,20.683,77.99,13.942,48.052,21.8,13.942,77.99,20.683,40.266,0.0,20.683,40.266,48.052,26.126,77.99,48.052,13.942,21.8,77.99,21.8,11.436,21.8,0.0,48.052,145.998,46.019,26.126,0.0,40.266,0.0,77.99,77.99,46.019,40.266,77.99,11.436,40.266,20.683,145.998,0.0,40.266,21.8,48.052
INST0240_N22_N00_D005,19.671,35.534,0.0,81.17,23.461,28.616,19.671,23.461,81.17,0.0,35.534,20.683,0.0,35.534,28.616,17.254,81.17,28.616,23.461,19.671,81.17,19.671,23.353,19.671,20.683,28.616,125.319,64.86,17.254,20.683,35.534,20.683,81.17,81.17,64.86,35.534,81.17,23.353,35.534,0.0,125.319,20.683,35.534,19.671,28.616
INST0240_N22_N00_P006,18.791,0.0,35.534,47.339,27.709,35.653,18.791,27.709,47.339,35.534,0.0,40.266,35.534,0.0,35.653,18.283,47.339,35.653,27.709,18.791,47.339,18.791,30.471,18.791,40.266,35.653,131.141,82.833,18.283,40.266,0.0,40.266,47.339,47.339,82.833,0.0,47.339,30.471,0.0,35.534,131.141,40.266,0.0,18.791,35.653
