,depot,INST0122_N12_S02_P000,INST0122_N12_S02_D000,INST0122_N12_S02_P001,INST0122_N12_S02_D001,INST0122_N12_S02_P002,INST0122_N12_S02_D002,INST0122_N12_S02_P003,INST0122_N12_S02_D003,INST0122_N12_S02_P004,INST0122_N12_S02_D004,INST0122_N12_S02_P005,INST0122_N12_S02_D005,INST0122_N12_S02_P006,INST0122_N12_S02_D006,INST0122_N12_S02_P007,INST0122_N12_S02_D007,INST0122_N12_S02_P008,INST0122_N12_S02_D008,INST0122_N12_S02_P009,INST0122_N12_S02_D009,INST0122_N12_S02_P010,INST0122_N12_S02_D010,INST0122_N12_S02_P011,INST0122_N12_S02_D011
depot,0.0,72.268,55.105,26.348,55.105,67.557,112.533,26.348,29.68,67.557,72.268,29.68,23.863,29.68,72.268,72.268,0.0,72.268,23.863,26.348,72.268,0.0,29.68,67.557,23.863
INST0122_N12_S02_P000,72.268,0.0,126.125,46.181,126.125,139.086,183.928,46.181,71.658,139.086,0.0,71.658,67.228,71.658,0.0,0.0,72.268,0.0,67.228,46.181,0.0,72.268,71.658,139.086,67.228
INST0122_N12_S02_D000,55.105,126.125,0.0,80.067,0.0,13.307,57.803,80.067,61.135,13.307,126.125,61.135,72.248,61.135,126.125,126.125,55.105,126.125,72.248,80.067,126.125,55.105,61.135,13.307,72.248
INST0122_N12_S02_P001,26.348,46.181,80.067,0.0,80.067,92.948,137.848,0.0,32.455,92.948,46.181,32.455,30.556,32.455,46.181,46.181,26.348,46.181,30.556,0.0,46.181,26.348,32.455,92.948,30.556
INST0122_N12_S02_D001,55.105,126.125,0.0,80.067,0.0,13.307,57.803,80.067,61.135,13.307,126.125,61.135,72.248,61.135,126.125,126.125,55.105,126.125,72.248,80.067,126.125,55.105,61.135,13.307,72.248
INST0122_N12_S02_P002,67.557,139.086,13.307,92.948,13.307,0.0,44.98,92.948,74.382,0.0,139.086,74.382,83.129,74.382,139.086,139.086,67.557,139.086,83.129,92.948,139.086,67.557,74.382,0.0,83.129
INST0122_N12_S02_D002,112.533,183.928,57.803,137.848,57.803,44.98,0.0,137.848,117.194,44.98,183.928,117.194,127.137,117.194,183.928,183.928,112.533,183.928,127.137,137.848,183.928,112.533,117.194,44.98,127.137
INST0122_N12_S02_P003,26.348,46.181,80.067,0.0,80.067,92.948,137.848,0.0,32.455,92.948,46.181,32.455,30.556,32.455,46.181,46.181,26.348,46.181,30.556,0.0,46.181,26.348,32.455,92.948,30.556
INST0122_N12_S02_D003,29.68,71.658,61.135,32.455,61.135,74.382,117.194,32.455,0.0,74.382,71.658,0.0,51.136,0.0,71.658,71.658,29.68,71.658,51.136,32.455,71.658,29.68,0.0,74.382,51.136
INST0122_N12_S02_P004,67.557,139.086,13.307,92.948,13.307,0.0,44.98,92.948,74.382,0.0,139.086,74.382,83.129,74.382,139.086,139.086,67.557,139.086,83.129,92.948,139.086,67.557,74.382,0.0,83.129
INST0122_N12_S02_D004,72.268,0.0,126.125,46.181,126.125,139.086,183.928,46.181,71.658,139.086,0.0,71.658,67.228,71.658,0.0,0.0,72.268,0.0,67.228,46.181,0.0,72.268,71.658,139.086,67.228
INST0122_N12_S02_P005,29.68,71.658,61.135,32.455,61.135,74.382,117.194,32.455,0.0,74.382,71.658,0.0,51.136,0.0,71.658,71.658,29.68,71.658,51.136,32.455,71.658,29.68,0.0,74.382,51.136
INST0122_N12_S02_D005,23.863,67.228,72.248,30.556,72.248,83.129,127.137,30.556,51.136,83.129,67.228,51.136,0.0,51.136,67.228,67.228,23.863,67.228,0.0,30.556,67.228,23.863,51.136,83.129,0.0
INST0122_N12_S02_P006,29.68,71.658,61.135,32.455,61.135,74.382,117.194,32.455,0.0,74.382,71.658,0.0,51.136,0.0,71.658,71.658,29.68,71.658,51.136,32.455,71.658,29.68,0.0,74.382,51.136
INST0122_N12_S02_D006,72.268,0.0,126.125,46.181,126.125,139.086,183.928,46.181,71.658,139.086,0.0,71.658,67.228,71.658,0.0,0.0,72.268,0.0,67.228,46.181,0.0,72.268,71.658,139.086,67.228
INST0122_N12_S02_P007,72.268,0.0,126.125,46.181,126.125,139.086,183.928,46.181,71.658,139.086,0.0,71.658,67.228,71.658,0.0,0.0,72.268,0.0,67.228,46.181,0.0,72.268,71.658,139.086,67.228
INST0122_N12_S02_D007,0.0,72.268,55.105,26.348,55.105,67.557,112.533,26.348,29.68,67.557,72.268,29.68,23.863,29.68,72.268,72.268,0.0,72.268,23.863,26.348,72.268,0.0,29.68,67.557,23.863
INST0122_N12_S02_P008,72.268,0.0,126.125,46.181,126.125,139.086,183.928,46.181,71.658,139.086,0.0,71.658,67.228,71.658,0.0,0.0,72.268,0.0,67.228,46.181,0.0,72.268,71.658,139.086,67.228
INST0122_N12_S02_D008,23.863,67.228,72.248,30.556,72.248,83.129,127.137,30.556,51.136,83.129,67.228,51.136,0.0,51.136,67.228,67.228,23.863,67.228,0.0,30.556,67.228,23.863,51.136,83.129,0.0
INST0122_N12_S02_P009,26.348,46.181,80.067,0.0,80.067,92.948,137.848,0.0,32.455,92.948,46.181,32.455,30.556,32.455,46.181,46.181,26.348,46.181,30.556,0.0,46.181,26.348,32.455,92.948,30.556
INST0122_N12_S02_D009,72.268,0.0,126.125,46.181,126.125,139.086,183.928,46.181,71.658,139.086,0.0,71.658,67.228,71.658,0.0,0.0,72.268,0.0,67.228,46.181,0.0,72.268,71.658,139.086,67.228
INST0122_N12_S02_P010,0.0,72.268,55.105,26.348,55.105,67.557,112.533,26.348,29.68,67.557,72.268,29.68,23.863,29.68,72.268,72.268,0.0,72.268,23.863,26.348,72.268,0.0,29.68,67.557,23.863
INST0122_N12_S02_D010,29.68,71.658,61.135,32.455,61.135,74.382,117.194,32.455,0.0,74.382,71.658,0.0,51.136,0.0,71.658,71.658,29.68,71.658,51.136,32.455,71.658,29.68,0.0,74.382,51.136
INST0122_N12_S02_P011,67.557,139.086,13.307,92.948,13.307,0.0,44.98,92.948,74.382,0.0,139.086,74.382,83.129,74.382,139.086,139.086,67.557,139.086,83.129,92.948,139.086,67.557,74.382,0.0,83.129
INST0122_N12_S02_D011,23.863,67.228,72.248,30.556,72.248,83.129,127.137,30.556,51.136,83.129,67.228,51.136,0.0,51.136,67.228,67.228,23.863,67.228,0.0,30.556,67.228,23.863,51.136,83.129,0.0
