,depot,INST0296_N25_S26_P000,INST0296_N25_S26_D000,INST0296_N25_S26_P001,INST0296_N25_S26_D001,INST0296_N25_S26_P002,INST0296_N25_S26_D002,INST0296_N25_S26_P003,INST0296_N25_S26_D003,INST0296_N25_S26_P004,INST0296_N25_S26_D004,INST0296_N25_S26_P005,INST0296_N25_S26_D005,INST0296_N25_S26_P006,INST0296_N25_S26_D006,INST0296_N25_S26_P007,INST0296_N25_S26_D007,INST0296_N25_S26_P008,INST0296_N25_S26_D008,INST0296_N25_S26_P009,INST0296_N25_S26_D009,INST0296_N25_S26_P010,INST0296_N25_S26_D010,INST0296_N25_S26_P011,INST0296_N25_S26_D011,INST0296_N25_S26_P012,INST0296_N25_S26_D012,INST0296_N25_S26_P013,INST0296_N25_S26_D013,INST0296_N25_S26_P014,INST0296_N25_S26_D014,INST0296_N25_S26_P015,INST0296_N25_S26_D015,INST0296_N25_S26_P016,INST0296_N25_S26_D016,INST0296_N25_S26_P017,INST0296_N25_S26_D017,INST0296_N25_S26_P018,INST0296_N25_S26_D018,INST0296_N25_S26_P019,INST0296_N25_S26_D019,INST0296_N25_S26_P020,INST0296_N25_S26_D020,INST0296_N25_S26_P021,INST0296_N25_S26_D021,INST0296_N25_S26_P022,INST0296_N25_S26_D022,INST0296_N25_S26_P023,INST0296_N25_S26_D023,INST0296_N25_S26_P024,INST0296_N25_S26_D024
depot,0.0,0.0,26.505,32.298,65.388,24.954,65.388,21.517,0.0,65.388,32.298,0.0,21.517,26.505,24.954,32.298,0.0,75.908,65.388,32.298,112.576,32.298,145.321,26.505,145.321,26.505,65.388,26.505,37.715,0.0,24.954,75.908,88.975,37.715,24.954,32.298,24.954,32.298,21.517,24.954,75.908,21.478,65.388,24.954,112.576,26.505,65.388,24.954,65.388,37.715,32.298
INST0296_N25_S26_P000,0.0,0.0,26.505,32.298,65.388,24.954,65.388,21.517,0.0,65.388,32.298,0.0,21.517,26.505,24.954,32.298,0.0,75.908,65.388,32.298,112.576,32.298,145.321,26.505,145.321,26.505,65.388,26.505,37.715,0.0,24.954,75.908,88.975,37.715,24.954,32.298,24.954,32.298,21.517,24.954,75.908,21.478,65.388,24.954,112.576,26.505,65.388,24.954,65.388,37.715,32.298
INST0296_N25_S26_D000,26.505,26.505,0.0,7.008,49.927,41.761,49.927,24.239,26.505,49.927,7.008,26.505,24.239,0.0,41.761,7.008,26.505,60.745,49.927,7.008,95.708,7.008,129.526,0.0,129.526,0.0,49.927,0.0,58.521,26.505,41.761,60.745,62.898,58.521,41.761,7.008,41.761,7.008,24.239,41.761,60.745,5.477,49.927,41.761,95.708,0.0,49.927,41.761,49.927,58.521,7.008
INST0296_N25_S26_P001,32.298,32.298,7.008,0.0,43.838,44.339,43.838,25.439,32.298,43.838,0.0,32.298,25.439,7.008,44.339,0.0,32.298,54.565,43.838,0.0,89.072,0.0,122.952,7.008,122.952,7.008,43.838,7.008,65.452,32.298,44.339,54.565,58.699,65.452,44.339,0.0,44.339,0.0,25.439,44.339,54.565,10.881,43.838,44.339,89.072,7.008,43.838,44.339,43.838,65.452,0.0
INST0296_N25_S26_D001,65.388,65.388,49.927,43.838,0.0,59.003,0.0,45.002,65.388,0.0,43.838,65.388,45.002,49.927,59.003,43.838,65.388,10.867,0.0,43.838,47.206,43.838,80.368,49.927,80.368,49.927,0.0,49.927,103.002,65.388,59.003,10.867,71.865,103.002,59.003,43.838,59.003,43.838,45.002,59.003,10.867,50.526,0.0,59.003,47.206,49.927,0.0,59.003,0.0,103.002,43.838
INST0296_N25_S26_P002,24.954,24.954,41.761,44.339,59.003,0.0,59.003,19.488,24.954,59.003,44.339,24.954,19.488,41.761,0.0,44.339,24.954,67.889,59.003,44.339,103.829,44.339,134.327,41.761,134.327,41.761,59.003,41.761,54.903,24.954,0.0,67.889,102.776,54.903,0.0,44.339,0.0,44.339,19.488,0.0,67.889,36.46,59.003,0.0,103.829,41.761,59.003,0.0,59.003,54.903,44.339
INST0296_N25_S26_D002,65.388,65.388,49.927,43.838,0.0,59.003,0.0,45.002,65.388,0.0,43.838,65.388,45.002,49.927,59.003,43.838,65.388,10.867,0.0,43.838,47.206,43.838,80.368,49.927,80.368,49.927,0.0,49.927,103.002,65.388,59.003,10.867,71.865,103.002,59.003,43.838,59.003,43.838,45.002,59.003,10.867,50.526,0.0,59.003,47.206,49.927,0.0,59.003,0.0,103.002,43.838
INST0296_N25_S26_P003,21.517,21.517,24.239,25.439,45.002,19.488,45.002,0.0,21.517,45.002,25.439,21.517,0.0,24.239,19.488,25.439,21.517,55.171,45.002,25.439,91.902,25.439,124.222,24.239,124.222,24.239,45.002,24.239,59.019,21.517,19.488,55.171,83.416,59.019,19.488,25.439,19.488,25.439,0.0,19.488,55.171,19.629,45.002,19.488,91.902,24.239,45.002,19.488,45.002,59.019,25.439
INST0296_N25_S26_D003,0.0,0.0,26.505,32.298,65.388,24.954,65.388,21.517,0.0,65.388,32.298,0.0,21.517,26.505,24.954,32.298,0.0,75.908,65.388,32.298,112.576,32.298,145.321,26.505,145.321,26.505,65.388,26.505,37.715,0.0,24.954,75.908,88.975,37.715,24.954,32.298,24.954,32.298,21.517,24.954,75.908,21.478,65.388,24.954,112.576,26.505,65.388,24.954,65.388,37.715,32.298
INST0296_N25_S26_P004,65.388,65.388,49.927,43.838,0.0,59.003,0.0,45.002,65.388,0.0,43.838,65.388,45.002,49.927,59.003,43.838,65.388,10.867,0.0,43.838,47.206,43.838,80.368,49.927,80.368,49.927,0.0,49.927,103.002,65.388,59.003,10.867,71.865,103.002,59.003,43.838,59.003,43.838,45.002,59.003,10.867,50.526,0.0,59.003,47.206,49.927,0.0,59.003,0.0,103.002,43.838
