,depot,INST0112_N10_W22_P000,INST0112_N10_W22_D000,INST0112_N10_W22_P001,INST0112_N10_W22_D001,INST0112_N10_W22_P002,INST0112_N10_W22_D002,INST0112_N10_W22_P003,INST0112_N10_W22_D003,INST0112_N10_W22_P004,INST0112_N10_W22_D004,INST0112_N10_W22_P005,INST0112_N10_W22_D005,INST0112_N10_W22_P006,INST0112_N10_W22_D006,INST0112_N10_W22_P007,INST0112_N10_W22_D007,INST0112_N10_W22_P008,INST0112_N10_W22_D008,INST0112_N10_W22_P009,INST0112_N10_W22_D009
depot,0.0,16.35,24.4,63.444,14.239,0.0,16.399,0.0,61.821,16.791,63.444,61.821,26.872,63.444,24.4,0.0,14.239,26.872,24.4,16.35,26.872
INST0112_N10_W22_P000,16.35,0.0,29.48,69.129,28.769,16.35,11.735,16.35,52.507,19.054,69.129,52.507,18.744,69.129,29.48,16.35,28.769,18.744,29.48,0.0,18.744
INST0112_N10_W22_D000,24.4,29.48,0.0,40.063,35.196,24.4,37.477,24.4,46.518,10.426,40.063,46.518,20.581,40.063,0.0,24.4,35.196,20.581,0.0,29.48,20.581
INST0112_N10_W22_P001,63.444,69.129,40.063,0.0,70.903,63.444,77.525,63.444,57.646,50.28,0.0,57.646,55.217,0.0,40.063,63.444,70.903,55.217,40.063,69.129,55.217
INST0112_N10_W22_D001,14.239,28.769,35.196,70.903,0.0,14.239,23.199,14.239,75.918,29.954,70.903,75.918,41.092,70.903,35.196,14.239,0.0,41.092,35.196,28.769,41.092
INST0112_N10_W22_P002,0.0,16.35,24.4,63.444,14.239,0.0,16.399,0.0,61.821,16.791,63.444,61.821,26.872,63.444,24.4,0.0,14.239,26.872,24.4,16.35,26.872
INST0112_N10_W22_D002,16.399,11.735,37.477,77.525,23.199,16.399,0.0,16.399,64.172,27.544,77.525,64.172,30.344,77.525,37.477,16.399,23.199,30.344,37.477,11.735,30.344
INST0112_N10_W22_P003,0.0,16.35,24.4,63.444,14.239,0.0,16.399,0.0,61.821,16.791,63.444,61.821,26.872,63.444,24.4,0.0,14.239,26.872,24.4,16.35,26.872
INST0112_N10_W22_D003,61.821,52.507,46.518,57.646,75.918,61.821,64.172,61.821,0.0,46.592,57.646,0.0,35.155,57.646,46.518,61.821,75.918,35.155,46.518,52.507,35.155
INST0112_N10_W22_P004,16.791,19.054,10.426,50.28,29.954,16.791,27.544,16.791,46.592,0.0,50.28,46.592,14.077,50.28,10.426,16.791,29.954,14.077,10.426,19.054,14.077
INST0112_N10_W22_D004,63.444,69.129,40.063,0.0,70.903,63.444,77.525,63.444,57.646,50.28,0.0,57.646,55.217,0.0,40.063,63.444,70.903,55.217,40.063,69.129,55.217
INST0112_N10_W22_P005,61.821,52.507,46.518,57.646,75.918,61.821,64.172,61.821,0.0,46.592,57.646,0.0,35.155,57.646,46.518,61.821,75.918,35.155,46.518,52.507,35.155
INST0112_N10_W22_D005,26.872,18.744,20.581,55.217,41.092,26.872,30.344,26.872,35.155,14.077,55.217,35.155,0.0,55.217,20.581,26.872,41.092,0.0,20.581,18.744,0.0
INST0112_N10_W22_P006,63.444,69.129,40.063,0.0,70.903,63.444,77.525,63.444,57.646,50.28,0.0,57.646,55.217,0.0,40.063,63.444,70.903,55.217,40.063,69.129,55.217
INST0112_N10_W22_D006,24.4,29.48,0.0,40.063,35.196,24.4,37.477,24.4,46.518,10.426,40.063,46.518,20.581,40.063,0.0,24.4,35.196,20.581,0.0,29.48,20.581
INST0112_N10_W22_P007,0.0,16.35,24.4,63.444,14.239,0.0,16.399,0.0,61.821,16.791,63.444,61.821,26.872,63.444,24.4,0.0,14.239,26.872,24.4,16.35,26.872
INST0112_N10_W22_D007,14.239,28.769,35.196,70.903,0.0,14.239,23.199,14.239,75.918,29.954,70.903,75.918,41.092,70.903,35.196,14.239,0.0,41.092,35.196,28.769,41.092
INST0112_N10_W22_P008,26.872,18.744,20.581,55.217,41.092,26.872,30.344,26.872,35.155,14.077,55.217,35.155,0.0,55.217,20.581,26.872,41.092,0.0,20.581,18.744,0.0
INST0112_N10_W22_D008,24.4,29.48,0.0,40.063,35.196,24.4,37.477,24.4,46.518,10.426,40.063,46.518,20.581,40.063,0.0,24.4,35.196,20.581,0.0,29.48,20.581
INST0112_N10_W22_P009,16.35,0.0,29.48,69.129,28.769,16.35,11.735,16.35,52.507,19.054,69.129,52.507,18.744,69.129,29.48,16.35,28.769,18.744,29.48,0.0,18.744
INST0112_N10_W22_D009,26.872,18.744,20.581,55.217,41.092,26.872,30.344,26.872,35.155,14.077,55.217,35.155,0.0,55.217,20.581,26.872,41.092,0.0,20.581,18.744,0.0
