,depot,INST0030_N5_N00_P000,INST0030_N5_N00_D000,INST0030_N5_N00_P001,INST0030_N5_N00_D001,INST0030_N5_N00_P002,INST0030_N5_N00_D002,INST0030_N5_N00_P003,INST0030_N5_N00_D003,INST0030_N5_N00_P004,INST0030_N5_N00_D004
depot,0.0,24.088,75.654,23.01,41.993,81.208,0.0,14.053,107.703,26.694,107.703
INST0030_N5_N00_P000,24.088,0.0,99.392,43.511,35.041,79.42,24.088,28.727,122.983,25.326,122.983
INST0030_N5_N00_D000,75.654,99.392,0.0,57.966,99.467,131.605,75.654,78.656,104.211,95.498,104.211
INST0030_N5_N00_P001,23.01,43.511,57.966,0.0,43.657,101.428,23.01,33.929,114.14,49.306,114.14
INST0030_N5_N00_D001,41.993,35.041,99.467,43.657,0.0,114.332,41.993,54.669,149.69,58.839,149.69
INST0030_N5_N00_P002,81.208,79.42,131.605,101.428,114.332,0.0,81.208,67.88,79.694,56.35,79.694
INST0030_N5_N00_D002,0.0,24.088,75.654,23.01,41.993,81.208,0.0,14.053,107.703,26.694,107.703
INST0030_N5_N00_P003,14.053,28.727,78.656,33.929,54.669,67.88,14.053,0.0,95.867,17.072,95.867
INST0030_N5_N00_D003,107.703,122.983,104.211,114.14,149.69,79.694,107.703,95.867,0.0,99.415,0.0
INST0030_N5_N00_P004,26.694,25.326,95.498,49.306,58.839,56.35,26.694,17.072,99.415,0.0,99.415
INST0030_N5_N00_D004,107.703,122.983,104.211,114.14,149.69,79.694,107.703,95.867,0.0,99.415,0.0
