,depot,INST0055_N5_W25_P000,INST0055_N5_W25_D000,INST0055_N5_W25_P001,INST0055_N5_W25_D001,INST0055_N5_W25_P002,INST0055_N5_W25_D002,INST0055_N5_W25_P003,INST0055_N5_W25_D003,INST0055_N5_W25_P004,INST0055_N5_W25_D004
depot,0.0,69.129,18.744,18.744,123.055,16.35,29.48,11.735,16.35,11.735,69.129
INST0055_N5_W25_P000,69.129,0.0,55.217,55.217,54.132,63.444,40.063,77.525,63.444,77.525,0.0
INST0055_N5_W25_D000,18.744,55.217,0.0,0.0,109.245,26.872,20.581,30.344,26.872,30.344,55.217
INST0055_N5_W25_P001,18.744,55.217,0.0,0.0,109.245,26.872,20.581,30.344,26.872,30.344,55.217
INST0055_N5_W25_D001,123.055,54.132,109.245,109.245,0.0,115.807,93.687,130.825,115.807,130.825,54.132
INST0055_N5_W25_P002,16.35,63.444,26.872,26.872,115.807,0.0,24.4,16.399,0.0,16.399,63.444
INST0055_N5_W25_D002,29.48,40.063,20.581,20.581,93.687,24.4,0.0,37.477,24.4,37.477,40.063
INST0055_N5_W25_P003,11.735,77.525,30.344,30.344,130.825,16.399,37.477,0.0,16.399,0.0,77.525
INST0055_N5_W25_D003,16.35,63.444,26.872,26.872,115.807,0.0,24.4,16.399,0.0,16.399,63.444
INST0055_N5_W25_P004,11.735,77.525,30.344,30.344,130.825,16.399,37.477,0.0,16.399,0.0,77.525
INST0055_N5_W25_D004,69.129,0.0,55.217,55.217,54.132,63.444,40.063,77.525,63.444,77.525,0.0
