,depot,INST0046_N5_W16_P000,INST0046_N5_W16_D000,INST0046_N5_W16_P001,INST0046_N5_W16_D001,INST0046_N5_W16_P002,INST0046_N5_W16_D002,INST0046_N5_W16_P003,INST0046_N5_W16_D003,INST0046_N5_W16_P004,INST0046_N5_W16_D004
depot,0.0,17.238,117.595,50.317,50.631,32.905,17.238,17.238,50.317,22.951,117.595
INST0046_N5_W16_P000,17.238,0.0,110.354,36.679,40.204,20.56,0.0,0.0,36.679,23.331,110.354
INST0046_N5_W16_D000,117.595,110.354,0.0,129.907,70.637,124.166,110.354,110.354,129.907,133.671,0.0
INST0046_N5_W16_P001,50.317,36.679,129.907,0.0,61.972,17.435,36.679,36.679,0.0,35.228,129.907
INST0046_N5_W16_D001,50.631,40.204,70.637,61.972,0.0,53.818,40.204,40.204,61.972,63.48,70.637
INST0046_N5_W16_P002,32.905,20.56,124.166,17.435,53.818,0.0,20.56,20.56,17.435,20.02,124.166
INST0046_N5_W16_D002,17.238,0.0,110.354,36.679,40.204,20.56,0.0,0.0,36.679,23.331,110.354
INST0046_N5_W16_P003,17.238,0.0,110.354,36.679,40.204,20.56,0.0,0.0,36.679,23.331,110.354
INST0046_N5_W16_D003,50.317,36.679,129.907,0.0,61.972,17.435,36.679,36.679,0.0,35.228,129.907
INST0046_N5_W16_P004,22.951,23.331,133.671,35.228,63.48,20.02,23.331,23.331,35.228,0.0,133.671
INST0046_N5_W16_D004,117.595,110.354,0.0,129.907,70.637,124.166,110.354,110.354,129.907,133.671,0.0
