,depot,INST0216_N20_N06_P000,INST0216_N20_N06_D000,INST0216_N20_N06_P001,INST0216_N20_N06_D001,INST0216_N20_N06_P002,INST0216_N20_N06_D002,INST0216_N20_N06_P003,INST0216_N20_N06_D003,INST0216_N20_N06_P004,INST0216_N20_N06_D004,INST0216_N20_N06_P005,INST0216_N20_N06_D005,INST0216_N20_N06_P006,INST0216_N20_N06_D006,INST0216_N20_N06_P007,INST0216_N20_N06_D007,INST0216_N20_N06_P008,INST0216_N20_N06_D008,INST0216_N20_N06_P009,INST0216_N20_N06_D009,INST0216_N20_N06_P010,INST0216_N20_N06_D010,INST0216_N20_N06_P011,INST0216_N20_N06_D011,INST0216_N20_N06_P012,INST0216_N20_N06_D012,INST0216_N20_N06_P013,INST0216_N20_N06_D013,INST0216_N20_N06_P014,INST0216_N20_N06_D014,INST0216_N20_N06_P015,INST0216_N20_N06_D015,INST0216_N20_N06_P016,INST0216_N20_N06_D016,INST0216_N20_N06_P017,INST0216_N20_N06_D017,INST0216_N20_N06_P018,INST0216_N20_N06_D018,INST0216_N20_N06_P019,INST0216_N20_N06_D019
depot,0.0,17.254,23.353,19.671,0.0,35.534,132.815,20.683,64.86,19.671,23.461,23.353,0.0,23.353,0.0,19.671,23.353,0.0,28.616,17.254,0.0,19.671,0.0,35.534,17.254,23.461,132.815,20.683,100.436,64.86,23.461,17.254,64.86,23.461,100.436,23.353,20.683,35.534,23.461,19.671,28.616
INST0216_N20_N06_P000,17.254,0.0,20.176,7.201,17.254,18.283,126.352,26.126,71.779,7.201,18.229,20.176,17.254,20.176,17.254,7.201,20.176,17.254,27.111,0.0,17.254,7.201,17.254,18.283,0.0,18.229,126.352,26.126,95.136,71.779,18.229,0.0,71.779,18.229,95.136,20.176,26.126,18.283,18.229,7.201,27.111
INST0216_N20_N06_D000,23.353,20.176,0.0,13.759,23.353,30.471,109.689,11.436,52.8,13.759,2.788,0.0,23.353,0.0,23.353,13.759,0.0,23.353,46.06,20.176,23.353,13.759,23.353,30.471,20.176,2.788,109.689,11.436,77.555,52.8,2.788,20.176,52.8,2.788,77.555,0.0,11.436,30.471,2.788,13.759,46.06
INST0216_N20_N06_P001,19.671,7.201,13.759,0.0,19.671,18.791,119.262,21.8,66.32,0.0,11.477,13.759,19.671,13.759,19.671,0.0,13.759,19.671,34.294,7.201,19.671,0.0,19.671,18.791,7.201,11.477,119.262,21.8,87.958,66.32,11.477,7.201,66.32,11.477,87.958,13.759,21.8,18.791,11.477,0.0,34.294
INST0216_N20_N06_D001,0.0,17.254,23.353,19.671,0.0,35.534,132.815,20.683,64.86,19.671,23.461,23.353,0.0,23.353,0.0,19.671,23.353,0.0,28.616,17.254,0.0,19.671,0.0,35.534,17.254,23.461,132.815,20.683,100.436,64.86,23.461,17.254,64.86,23.461,100.436,23.353,20.683,35.534,23.461,19.671,28.616
INST0216_N20_N06_P002,35.534,18.283,30.471,18.791,35.534,0.0,122.278,40.266,82.833,18.791,27.709,30.471,35.534,30.471,35.534,18.791,30.471,35.534,35.653,18.283,35.534,18.791,35.534,0.0,18.283,27.709,122.278,40.266,93.214,82.833,27.709,18.283,82.833,27.709,93.214,30.471,40.266,0.0,27.709,18.791,35.653
INST0216_N20_N06_D002,132.815,126.352,109.689,119.262,132.815,122.278,0.0,113.909,95.428,119.262,110.207,109.689,132.815,109.689,132.815,119.262,109.689,132.815,153.371,126.352,132.815,119.262,132.815,122.278,126.352,110.207,0.0,113.909,32.884,95.428,110.207,126.352,95.428,110.207,32.884,109.689,113.909,122.278,110.207,119.262,153.371
INST0216_N20_N06_P003,20.683,26.126,11.436,21.8,20.683,40.266,113.909,0.0,46.019,21.8,13.942,11.436,20.683,11.436,20.683,21.8,11.436,20.683,48.052,26.126,20.683,21.8,20.683,40.266,26.126,13.942,113.909,0.0,81.189,46.019,13.942,26.126,46.019,13.942,81.189,11.436,0.0,40.266,13.942,21.8,48.052
INST0216_N20_N06_D003,64.86,71.779,52.8,66.32,64.86,82.833,95.428,46.019,0.0,66.32,55.435,52.8,64.86,52.8,64.86,66.32,52.8,64.86,93.371,71.779,64.86,66.32,64.86,82.833,71.779,55.435,95.428,46.019,65.084,0.0,55.435,71.779,0.0,55.435,65.084,52.8,46.019,82.833,55.435,66.32,93.371
INST0216_N20_N06_P004,19.671,7.201,13.759,0.0,19.671,18.791,119.262,21.8,66.32,0.0,11.477,13.759,19.671,13.759,19.671,0.0,13.759,19.671,34.294,7.201,19.671,0.0,19.671,18.791,7.201,11.477,119.262,21.8,87.958,66.32,11.477,7.201,66.32,11.477,87.958,13.759,21.8,18.791,11.477,0.0,34.294
INST0216_N20_N06_D004,23.461,18.229,2.788,11.477,23.461,27.709,110.207,13.942,55.435,11.477,0.0,2.788,23.461,2.788,23.461,11.477,2.788,23.461,44.646,18.229,23.461,11.477,23.461,27.709,18.229,0.0,110.207,13.942,78.292,55.435,0.0,18.229,55.435,0.0,78.292,2.788,13.942,27.709,0.0,11.477,44.646
INST0216_N20_N06_P005,23.353,20.176,0.0,13.759,23.353,30.471,109.689,11.436,52.8,13.759,2.788,0.0,23.353,0.0,23.353,13.759,0.0,23.353,46.06,20.176,23.353,13.759,23.353,30.471,20.176,2.788,109.689,11.436,77.555,52.8,2.788,20.176,52.8,2.788,77.555,0.0,11.436,30.471,2.788,13.759,46.06
INST0216_N20_N06_D005,0.0,17.254,23.353,19.671,0.0,35.534,132.815,20.683,64.86,19.671,23.461,23.353,0.0,23.353,0.0,19.671,23.353,0.0,28.616,17.254,0.0,19.671,0.0,35.534,17.254,23.461,132.815,20.683,100.436,64.86,23.461,17.254,64.86,23.461,100.436,23.353,20.683,35.534,23.461,19.671,28.616
INST0216_N20_N06_P006,23.353,20.176,0.0,13.759,23.353,30.471,109.689,11.436,52.8,13.759,2.788,0.0,23.353,0.0,23.353,13.759,0.0,23.353,46.06,20.176,23.353,13.759,23.353,30.471,20.176,2.788,109.689,11.436,77.555,52.8,2.788,20.176,52.8,2.788,77.555,0.0,11.436,30.471,2.788,13.759,46.06
INST0216_N20_N06_D006,0.0,17.254,23.353,19.671,0.0,35.534,132.815,20.683,64.86,19.671,23.461,23.353,0.0,23.353,0.0,19.671,23.353,0.0,28.616,17.254,0.0,19.671,0.0,35.534,17.254,23.461,132.815,20.683,100.436,64.86,23.461,17.254,64.86,23.461,100.436,23.353,20.683,35.534,23.461,19.671,28.616
INST0216_N20_N06_P007,19.671,7.201,13.759,0.0,19.671,18.791,119.262,21.8,66.32,0.0,11.477,13.759,19.671,13.759,19.671,0.0,13.759,19.671,34.294,7.201,19.671,0.0,19.671,18.791,7.201,11.477,119.262,21.8,87.958,66.32,11.477,7.201,66.32,11.477,87.958,13.759,21.8,18.791,11.477,0.0,34.294
INST0216_N20_N06_D007,23.353,20.176,0.0,13.759,23.353,30.471,109.689,11.436,52.8,13.759,2.788,0.0,23.353,0.0,23.353,13.759,0.0,23.353,46.06,20.176,23.353,13.759,23.353,30.471,20.176,2.788,109.689,11.436,77.555,52.8,2.788,20.176,52.8,2.788,77.555,0.0,11.436,30.471,2.788,13.759,46.06
INST0216_N20_N06_P008,0.0,17.254,23.353,19.671,0.0,35.534,132.815,20.683,64.86,19.671,23.461,23.353,0.0,23.353,0.0,19.671,23.353,0.0,28.616,17.254,0.0,19.671,0.0,35.534,17.254,23.461,132.815,20.683,100.436,64.86,23.461,17.254,64.86,23.461,100.436,23.353,20.683,35.534,23.461,19.671,28.616
INST0216_N20_N06_D008,28.616,27.111,46.06,34.294,28.616,35.653,153.371,48.052,93.371,34.294,44.646,46.06,28.616,46.06,28.616,34.294,46.06,28.616,0.0,27.111,28.616,34.294,28.616,35.653,27.111,44.646,153.371,48.052,122.247,93.371,44.646,27.111,93.371,44.646,122.247,46.06,48.052,35.653,44.646,34.294,0.0
INST0216_N20_N06_P009,17.254,0.0,20.176,7.201,17.254,18.283,126.352,26.126,71.779,7.201,18.229,20.176,17.254,20.176,17.254,7.201,20.176,17.254,27.111,0.0,17.254,7.201,17.254,18.283,0.0,18.229,126.352,26.126,95.136,71.779,18.229,0.0,71.779,18.229,95.136,20.176,26.126,18.283,18.229,7.201,27.111
INST0216_N20_N06_D009,0.0,17.254,23.353,19.671,0.0,35.534,132.815,20.683,64.86,19.671,23.461,23.353,0.0,23.353,0.0,19.671,23.353,0.0,28.616,17.254,0.0,19.671,0.0,35.534,17.254,23.461,132.815,20.683,100.436,64.86,23.461,17.254,64.86,23.461,100.436,23.353,20.683,35.534,23.461,19.671,28.616
INST0216_N20_N06_P010,19.671,7.201,13.759,0.0,19.671,18.791,119.262,21.8,66.32,0.0,11.477,13.759,19.671,13.759,19.671,0.0,13.759,19.671,34.294,7.201,19.671,0.0,19.671,18.791,7.201,11.477,119.262,21.8,87.958,66.32,11.477,7.201,66.32,11.477,87.958,13.759,21.8,18.791,11.477,0.0,34.294
