,depot,INST0038_N5_S08_P000,INST0038_N5_S08_D000,INST0038_N5_S08_P001,INST0038_N5_S08_D001,INST0038_N5_S08_P002,INST0038_N5_S08_D002,INST0038_N5_S08_P003,INST0038_N5_S08_D003,INST0038_N5_S08_P004,INST0038_N5_S08_D004
depot,0.0,61.135,77.018,61.135,32.455,0.0,77.018,0.0,29.68,6.707,77.018
INST0038_N5_S08_P000,61.135,0.0,87.998,0.0,80.067,61.135,87.998,61.135,55.105,61.869,87.998
INST0038_N5_S08_D000,77.018,87.998,0.0,87.998,108.949,77.018,0.0,77.018,102.142,83.656,0.0
INST0038_N5_S08_P001,61.135,0.0,87.998,0.0,80.067,61.135,87.998,61.135,55.105,61.869,87.998
INST0038_N5_S08_D001,32.455,80.067,108.949,80.067,0.0,32.455,108.949,32.455,26.348,26.3,108.949
INST0038_N5_S08_P002,0.0,61.135,77.018,61.135,32.455,0.0,77.018,0.0,29.68,6.707,77.018
INST0038_N5_S08_D002,77.018,87.998,0.0,87.998,108.949,77.018,0.0,77.018,102.142,83.656,0.0
INST0038_N5_S08_P003,0.0,61.135,77.018,61.135,32.455,0.0,77.018,0.0,29.68,6.707,77.018
INST0038_N5_S08_D003,29.68,55.105,102.142,55.105,26.348,29.68,102.142,29.68,0.0,24.036,102.142
INST0038_N5_S08_P004,6.707,61.869,83.656,61.869,26.3,6.707,83.656,6.707,24.036,0.0,83.656
INST0038_N5_S08_D004,77.018,87.998,0.0,87.998,108.949,77.018,0.0,77.018,102.142,83.656,0.0
