,depot,INST0068_N8_S08_P000,INST0068_N8_S08_D000,INST0068_N8_S08_P001,INST0068_N8_S08_D001,INST0068_N8_S08_P002,INST0068_N8_S08_D002,INST0068_N8_S08_P003,INST0068_N8_S08_D003,INST0068_N8_S08_P004,INST0068_N8_S08_D004,INST0068_N8_S08_P005,INST0068_N8_S08_D005,INST0068_N8_S08_P006,INST0068_N8_S08_D006,INST0068_N8_S08_P007,INST0068_N8_S08_D007
depot,0.0,58.521,5.477,62.898,129.526,49.927,24.239,26.505,7.008,5.477,95.708,49.927,0.0,62.898,0.0,49.927,129.526
INST0068_N8_S08_P000,58.521,0.0,55.179,113.511,183.035,103.002,59.019,37.715,65.452,55.179,150.208,103.002,58.521,113.511,58.521,103.002,183.035
INST0068_N8_S08_D000,5.477,55.179,0.0,68.319,130.689,50.526,19.629,21.478,10.881,0.0,97.061,50.526,5.477,68.319,5.477,50.526,130.689
INST0068_N8_S08_P001,62.898,113.511,68.319,0.0,123.443,71.865,83.416,88.975,58.699,68.319,93.449,71.865,62.898,0.0,62.898,71.865,123.443
INST0068_N8_S08_D001,129.526,183.035,130.689,123.443,0.0,80.368,124.222,145.321,122.952,130.689,33.969,80.368,129.526,123.443,129.526,80.368,0.0
INST0068_N8_S08_P002,49.927,103.002,50.526,71.865,80.368,0.0,45.002,65.388,43.838,50.526,47.206,0.0,49.927,71.865,49.927,0.0,80.368
INST0068_N8_S08_D002,24.239,59.019,19.629,83.416,124.222,45.002,0.0,21.517,25.439,19.629,91.902,45.002,24.239,83.416,24.239,45.002,124.222
INST0068_N8_S08_P003,26.505,37.715,21.478,88.975,145.321,65.388,21.517,0.0,32.298,21.478,112.576,65.388,26.505,88.975,26.505,65.388,145.321
INST0068_N8_S08_D003,7.008,65.452,10.881,58.699,122.952,43.838,25.439,32.298,0.0,10.881,89.072,43.838,7.008,58.699,7.008,43.838,122.952
INST0068_N8_S08_P004,5.477,55.179,0.0,68.319,130.689,50.526,19.629,21.478,10.881,0.0,97.061,50.526,5.477,68.319,5.477,50.526,130.689
INST0068_N8_S08_D004,95.708,150.208,97.061,93.449,33.969,47.206,91.902,112.576,89.072,97.061,0.0,47.206,95.708,93.449,95.708,47.206,33.969
INST0068_N8_S08_P005,49.927,103.002,50.526,71.865,80.368,0.0,45.002,65.388,43.838,50.526,47.206,0.0,49.927,71.865,49.927,0.0,80.368
INST0068_N8_S08_D005,0.0,58.521,5.477,62.898,129.526,49.927,24.239,26.505,7.008,5.477,95.708,49.927,0.0,62.898,0.0,49.927,129.526
INST0068_N8_S08_P006,62.898,113.511,68.319,0.0,123.443,71.865,83.416,88.975,58.699,68.319,93.449,71.865,62.898,0.0,62.898,71.865,123.443
INST0068_N8_S08_D006,0.0,58.521,5.477,62.898,129.526,49.927,24.239,26.505,7.008,5.477,95.708,49.927,0.0,62.898,0.0,49.927,129.526
INST0068_N8_S08_P007,49.927,103.002,50.526,71.865,80.368,0.0,45.002,65.388,43.838,50.526,47.206,0.0,49.927,71.865,49.927,0.0,80.368
INST0068_N8_S08_D007,129.526,183.035,130.689,123.443,0.0,80.368,124.222,145.321,122.952,130.689,33.969,80.368,129.526,123.443,129.526,80.368,0.0
